AUI|CODE|STR|ISPREF|ETIQUETA_CIE9
B00002210A|F99.5|COLOR, VISION DEL DEFICIENTE|Y|CEGUERA A LOS COLORES
B00002211A|F99.6|CORIORRETINITIS|Y|OTRA ENFERMEDAD DEL OJO/ANEJOS OCULARES
B00002212A|F99.7|CORNEAL OPACIDADES|Y|OTRA ENFERMEDAD DEL OJO/ANEJOS OCULARES
B00002213A|F99.8|DERMATOSIS NO INFECC. DEL PARPADO|Y|OTRA ENFERMEDAD DEL OJO/ANEJOS OCULARES
B00002214A|F99.9|DIPLOPIA|Y|OTRA ENFERMEDAD DEL OJO/ANEJOS OCULARES
B00002217A|H01.1|DOLOR AREA MASTOIDEA/OIDO NC|Y|DOLOR DE OIDO/OREJA/MASTOIDE, OTALGIA
B00002218A|H01.2|DOLOR OIDO NC|Y|DOLOR DE OIDO/OREJA/MASTOIDE, OTALGIA
B00002219A|H01.3|OIDO, OREJA DOLOR|Y|DOLOR DE OIDO/OREJA/MASTOIDE, OTALGIA
B00002220A|H01.4|OIDO, OREJA INFLAMACION|Y|DOLOR DE OIDO/OREJA/MASTOIDE, OTALGIA
B00002221A|H01.5|PABELLON AURICULAR DOLOR|Y|DOLOR DE OIDO/OREJA/MASTOIDE, OTALGIA
B00002222A|H01.6|MOLESTIA OIDA/ORELLA NC|Y|DOLOR DE OIDO/OREJA/MASTOIDE, OTALGIA
B00002223A|H01.7|DOLOR DE OIDO/OREJA/MASTOIDE, OTALGIA|Y|DOLOR DE OIDO/OREJA/MASTOIDE, OTALGIA
B00002226A|H02.1|AUDICION, DISMINUCION DE LA|Y|DEFICIT AUDITIVO
B00002227A|H02.2|DISTUR./ALTER. AUDITIVO|Y|DEFICIT AUDITIVO
B00002228A|H02.3|INCAPACIDAD OIR (BIEN)|Y|DEFICIT AUDITIVO
B04099809A|H02.4|PROBLEMA  DE OIDO|Y|SIGNO/SINTOMA AUDITIVO
B00002230A|H02.5|OIDO, DISMINUCION AUDICION (EXC. SORDERA H84)|Y|DEFICIT AUDITIVO
B00002233A|H03.1|ANORMAL SENSACION(ES) NC AUDITIVA|Y|ZUMBIDO/PITIDO/TINNITUS/ACUFENOS/ECO/RUIDO OIDO
B00002234A|H03.2|ECO (EN EL OIDO)|Y|ZUMBIDO/PITIDO/TINNITUS/ACUFENOS/ECO/RUIDO OIDO
B00002235A|H03.3|OIDO, OREJA RESONANTE|Y|ZUMBIDO/PITIDO/TINNITUS/ACUFENOS/ECO/RUIDO OIDO
B00002237A|H03.5|OIDO, OREJA ZUMBIDO|Y|ZUMBIDO/PITIDO/TINNITUS/ACUFENOS/ECO/RUIDO OIDO
B00002240A|H03.8|ZUMBIDO/PITIDO/TINNITUS/ACUFENOS/ECO/RUIDO OIDO|Y|ZUMBIDO/PITIDO/TINNITUS/ACUFENOS/ECO/RUIDO OIDO
B00002243A|H04.1|OIDO, OREJA HUMEDO|Y|OTORREA, SECRECION POR EL OIDO
B00002244A|H04.2|OIDO, OREJA SUPURACION, SECRECIO.|Y|OTORREA, SECRECION POR EL OIDO
B00002245A|H04.3|PUS (EN) OIDO|Y|OTORREA, SECRECION POR EL OIDO
B00002246A|H04.4|SECRECION DEL OIDO|Y|OTORREA, SECRECION POR EL OIDO
B00002247A|H04.5|OTORREA, SECRECION POR EL OIDO (EXC. SANGRE H05)|Y|OTORREA, SECRECION POR EL OIDO
B00002250A|H05.1|HEMORRA., SANGR. NC OIDO|Y|OTORRAGIA, SANGRE EN/DEL OIDO, SECRECION
B00002251A|H05.2|OIDO, OREJA HEMORRAGIA|Y|OTORRAGIA, SANGRE EN/DEL OIDO, SECRECION
B00002252A|H05.3|OTOHEMATOMA|Y|OTORRAGIA, SANGRE EN/DEL OIDO, SECRECION
B00002255A|H13.1|BLOQUEO, TAPONAMIENTO OIDO|Y|OIDO, SENSACION DE TAPONAMIENTO
B00002256A|H13.2|CONGESTION AUDITIVA (TAPONAMIEN.)|Y|OIDO, SENSACION DE TAPONAMIENTO
B00002257A|H13.3|OIDO, OREJA TAPONAMIENTO|Y|OIDO, SENSACION DE TAPONAMIENTO
B00002258A|H13.4|SENSACION TAPONAMIENTO DEL OIDO|Y|OIDO, SENSACION DE TAPONAMIENTO
B00002259A|H13.5|OIDO, SENSACION DE TAPONAMIENTO (EXC. CERA H81)|Y|OIDO, SENSACION DE TAPONAMIENTO
B00002262A|H15.1|ANORMAL OREJAS ASPECTO EXTERNO|Y|
B00002263A|H15.2|ANORMAL OREJAS INSERCION|Y|
B00002264A|H15.3|ANORMAL OREJAS TAMAÑO|Y|
B00002265A|H15.4|OIDO, OREJA PROMINENTES, OREJAS|Y|
B00002266A|H15.5|OREJA DESPEGADA (SOPLILLO)|Y|
B00002269A|H27.1|MIEDO (DE PADEC.) ENFERMEDAD AUDITIVA|Y|
B00002270A|H27.2|MIEDO (DE PADEC.) SORDERA|Y|
B00002273A|H28.1|INCAPACIDAD (MINUSV.) NC DEL OIDO|Y|INCAPACIDAD/MINUSVALIA ATRIBUIBLE A APARATO AUDITIVO
B00002276A|H29.1|ANORMAL SENSACION(ES) NC OIDO|Y|OTRO SIGNO/SINTOMA DEL OIDO/OREJA
B00002277A|H29.2|OIDO, OREJA ESTALLIDO|Y|OTRO SIGNO/SINTOMA DEL OIDO/OREJA
B00002278A|H29.3|OIDO, OREJA GRIETAS|Y|OTRO SIGNO/SINTOMA DEL OIDO/OREJA
B00002279A|H29.4|OIDO, OREJA LIMPIEZA, NECESIDAD DE|Y|OTRO SIGNO/SINTOMA DEL OIDO/OREJA
B00002280A|H29.5|OIDO, OREJA PICOR|Y|OIDO PICOR, PRURITO
B00016205A|D90.1007|HERNIA HIATO INTERVENIDA|Y|HERNIA DE HIATO (DIAFRAGMATICA)
B00001685A|D90.2|HERNIA HIATO NC|Y|HERNIA DE HIATO (DIAFRAGMATICA)
B00016137A|D90.998|DIASTASIS DE RECTOS|Y|HERNIA DE HIATO (DIAFRAGMATICA)
B00016150A|D90.999|HERNIA DE HIATO CON RGE|Y|HERNIA DE HIATO (DIAFRAGMATICA)
B11303801A|D91.1|HERNIA FEMORAL(CRURAL)|Y|HERNIA FEMORAL
B00001690A|D91.2|HERNIA NC|Y|OTRA HERNIA ABDOMINAL
B00016268A|D91.20|HERNIA UMBILICAL INCARCERADA|Y|HERNIA UMBILICAL, OMBLIGO
B01343279A|D91.21|HERNIA PARAUMBILICAL|Y|HERNIA UMBILICAL, OMBLIGO
B11303837A|D91.22|OTRA HERNIA ABDOMINAL UNILATERAL|Y|OTRA HERNIA ABDOMINAL
B11303839A|D91.23|HERNIA ABDOMINAL, EVENTRACION UNILATERAL|Y|HERNIA ABDOMINAL, EVENTRACION
B00016269A|D91.24|HERNIA UMBILICAL INTERVENIDA|Y|HERNIA UMBILICAL, OMBLIGO
B00016303A|D91.25|OTRA HERNIA ABDOMINAL - AMBOS/AS|Y|HERNIA UMBILICAL, OMBLIGO
B00016295A|D91.26|HERNIA ABDOMINAL (SIN OBSTRUCCION NI GANGRENA) (OTRA)|Y|OTRA HERNIA ABDOMINAL
B00016314A|D91.27|EVENTRACION|Y|HERNIA ABDOMINAL, EVENTRACION
B00016325A|D91.28|HERNIA ABDOMINAL, EVENTRACION - AMBOS/AS|Y|HERNIA ABDOMINAL, EVENTRACION
B00016242A|D91.29|OTRAS HERNIAS ABDOMINALES|Y|OTRA HERNIA ABDOMINAL
B00001691A|D91.3|HERNIA UMBILICAL NC|Y|HERNIA UMBILICAL, OMBLIGO
B00001692A|D91.4|HERNIA EPIGASTRICA|Y|OTRA HERNIA ABDOMINAL
B00001693A|D91.5|HERNIA PARED ABDOMINAL|Y|OTRA HERNIA ABDOMINAL
B00001694A|D91.6|HERNIA SUPRAUMBILICAL|Y|HERNIA UMBILICAL, OMBLIGO
B00001695A|D91.7|EVENTRACION ABDOMINAL|Y|HERNIA ABDOMINAL, EVENTRACION
B00001696A|D91.8|HERNIA ABDOMINAL, EVENTRACION|Y|HERNIA ABDOMINAL, EVENTRACION
B00001697A|D91.9|EVENTRACIO FERIDA QUIRURGICA|Y|HERNIA ABDOMINAL, EVENTRACION
B00001700A|D92.1|DIVERTICULITIS, DIVERTICULOSIS, DIVERTICULO INTESTINO|Y|DIVERTICULO INTESTINAL
B00001701A|D92.2|DIVERTICULITIS INTESTINAL|Y|DIVERTICULO INTESTINAL
B11303818A|D92.3|DIVERTICULO/DIVERTICULO/DIVERTICULOSIS INTESTINAL|Y|DIVERTICULO INTESTINAL
B11303728A|D92.4|DIVERTICULO/DIVERTICULOS/DIVERTICULOSIS DE COLON|Y|DIVERTICULO INTESTINAL
B11303726A|D92.5|DIVERTICULO/DIVERTICULOS/DIVERTICULOSIS DE SIGMA|Y|DIVERTICULO INTESTINAL
B00001705A|D92.6|DIVERTICULITIS AGUDA|Y|DIVERTICULO INTESTINAL
B01170422A|D92.900|ENFERMEDAD DIVERTICULAR|Y|DIVERTICULO INTESTINAL
B00001699A|D92.902|ENF DIVERTICULAR DEL INTESTINO (NO MAPEA)|Y|DIVERTICULO INTESTINAL
B00016427A|D93.1|COLITIS MUCOSA (COLON IRRITABLE)|Y|COLITIS MUCOSA
B01676017A|D93.10|COLITIS MUCOSA|Y|COLITIS MUCOSA
B00064930A|D93.11|ENFERMEDAD INFLAMATORIA INTESTINAL|Y|COLITIS MUCOSA
B00064612A|D93.12|ESPASMO ANAL|Y|SINDROME DE COLON IRRITABLE, ESPASTICO
B00908492A|D93.2|SINDROME DEL INTESTINO IRRITABLE|Y|SINDROME DE COLON IRRITABLE, ESPASTICO
B00001710A|D93.3|ESPASMO ANAL (COLON IRRITAB.)|Y|SINDROME DE COLON IRRITABLE, ESPASTICO
B00001711A|D93.4|SINDROME FLEXURA ESPLENICA|Y|SINDROME DE COLON IRRITABLE, ESPASTICO
B00016467A|D93.9|PROBABLE COLON IRRITABLE|Y|SINDROME DE COLON IRRITABLE, ESPASTICO
B00001714A|D94.1|COLITIS ULCEROSA|Y|COLITIS ULCEROSA
B00001715A|D94.2|ENFERMEDAD CHRON, DE NC|Y|ENFERMEDAD DE CROHN
B00001716A|D94.3|ENTERITIS REGIONAL (CRON./ULC.)|Y|ENTERITIS REGIONAL
B00001717A|D94.4|ENTERITIS ULCERATIVA|Y|ENTERITIS REGIONAL
B00001718A|D94.5|PROTOCOLITIS IDIOPATICA|Y|ENTERITIS CRONICA
B00001719A|D94.6|ENTERITIS CRONICA/COLITIS ULCEROSA/CROHN|Y|ENTERITIS REGIONAL
B00001722A|D95.1|ABSCESO ANORRECTAL|Y|ABSCESO PERIANAL
B00016533A|D95.1003|ABSCESO PERINEAL|Y|ABSCESO PERIANAL
B00016545A|D95.1004|FISTULA PERIANAL|Y|FISTULA ANAL
B00074330A|D95.1005|ABSCESO ANAL|Y|ABSCESO PERIANAL
B00001723A|D95.2|ABSCESO PERIANAL|Y|ABSCESO PERIANAL
B00001724A|D95.3|FISTULA ANAL|Y|FISTULA ANAL
B00001725A|D95.4|FISTULA RECTAL|Y|FISTULA ANAL
B00001726A|D95.5|FISURA ANAL|Y|FISURA ANAL
B00001727A|D95.6|ABSCESO GLUTEO|Y|ABSCESO PERIANAL
B00001728A|D95.7|FISURA ANAL/ABCESO PERIANAL (EXC. QUISTE PILONIDAL S85)|Y|FISURA ANAL
B00001729A|D95.8|FISTULA|Y|FISTULA ANAL
B00001730A|D95.9|ABSCESO GLUTEO SECUNDARIO A INYECCION IM|Y|ABSCESO PERIANAL
B01179907A|D95.999|FISURA ANAL / ABSCESO PERIANAL|Y|FISURA ANAL
B02155800A|D96.1|HIDATIDOSIS HEPATICA|Y|HIDATIDOSIS, QUISTE HIDATIDICO
B00001734A|D96.10|HIDATIDOSIS LOCALIZADA|Y|HIDATIDOSIS, QUISTE HIDATIDICO
B00001735A|D96.11|ANQUILOSTOMIASIS|Y|ERUPCION SERPIGINOSA, ANQUILOSTOMIASIS, LARVA MIGRATORIA CUT
B00001736A|D96.12|EQUINOCOCOSIS|Y|HIDATIDOSIS, QUISTE HIDATIDICO
B00001737A|D96.13|TENIASIS|Y|INFESTACION POR TENIA, TENIASIS
B00001738A|D96.14|ENTEROBIASIS|Y|INFESTACION POR OXIUROS, OXIURIASIS, ENTEROBIUS VERMICULARIS
B00001739A|D96.15|FILARIASIS|Y|FILARIASIS
B00001740A|D96.16|TRIQUINOSIS|Y|TRIQUINOSIS
B00001741A|D96.17|SOLITARIA (TENIA)|Y|INFESTACION POR TENIA, TENIASIS
B00056475A|D96.18|INFESTACION POR CESTODOS SIN ESPECIFICAR|Y|OTRA INFESTACION POR CESTODOS
B02497577A|D96.19|ANISAKIS|Y|INFESTACION POR ANISAKIS, ANISAKIASIS
B00001743A|D96.2|INFESTACION POR OXIUROS, OXIURIASIS, ENTEROBIUS VERMICULARIS|Y|INFESTACION POR OXIUROS, OXIURIASIS, ENTEROBIUS VERMICULARIS
B00001733A|D96.24|QUISTE HIDATIDICO (HEPATICO)|Y|HIDATIDOSIS, QUISTE HIDATIDICO
B08612489A|D96.25|***   HIDATIDOSIS DISEMINADA|Y|HIDATIDOSIS DISEMINADA
B00016567A|D96.26|HIDATIDOSIS, QUISTE HIDATIDICO|Y|HIDATIDOSIS, QUISTE HIDATIDICO
B02247615A|D96.27|QUISTES HIDATIDICOS HEPATICOS|Y|HIDATIDOSIS, QUISTE HIDATIDICO
B00001744A|D96.3|INFESTACION POR ASCARIS, ASCARIDIASIS|Y|INFESTACION POR ASCARIS, ASCARIDIASIS
B00016580A|D96.4|LOMBRICES (OXIUROS, ASCARIS, OTROS)|Y|INFESTACION POR OXIUROS, OXIURIASIS, ENTEROBIUS VERMICULARIS
B00001746A|D96.5|ESQUISTOSOMIASIS|Y|ESQUISTOSOMIASIS
B00001747A|D96.6|HELMINTIASIS INTESTINAL|Y|OTRA INFESTACION POR HELMINTOS (GUSANOS)
B00001748A|D96.7|LARVA MIGRANS|Y|ONCOCERCOSIS
B00001749A|D96.8|TREMATODIASIS|Y|ESQUISTOSOMIASIS
B00001750A|D96.9|TRICHIURIASIS|Y|TRIQUINOSIS
B00001753A|D97.1|ABSCESO HEPATICO|Y|ENFERMEDAD HEPATICA NE
B00001754A|D97.10|ASCITIS|Y|CIRROSIS HEPATICA, HIGADO
B00016599A|D97.11|HEPATOPATIA ALCOHOLICA|Y|HEPATITIS ALCOHOLICA
B00016609A|D97.12|HIPERTENSION PORTAL|Y|PORTAL, HIPERTENSION
B00001757A|D97.13|QUISTE HEPATICO|Y|ENFERMEDAD HEPATICA NE
B00001758A|D97.14|CIRROSIS BILIAR PRIMARIA|Y|CIRROSIS HEPATICA, HIGADO
B00001759A|D97.15|HEMOCROMATOSIS|Y|ENFERMEDAD HEPATICA NE
B00001760A|D97.16|HEPATOPATIA CRONICA|Y|ENFERMEDAD HEPATICA NE
B00016650A|D97.17|CIRROSIS HEPATICA ALCOHOLICA|Y|CIRROSIS HEPATICA, HIGADO
B00001762A|D97.18|HEPATITIS CRONICA|Y|HEPATITIS NE
B00001763A|D97.19|HEPATITIS AUTOINMUNE|Y|HEPATITIS NO VIRAL
B00001764A|D97.2|CIRROSIS HEPATICA|Y|CIRROSIS HEPATICA, HIGADO
B00016661A|D97.20|HEPATITIS NE|Y|HEPATITIS NE
B00068746A|D97.28|NODULO HEPATICO|Y|ENFERMEDAD HEPATICA NE
B02919978A|D97.29|HEPATITIS CRONICA ACTIVA AUTOINMUNE|Y|ENFERMEDAD HEPATICA NE
B00001766A|D97.3|COMA HEPATICO NC|Y|CIRROSIS HEPATICA, HIGADO
B00025924A|K92.40|FENOMENO DE RAYNAUD|Y|SINDROME DE RAYNAUD
B11303854A|K92.41|NECROSIS DEDO/S PIE/S|Y|GANGRENA
B00061663A|K92.42|INSUFICIENCIA ARTERIAL DE EXTREMIDAD INFERIOR|Y|OTRA ENFERMEDAD VASCULAR PERIFERICA
B00065239A|K92.43|INSUFICIENCIA VASCULAR PERIFERICA|Y|OTRA ENFERMEDAD VASCULAR PERIFERICA
B00078589A|K92.44|ISQUEMIA ARTERIAL DE PIE|Y|CLAUDICACION INTERMITENTE
B00025912A|K92.45|ARTERIOESCLEROSIS DE ARTERIAS EN LAS EXTREMIDADES|Y|ATEROSCLEROSIS PERIFERICA/ENFERMEDAD ARTERIAL PERIFERICA
B00003010A|K92.5|ENFERMEDAD PERIFERICA VASCULAR NC|Y|OTRA ENFERMEDAD VASCULAR PERIFERICA
B00003011A|K92.6|ENFERMEDAD RAYNAUD, DE NC|Y|ENFERMEDAD DE RAYNAUD
B00003012A|K92.7|ESTENOSIS ARTERIAS PRECEREBRA.|Y|ESTENOSIS ARTERIAL
B00003013A|K92.8|OCLUSION (ARTERIAL)|Y|EMBOLISMO ARTERIAL, EMBOLIA
B00003014A|K92.9|OCLUSION (ARTERIAL) PRECEREBRAL|Y|ESTENOSIS ARTERIAL
B00003017A|K93.1|EMBOLISMO (ARTERIAL) PULMONAR|Y|EMBOLISMO PULMONAR
B00063653A|K93.2|EMBOLIA PULMONAR E INFARTO|Y|EMBOLIA E INFARTO PULMONARES
B00003020A|K93.4|TROMBOEMBOLISMO PULMONAR|Y|TROMBOEMBOLISMO PULMONAR (TEP)
B00025944A|K93.6|TROMBOEMBOLISMO PULMONAR BILATERAL|Y|TROMBOEMBOLISMO PULMONAR (TEP)
B11303753A|K94.1|FLEBITIS/TROMBOFLEBITIS NE|Y|FLEBITIS Y TROMBOFLEBITIS
B11303754A|K94.10|FLEBITIS/TROMBOFLEBITIS SUPERFICIAL|Y|TROMBOSIS VENOSA SUPERFICIAL
B11303755A|K94.11|FLEBITIS/TROMBOFLEBTIS PIERNA/S|Y|TROMBOSIS VENOSA SUPERFICIAL
B11303812A|K94.13|FLEBITIS/TROMBOFLEBITIS SUPERFICIAL PIERNA/S|Y|TROMBOSIS VENOSA SUPERFICIAL
B11303756A|K94.15|TROMBOSIS VENOSA PROFUNDA (TVP) PIERNA/S|Y|TROMBOSIS VENOSA PROFUNDA
B00025983A|K94.17|TROMBOSIS VENOSA PROFUNDA INR 2-3|Y|TROMBOSIS VENOSA PROFUNDA
B00003030A|K94.2|INFLAMACION, VENA NC|Y|FLEBITIS
B00071951A|K94.4|TROMBOSIS DE VENA PORTA|Y|TROMBOSIS DE VENA PORTA
B11303814A|K94.5|TROMBOSIS VENOSA/FLEBOTROMBOSIS NE|Y|TROMBOSIS VENOSA, FLEBOTROMBOSIS
B00003034A|K94.6|TVP (TROMB. VENOSA PROFUNDA)|Y|TROMBOSIS VENOSA PROFUNDA
B00003035A|K94.7|TROMBOSIS VENA CENTRAL DE LA RETINA|Y|TROMBOSIS VENOSA, FLEBOTROMBOSIS
B00003036A|K94.8|TROMBOSIS VENOSA SUPERFICIAL|Y|TROMBOSIS VENOSA SUPERFICIAL
B00003037A|K94.9|VARICOFLEBITIS|Y|FLEBITIS
B00003040A|K95.1|VARICES EXTREMIDADES INFERIORES|Y|VARICES EXTREMIDADES INFERIORES
B00026078A|K95.10|INSUFICIENCIA VENOSA PIERNA/MUSLO - AMBOS/AS|Y|INSUFICIENCIA VENOSA PIERNA/MUSLO
B00045526A|K95.11|ECCEMA VARICOSO|Y|ECCEMA VARICOSO PIERNA/MUSLO
B00003043A|K95.12|ESTASIS VENOSA PIERNA/MUSLO - AMBOS/AS|Y|ESTASIS VENOSA PIERNA/MUSLO
B11303763A|K95.14|ULCERA/S VARICOSA/S|Y|ESTASIS VENOSA PIERNA/MUSLO
B00003047A|K95.2|VARICOSAS, VENAS EXTREMIDAD INFERIOR CON INFLAMACION|Y|VENAS VARICOSAS EN EXTREMIDADES INFERIORES (EEII)
B00026011A|K95.25|VARICES|Y|VARICES EXTREMIDADES INFERIORES
B00069435A|K95.26|VENAS VARICOSAS ASINTOMATICAS|Y|VENAS VARICOSAS EN EXTREMIDADES INFERIORES (EEII)
B01403905A|K95.27|INSUFICIENCIA VENOSA CRONICA- AMBOS/AS|Y|INSUFICIENCIA VENOSA PIERNA/MUSLO
B00062285A|K95.28|INSUFICIENCIA CIRCULATORIA PERIFERICA|Y|INSUFICIENCIA VENOSA PIERNA/MUSLO
B00026097A|K95.29|ULCERA VASCULAR, VENOSA|Y|ESTASIS VENOSA PIERNA/MUSLO
B00026116A|K95.3|INSUFICIENCIA VENOSA CRONICA|Y|INSUFICIENCIA VENOSA PIERNA/MUSLO
B11303851A|K95.30|INSUFICIENCIA VENOSA PIERNA/MUSLO UNILATERAL|Y|INSUFICIENCIA VENOSA PIERNA/MUSLO
B11303870A|K95.31|VARICES EXTREMIDAD INFERIOR (DCHA o IZQDA)|Y|VARICES EXTREMIDADES INFERIORES
B01810265A|K95.32|ULCERA  VASCULAR NC|Y|ESTASIS VENOSA PIERNA/MUSLO
B00026058A|K95.33|VARICES EXTREMIDADES INFERIORES.INTERVENIDAS|Y|VARICES EXTREMIDADES INFERIORES
B00003049A|K95.4|SINDROME VARICOSO|Y|VENAS VARICOSAS EN EXTREMIDADES INFERIORES (EEII)
B00003050A|K95.5|VARICORRAGIA|Y|VARICES EXTREMIDADES INFERIORES
B00026133A|K95.6|INSUFICIENCIA VENOSA CRONICA EEII|Y|INSUFICIENCIA VENOSA PIERNA/MUSLO
B00026149A|K95.7|INSUFICIENCIA VENOSA  EEII|Y|INSUFICIENCIA VENOSA PIERNA/MUSLO
B00003053A|K95.8|INSUFICIENCIA VENOSA|Y|INSUFICIENCIA VENOSA PIERNA/MUSLO
B00003054A|K95.9|INSUFICIENCIA VENOSA PERIFERICA NC|Y|INSUFICIENCIA VENOSA PIERNA/MUSLO
B00003057A|K96.1|HEMORROIDES|Y|HEMORROIDES
B00003058A|K96.10|HEMORROIDES EXTERNAS SIN TROMBOSIS|Y|HEMORROIDES EXTERNAS SIN TROMBOSIS
B00003059A|K96.11|HEMORROIDES INTERNAS|Y|HEMORROIDES
B00003060A|K96.12|HEMORROIDES INTERNAS SIN COMPLICACIONES|Y|HEMORROIDES INTERNAS SIN COMPLICACIONES
B00067984A|K96.13|HEMORROIDES NO ESPECIFICADA   SIN MENCION DE COMPLICACION|Y|HEMORROIDES EXTERNAS SIN TROMBOSIS
B00066546A|K96.14|HEMORROIDES TROMBOSADAS NO ESPECIFICADAS|Y|HEMORROIDES EXTERNAS CON TROMBOSIS
B00003063A|K96.15|INCISION HEMORROIDES, TROMB. NC|Y|HEMORROIDES, LESION CUTANEA RESIDUAL
B00003064A|K96.16|HEMORROIDES REDUC. DE/INFIL. LOC. DE|Y|HEMORROIDES, LESION CUTANEA RESIDUAL
B00003065A|K96.17|RECTORRAGIA HEMORROIDES|Y|HEMORROIDES
B00026211A|K96.2|HEMORROIDES EXTERNAS CON TROMBOSIS|Y|HEMORROIDES EXTERNAS CON TROMBOSIS
B00205772A|K96.26|HEMORROIDES INTERNAS-EXTERNAS|Y|HEMORROIDES INTERNAS CON COMPLICACIONES
B03060337A|K96.27|HEMORROIDES EXTERNAS SIN COMPLICACION|Y|HEMORROIDES EXTERNAS SIN TROMBOSIS
B00026177A|K96.28|HEMORROIDES GRADO III|Y|HEMORROIDES INTERNAS CON COMPLICACIONES
B00071525A|K96.29|HEMORRAGIA ANAL|Y|VENAS VARICOSAS ANALES
B00003067A|K96.3|PERIANAL HEMATOMA|Y|VENAS VARICOSAS ANALES
B00286282A|K96.30|FISURA ANAL - HEMORROIDES|Y|HEMORROIDES, LESION CUTANEA RESIDUAL
B00026175A|K96.31|HEMORROIDES GRADO II|Y|HEMORROIDES
B00026182A|K96.32|HEMORROIDES SANGRANTES|Y|HEMORROIDES
B00026197A|K96.33|HEMORROIDES INTERNAS CON COMPLICACIONES|Y|HEMORROIDES INTERNAS CON COMPLICACIONES
B00003068A|K96.4|RESIDUALES, LESIO. CUT., POR HEMORROIDES|Y|HEMORROIDES, LESION CUTANEA RESIDUAL
B00003069A|K96.5|VARICOSAS, VENAS ANALES|Y|VENAS VARICOSAS ANALES
B00003070A|K96.6|CRISIS HEMORROIDAL|Y|HEMORROIDES EXTERNAS CON TROMBOSIS
B00026245A|K96.7|HEMORROIDES INTERVENIDAS|Y|HEMORROIDES
B00003072A|K96.8|HEMORROIDES CRONICAS|Y|HEMORROIDES
B00003073A|K96.9|HEMORROIDES EXTERNAS|Y|HEMORROIDES EXTERNAS
B00003076A|K99.1|ANEURISMA AORTICO|Y|ANEURISMA AORTICO
B00003077A|K99.10|ENFERMEDAD CAPILARES, NC|Y|ENFERMEDAD CAPILARES NE
B00003078A|K99.11|LESION APARATO CIRCULATORIO NC|Y|OTRA ENFERMEDAD CARDIOVASCULAR
B00003079A|K99.12|LINFEDEMA|Y|LINFEDEMA
B00003080A|K99.13|PANARTERITIS NODOSA|Y|POLIARTERITIS NODOSA
B03121422A|K99.14|LINFEDEMA POSTMASTECTOMIA|Y|LINFEDEMA
B00003082A|K99.15|VARICES NC (EXCEPTO EXTREMIDADES INFERIORES)|Y|VENAS VARICOSAS, VARICES OTRA LOCALIZACION (NO EEII)
B00003083A|K99.16|VARICOCELE|Y|VARICOCELE
B00003084A|K99.17|VARICOSAS, VENAS ESCROTALES|Y|VARICOCELE
B00026317A|K99.18|VARICES ESOFAGICAS|Y|VARICES ESOFAGICAS
B00003086A|K99.19|VARICOSAS, VENAS ESPECIFICAS, ZONA NC|Y|VENAS VARICOSAS, VARICES OTRA LOCALIZACION (NO EEII)
B00003087A|K99.2|ANEURISMA ARTERIAL NC|Y|OTRO ANEURISMA ARTERIAL NE
B00003089A|K99.21|GRANULOMATOSIS DE WEGENER|Y|GRANULOMATOSIS DE WEGENER
B00003090A|K99.22|PURPURA DE SCHONLEIN-HENOCH|Y|VASCULITIS
B00003091A|K99.23|VASCULITIS DE CHURG-STRAUSS|Y|VASCULITIS
B00003092A|K99.24|ANEURISMA AORTA ABDOMINAL|Y|ANEURISMA AORTICO
B01996558A|K99.25|VASCULITIS NC|Y|VASCULITIS
B00003094A|K99.26|VASCULITIS LEUCOCITOCLASTICA|Y|VASCULITIS
B00003095A|K99.3|ANEURISMA DISECANTE|Y|ANEURISMA AORTICO
B00003096A|K99.4|ARTERITIS DE CELULAS GIGANTES|Y|ARTERITIS DE CELULAS GIGANTES, HORTON, ARTERIAS TEMPORALES
B00003097A|K99.5|ARTERITIS TEMPORAL (ENF. DE HORTON)|Y|ARTERITIS DE CELULAS GIGANTES, HORTON, ARTERIAS TEMPORALES
B00003098A|K99.6|ELEFANTIASIS (NO FILARIASIS)|Y|LINFEDEMA
B00026366A|K99.7|ENFERMEDAD APARATO CIRCULAT. NC|Y|OTRA ENFERMEDAD CARDIOVASCULAR
B00003100A|K99.8|ENFERMEDAD ARTERIAS, NC|Y|ENFERMEDAD ARTERIAS NE
B00003101A|K99.9|ENFERMEDAD ARTERIOLAS, NC|Y|ENFERMEDAD ARTERIOLAS NE
B02678544A|K99.9001|ISQUEMIA ARTERIAL, NC|Y|ENFERMEDAD ARTERIAS NE
B00073095A|K99.9002|INSUFICIENCIA VASCULAR|Y|OTRA ENFERMEDAD CARDIOVASCULAR
B00061474A|K99.9003|ISQUEMIA ARTERIAL CRONICA|Y|ENFERMEDAD ARTERIAS NE
B00283256A|K99.9004|ISQUEMIA ARTERIAL AGUDA NC|Y|ENFERMEDAD ARTERIAS NE
B03192561A|K99.9005|ISQUEMIA CRONICA EN MIEMBROS INFERIORES|Y|ENFERMEDAD ARTERIAS NE
B02944487A|K99.9006|ENFERMEDAD  VASCULAR NC|Y|OTRA ENFERMEDAD CARDIOVASCULAR
B01904650A|K99.9014|ANEURISMA AORTICO. INTERVENIDO|Y|ANEURISMA AORTICO
B00003075A|K99.9015|OTR ENF CARDIOVASCULARES (NO MAPEA)|Y|OTRA ENFERMEDAD CARDIOVASCULAR
B00026302A|K99.9016|LINFEDEMA CRONICO|Y|LINFEDEMA
