AUI|CODE|STR|ISPREF|ETIQUETA_CIE9
B00000650A|A91.38|HIPONATREMIA|Y|RESULTADO ANORMAL SIN EXPLICACION, ELECTROLITOS
B00000651A|A91.39|ALCALOSIS|Y|RESULTADO ANORMAL SIN EXPLICACION, SANGRE
B00000652A|A91.4|INVESTIGACIONES RESULTADOS ANORMALES RADIOLOGICAS NC|Y|RESULTADO ANORMAL SIN EXPLICACION, PRUEBA DE IMAGEN
B00000653A|A91.40|RESULTADO ANORMAL, PLAQUETAS|Y|RESULTADO ANORMAL SIN EXPLICACION, SANGRE
B00000654A|A91.41|HIPERPOTASEMIA|Y|RESULTADO ANORMAL SIN EXPLICACION, SANGRE
B00000655A|A91.42|POLIGLOBULIA|Y|RESULTADO ANORMAL SIN EXPLICACION, SANGRE
B00000656A|A91.43|ELEVACION NO ESPECIFICA DE TRANSAMINASAS/LDH|Y|RESULTADO ANORMAL SIN EXPLICACION, TRANSAMINASAS
B00000657A|A91.44|HIPERBILIRRUBINEMIA|Y|RESULTADO ANORMAL SIN EXPLICACION, SANGRE
B00000659A|A91.46|AUMENTO DE GGT|Y|RESULTADO ANORMAL SIN EXPLICACION, SANGRE
B00000660A|A91.47|MACROCITOSIS|Y|RESULTADO ANORMAL SIN EXPLICACION, SANGRE
B00000661A|A91.48|HIPERGLUCEMIA|Y|RESULTADO ANORMAL SIN EXPLICACION, SANGRE
B00000662A|A91.49|ANORMAL PRUEBA TIROIDES|Y|RESULTADO ANORMAL SIN EXPLICACION, SANGRE
B00000663A|A91.5|RESULTADO ANORMAL/INESPECIFICO DE MAMA|Y|RESULTADO ANORMAL/INESPECIFICO DE MAMA
B00000664A|A91.50|HIPOPROTEINEMIA|Y|RESULTADO ANORMAL SIN EXPLICACION, SANGRE
B00000665A|A91.51|MICROCITOSIS|Y|RESULTADO ANORMAL SIN EXPLICACION, SANGRE
B00000666A|A91.52|ALTERACION DE GGT|Y|RESULTADO ANORMAL SIN EXPLICACION, SANGRE
B00000667A|A91.53|FERRITINA ALTA|Y|RESULTADO ANORMAL SIN EXPLICACION, SANGRE
B00000668A|A91.54|ALTERACION PRUEBAS FUNCION HEPATICA|Y|RESULTADO ANORMAL SIN EXPLICACION, TRANSAMINASAS
B00194654A|A91.55|HIPERURICEMIA.|Y|HIPERURICEMIA AISLADA
B00000669A|A91.6|RESULTADOS INESPECIFICOS EN EL ANALISIS DE SANGRE|Y|RESULTADO ANORMAL SIN EXPLICACION, PRUEBA DE IMAGEN
B00011076A|A91.7|ANALISIS SANGRE CON ANORM INESPECIFICA (OTRA)|Y|RESULTADO ANORMAL SIN EXPLICACION, PRUEBA DE IMAGEN
B00000671A|A91.8|RESULTADO ANORMAL SIN EXPLICACION, GLOBULOS ROJOS, HEMATIES |Y|RESULTADO ANORMAL SIN EXPLICACION, PRUEBA DE IMAGEN
B00000672A|A91.9|ANORMAL PRUEBA SANGUINEA BIOQUIMICA SANGUIN. NC|Y|RESULTADO ANORMAL SIN EXPLICACION, PRUEBA DE IMAGEN
B00000640A|A91.994|INTOLERANCIA A LA GLUCOSA (NO DIABETES)|Y|INTOLERANCIA A LA GLUCOSA (NO DIABETES DM)
B00000675A|A92.1|ALERGIA|Y|ALERGIA NE
B11303009A|A92.-1|ALERGIA/REACCIONES ALERGICAS NE (RESTO)|Y|ALERGIA NE
B00000676A|A92.10|SHOCK ANAFILACTICO (EXCLUIDO FARMACOS)|Y|CHOQUE ANAFILACTICO/SHOCK
B00000680A|A92.14|REACCION ALERGICA NC|Y|ALERGIA NE
B00000681A|A92.15|ALERGIA (EXCLUIDO FARMACOS)|Y|ALERGIA NE
B00000688A|A92.21|ALERGIA ACAROS|Y|ALERGIA NE
B00000689A|A92.22|ALERGIA ALIMENTARIA ANISAKIS|Y|ALERGIA ALIMENTARIA, ALIMENTOS
B00000690A|A92.23|ALERGIA ALIMENTARIA HUEVO|Y|ALERGIA ALIMENTARIA, ALIMENTOS
B00000691A|A92.24|ALERGIA CUTANEA|Y|ALERGIA NE
B00000692A|A92.25|ALERGIA NE / EDEMA ALERGICO|Y|EDEMA ALERGICO
B00000693A|A92.26|URTICARIA/ANGIOEDEMA|Y|EDEMA ANGIONEUROTICO
B00000694A|A92.27|ALERGIA POSIBLE|Y|ALERGIA NE
B00195973A|A92.28|ANGIOEDEMA ALERGICO|Y|EDEMA ANGIONEUROTICO
B00000695A|A92.3|ANGIONEUROTICO, EDEMA|Y|EDEMA ANGIONEUROTICO
B00000696A|A92.30|REACCION ALERGICA NC EDEMA|Y|EDEMA ALERGICO
B00000678A|A92.31|ALERGIA RASH|Y|ALERGIA NE
B00011138A|A92.32|REACCION ALERGICA CON BRONCOESPASMO|Y|ALERGIA NE
B00071946A|A92.33|ALERGIA A POLEN|Y|ALERGIA NE
B00057341A|A92.34|ALERGIA A GRAMINEAS|Y|ALERGIA NE
B00073715A|A92.35|ALERGIA A METALES|Y|ALERGIA NE
B00080085A|A92.36|ALERGIA ESTACIONAL|Y|ALERGIA NE
B00543196A|A92.37|ALERGIA A HONGOS|Y|ALERGIA NE
B00071942A|A92.38|ALERGIA A PELO DE GATO|Y|ALERGIA NE
B00000697A|A92.5|SHOCK ANAFILACTICO|Y|CHOQUE ANAFILACTICO/SHOCK
B00000698A|A92.6|ALERGIA ALIMENTARIA|Y|ALERGIA ALIMENTARIA, ALIMENTOS
B00000700A|A92.8|ANGIONEUROTICO,EDEMA (EXCLUIDO FARMACOS)|Y|EDEMA ANGIONEUROTICO
B00000705A|A93.2|NIÑO (NACIDO VIVO) PREMATURO|Y|
B00000706A|A93.3|RECIEN NACIDO VIVO BAJO PESO|Y|
B00000003A|A01.1|DOLOR CUERPO (GENERALIZA.) NC|Y|DOLOR CRONICO GENERALIZADO
B00008098A|A01.3|DOLOR|Y|DOLOR CRONICO GENERALIZADO
B00000006A|A01.4|DOLOR CRONICO|Y|DOLOR CRONICO GENERALIZADO
B00000007A|A01.5|DOLOR GLUTEO|Y|DOLOR CRONICO GENERALIZADO
B00000016A|A02.6|TIRITAR|Y|ESCALOFRIOS, TIRITONA
B00000017A|A02.7|DISTERMIA|Y|ESCALOFRIOS, TIRITONA
B00000020A|A03.1|FIEBRE (FEBRIL)|Y|FIEBRE DE ORIGEN DESCONOCIDO
B11302941A|A03.-1|FIEBRE (RESTO)|Y|FIEBRE DE ORIGEN DESCONOCIDO
B00008544A|A03.10|FIEBRE (FEBRIL)/IRA|Y|FIEBRE DE ORIGEN DESCONOCIDO
B00008542A|A03.11|FIEBRE (FEBRIL) ITU|Y|FIEBRE DE ORIGEN DESCONOCIDO
B00008541A|A03.12|FIEBRE (FEBRIL) GEA|Y|FIEBRE DE ORIGEN DESCONOCIDO
B00008288A|A03.13|FIEBRE SIN FOCO|Y|FIEBRE DE ORIGEN DESCONOCIDO
B00008283A|A03.14|FIEBRE DE CORTA EVOLUCION|Y|FIEBRE DE ORIGEN DESCONOCIDO
B03242091A|A03.15|FIEBRE (FEBRIL)/ AMIGDALITIS|Y|FIEBRE DE ORIGEN DESCONOCIDO
B00008349A|A03.17|HIPERTERMIA|Y|FIEBRE DE ORIGEN DESCONOCIDO
B00000022A|A03.2|FIEBRE ORIGEN DESCONOCIDO|Y|FIEBRE DE ORIGEN DESCONOCIDO
B00000023A|A03.3|SENTIRSE FEBRIL|Y|FIEBRE DE ORIGEN DESCONOCIDO
B00000024A|A03.4|FEBRICULA|Y|FIEBRE DE ORIGEN DESCONOCIDO
B00000025A|A03.5|FIEBRE FACTICIA|Y|FIEBRE DE ORIGEN DESCONOCIDO
B00000027A|A03.7|SINDROME FEBRIL PROLONGADO|Y|FIEBRE DE ORIGEN DESCONOCIDO
B00008330A|A03.8|FIEBRE-VIRIASIS|Y|FIEBRE DE ORIGEN DESCONOCIDO
B00008543A|A03.9|FIEBRE (FEBRIL)/CVA|Y|FIEBRE DE ORIGEN DESCONOCIDO
B11302942A|A04.-1|ASTENIA/CANSANCIO/DEBILIDAD (RESTO)|Y|CANSANCIO GENERAL, DEBILIDAD, ASTENIA
B00000033A|A04.10|SENTIR MALESTAR|Y|MALESTAR INESPECIFICO, GENERALIZADO
B00000034A|A04.11|SENTIRSE CANSADO|Y|CANSANCIO GENERAL, DEBILIDAD, ASTENIA
B00000036A|A04.13|SENTIRSE ENFERMO|Y|MALESTAR INESPECIFICO, GENERALIZADO
B00000032A|A04.19|ASTENIA|Y|CANSANCIO GENERAL, DEBILIDAD, ASTENIA
B01553085A|A04.2|CANSANCIO GENERAL  DEBILIDAD|Y|CANSANCIO GENERAL, DEBILIDAD, ASTENIA
B00000044A|A04.20|SINDROME DE FATIGA CRONICA|Y|SINDROME DE FATIGA CRONICA
B00000042A|A04.21|ASTENIA PRIMAVERAL|Y|CANSANCIO GENERAL, DEBILIDAD, ASTENIA
B00000039A|A04.22|DEBILIDAD GENERALIZADA|Y|CANSANCIO GENERAL, DEBILIDAD, ASTENIA
B00000047A|A04.5|FATIGA|Y|FATIGA
B00000048A|A04.6|INCOMODIDAD. VEASE DOLOR GENERALIZADA|Y|MALESTAR INESPECIFICO, GENERALIZADO
B01847964A|A04.7|LAXITUD GENERALIZADA|Y|LASITUD
B00000050A|A04.8|LETARGIA|Y|LETARGIA
B00353453A|A05.1|SENSACION DE MALESTAR|Y|SENSACION DE ENFERMEDAD/DE ESTAR ENFERMO
B00000057A|A05.4|DETERIORO GENERAL|Y|DETERIORO GENERAL
B00000058A|A05.5|MALESTAR INESPECIFICO|Y|SENTIRSE ENFERMO, MAL
B00000061A|A06.1|ATAQUE, DESMAYO|Y|LIPOTIMIA, DESMAYO
B00000062A|A06.10|SINCOPE / COLAPSO / DESMAYO / ATAQUE VASOVAGAL|Y|CUADRO VASOVAGAL
B00000063A|A06.11|SINCOPE VASOVAGAL|Y|CUADRO VASOVAGAL
B00000064A|A06.12|SINCOPE TUSIGENO|Y|PERDIDA DE CONCIENCIA, DE CONOCIMIENTO, SINCOPE
B00000065A|A06.2|COLAPSO|Y|COLAPSO, SHOCK (CHOQUE)
B00000066A|A06.3|DESMAYO|Y|LIPOTIMIA, DESMAYO
B00000067A|A06.4|HISTORIA PERDIDA DE CONCIENCIA|Y|PERDIDA DE CONCIENCIA, DE CONOCIMIENTO, SINCOPE
B00000068A|A06.5|INCONSCIENCIA (SINCOPE)|Y|PERDIDA DE CONCIENCIA, DE CONOCIMIENTO, SINCOPE
B00000069A|A06.6|LIPOTIMIA|Y|LIPOTIMIA, DESMAYO
B00000070A|A06.7|PERDIDA CONCIENCIA|Y|PERDIDA DE CONCIENCIA, DE CONOCIMIENTO, SINCOPE
B00000071A|A06.8|SENTIR DESMAYO (PERDIDA DE CONCIENCIA)|Y|PERDIDA DE CONCIENCIA, DE CONOCIMIENTO, SINCOPE
