descriptor_bueno,descriptor_malo
"DISTENSION, ESGUINCE NC DEDO (PIE/MANO)",ESGUINCE DE DEDOS MANO
"SINTOMA, QUEJA, SIGNO MICCION NC","SINTOMA, SIGNO DE LA MICCION"
SIGNO/SINTOMA DEL COMPORTAMIENTO DEL NIÑO,TRASTORNO DEL COMPORTAMIENTO EN EL NIÑO
ULCERA CORNEAL,ULCERA CORNEAL TRAUMATICA - IZQUIERDO/A
FIBROMIALGIA,"FIBROMIALGIA, SINDROME"
HIPERTRANSAMINASEMIA,HIPERTRANSAMINEMIA
DISMINUCION DE AGUDEZA VISUAL,DISMINUCION VISION CERCANA
ULCERA CORNEAL,ULCERA CORNEAL TRAUMATICA - DERECHO/A
EROSION CORNEAL,EROSION CORNEAL - IZQUIERDO/A
SIGNO/SINTOMA DE LA ESPALDA (NO LUMBAR),"SINTOMA, SIGNO DORSAL"
ANEMIA,ANEMIA NO FILIADA
DESVIACION DEL TABIQUE NASAL,DESVIACION ADQUIRIDA DEL TABIQUE NASAL
TENDINITIS DE LOS ROTADORES,TENDINITIS MANGUITO DE ROTADORES - IZQUIERDO/A
LUXACION DISCO LUMBAR,DISCOPATIA LUMBAR
"RASH, EXANT., GENERALIZADO",RASH CUTANEO GENERALIZADO
TENDINITIS AQUILEA,TENDINITIS TALON DE AQUILES - IZQUIERDO/A
"LESION AGUDA MENISCO, RODILLA",LESION DE MENISCO INTERNO RODILLA - DERECHO/A
"SINTOMA, QUEJA, SIGNO ENCIAS NC",SINTOMAS EN LAS ENCIAS
"SINTOMA, QUEJA, SIGNO MANO NC","SINTOMA, SIGNO DE MANO - AMBOS/AS"
TENDINITIS AQUILEA,TENDINITIS TALON DE AQUILES - DERECHO/A
"RASH, EXANT., LOCALIZADO",RASH CUTANEO LOCALIZADO
METRORRAGIA POSTMENOPAUSICA,SANGRADO VAGINAL POSTMENOPAUSICO
"LESION AGUDA MENISCO, RODILLA",LESION DE MENISCO INTERNO RODILLA - IZQUIERDO/A
DIARREA CRONICA INESPECIFICA,DIARREA CRONICA NO FILIADA
DISPEPSIA NC,DISPEPSIA NO INVESTIGADA
EROSION CORNEAL,EROSION CORNEAL - DERECHO/A
CEFALEAS,CEFALEA PUNZANTE
MASA PIEL LOCALIZADA / NODULO SUBCUTANEO,NODULO SUBCUTANEO
FIEBRE HEMORRAGICA (PICADURA DE ARTROPODO),ENFERMEDAD PICADURA ARTROPODOS
DEDO EN RESORTE,DEDO EN RESORTE - IZQUIERDO/A
CONJUNTIVITIS VIRAL OJO DERECHO O IZQUIERDO,CONJUNTIVITIS VIRAL - IZQUIERDO/A
CONJUNTIVITIS VIRAL OJO DERECHO O IZQUIERDO,CONJUNTIVITIS VIRAL - DERECHO/A
"SINTOMA, QUEJA, SIGNO OIDO NC","SINTOMA, SIGNO DEL OIDO - IZQUIERDO/A"
FLUJO VAGINAL,FLUJO VAGINAL ABUNDANTE
FRACTURA FALANGES MA,FRACTURA DEDO DE LA MANO - DERECHO/A
ESTOMATITIS,ESTOMATITIS CANDIDIASICA
TENDINITIS CODO,TENDINITIS DE CODO - DERECHO/A
EDEMA/S NE,EDEMAS GENERALIZADOS - AMBOS/AS
ABRASION PIEL,ABRASION
QUISTE ENDOMETRIOSICO OVARICO,QUISTE OVARICO BENIGNO
ENFERMEDAD LENGUA NC,ENFERMEDAD DE LA LENGUA NO ESPECIFICADA
QUERATITIS ACTINICA,QUERATITIS ACTINICA - AMBOS/AS
LAGRIMEO,LAGRIMEO - AMBOS/AS
MASA PIEL LOCALIZADA / NODULO SUBCUTANEO,NODULO CUTANEO
UÑA DISTROFICA,UÑAS DISTROFICAS
PERDIDA DE VISION,PERDIDA DE VISION AMBOS OJOS
"CALCANEO, ESPOLON",ESPOLON CALCANEO - IZQUIERDO/A
INCREMENTO PESO,AUMENTO DE PESO
ENFERMEDAD LABIOS NC,ENFERMEDAD DE LOS LABIOS NO ESPECIFICADA
BURSITIS CODO,BURSITIS DE CODO - DERECHO/A
FRACTURA FALANGES MA,FRACTURA DEDO DE LA MANO - IZQUIERDO/A
"SINTOMA, QUEJA, SIGNO OIDO NC","SINTOMA, SIGNO DEL OIDO - DERECHO/A"
