AUI|CODE|STR|ISPREF
B03217892A|L15.1|DOLOR RODILLA MUSCULO ESQUELETI. IZDA|N
B11393700A|T89.4|DM TIPO II INSULIN|N
B11430554A|N04.2|SINDROME  DE  PIERNAS   INQUIETYAS|N
B07518058A|A67.10|DERIVACION A MEDICO ESPECIALISTA/|N
B00780028A|P80.1|TRASTORNO PERSONALIDA|N
B04426691A|L14.6|DOLOR PIERNA  DCH MUSCULO ESQUELETI. NC|N
B05552580A|L79.7|DISTENSION, ESGUINCE  MUÑECA DCH.|N
B11385931A|S16.14|CONTUSION MANO DCH.|N
B00010095A|A70.9|TUBERCULOSI PRIMARIA|N
B00016951A|D99.11|INVAGINACION INTESTINAL|Y
B00029378A|L55.1|CAPSULA ARTICULAR INYECCION|N
B04689178A|N08.32|TEMBLOR EID|N
B11365090A|K90.1|ACV,|N
B11394078A|F99.26|DESPRENDIMIENTO  DE VITREA|N
B01562776A|T99.29|SDME DE GILBERT''''|N
B08815984A|Y74.4|ORQUITIS/IZDA|N
B08927623A|L11.2|DOLOR MUÑECA NC  IZDA|N
B08670755A|X03.2|DOLOR (OVULACION)|N
B04144076A|T08.2|ADELGAZANDO|N
B09210075A|L76.6|FRACTURA DE HUMERO - DCHA|N
B09005904A|H76.1|CUERPO EXTRAÑO  OIDOS|N
B04114717A|L17.4|DOLOR PIE IZQ.MUSCULO ESQUELETI NC|N
B00034595A|P01.16|ANSIEDAD: INSOMNIO|N
B08693105A|S12.1|PICADURA (INSECTO)..(URG)..|N
B09166057A|R78.12|INFECCION RESPIRATORIAS BAJAS|N
B00799622A|A62.5|NO ACUDIO A LA CONSULTA|N
B04257849A|T91.14|VITAMINAS  D INSUFICIENCIA|N
B00032882A|N01.4|CEFALEA, CRONICA|N
B00045639A|S91.4|) PSORIASIS EN PLACAS|N
B00008949A|L04.9|DOLOR( TORACICO)|N
B02309560A|N93.6|CARPO, SINDR. DEL TUNEL DEL/ BILATERAL|N
B00015648A|D89.20|HERNIA INGUINAL IZDA  NC|N
B00050871A|W78.3|EMBARAZO  CONFIRMADO DESEADO|N
B09398440A|D06.19|ABDOMEN DOLOR -FID-|N
B11370344A|L17.14|SINTOMA, QUEJA, SIGNO DEDOS (PIES) NC - AMBOS/AS /|N
B08669583A|S88.6|ECCEMA NC **|N
B04419013A|H70.3|OTITIS EXTERNA  OIDO  IZDO|N
B01471533A|X21.5|SINTOMA, QUEJA, SIGNO MAMA NC--|N
B08678353A|L91.19|***   POLIARTROSIS|N
B03008774A|R81.-1|NEUMONIA+DERRAME PLEURAL/PLEURITIS/PLEURESIA POR NEUMONIA|N
B01968602A|A97.2|NIÑA SANA.|N
B00561029A|Y01.1|DOLOR EN  PENE|N
B00251870A|S98.13|URTICARIA A  FRIGORE|N
B01208338A|L04.2|DOLOR COSTAL  , COSTILLAS|N
B11401462A|P06.28|HIPERSOMNIA--SUEÑO EXCESIVO|N
B11413812A|P76.18|TRASTORNO ADAPTATIVO MIXTO(ANSIOSO/DEPRESIVO) +++++++|N
B11406915A|R74.22|IRA  /SIBILANCIAS|N
B09032405A|X99.17|SINDROME  DE OVARIO   POLIQUISTICO|N
B09309546A|W90.2|PARTO NORMAL NACIDO VIVO(S)*/ MUJER|N
B11378644A|L90.2|GONARTROSIS BILATERAL /|N
B00675851A|L90.1|GONARTROSIS DERECHA .|N
B03028666A|T91.14|VITAMINAS DEFICIENCIA: DEFICIT VIT. D|N
B11416651A|P76.15|ANSIEDAD........DEPRESION|N
B00005322A|R96.8|CRISIS ASMATICA|Y
B08780461A|A97.8|POR ERROR.|N
B08257892A|K76.12|IAM (EN 2003)|N
B11420617A|R74.10000|CATARRO DESCENDE¡NTE|N
B00014394A|D70.26|SAR.GASTROENTERITIS INFEC. INESPECIFICA|N
B11414165A|H03.8|ACUFENO --DERECHO|N
B00042324A|R99.46|RINOFARINGITIS ALERGICA.|N
B11437437A|L75.1002|OSTEOPOROSIS/ FRACTURA DE CADERA|N
B04180992A|L87.15|ESPOLON CALCANEO ;|N
B01812287A|L17.4|DOLOR PIE MUSCULO ESQUELETI .IZQ|N
B03010717A|X88.2|MASTOPATIA FIBROQUISTICA, MAMAS|N
B00750727A|K78.18|FIBRILACION AURICULAR/ANTICOAGULADO|N
B01479986A|A85.1|ALERGIA MEDICAMENTOSA.|N
B04452611A|D04.1|>>>    DOLOR ANAL     -----------|N
B00006685A|U95.5|EXPULSION DE CALCULOS|Y
B02463185A|K86.3|HTA  (NO COMPL.) '''''''''|N
B00986433A|K76.12|INFARTO AGUDO MIOCARDIO -2003|N
B11392223A|Y74.5|ORQUITIS Y EPIDIDIMITIS  DCHO|N
B04618249A|D91.5|ABDOMINAL HERNIA|N
B09388451A|D10.1|VOMITO, VOMITOS VOMITOS|N
B03083848A|K42.7|ALTERACION EKG--|N
B09394741A|R99.8|POLIPO   NASAL|N
B11363836A|T91.18|VITAMINAS DEFICIENCIA / B12.|N
B02208605A|F93.6|PRESION INTRAOCULAR ALTA.|N
B11390326A|P70.11|DEMENCIA DEGENERATIVO PRIMARIA|N
B00016699A|D97.8|HIGADO GRASO|N
B11401602A|T82.999|EXCESO DE PESO-OBESIDAD|N
B11381601A|S88.9|DERMATITIS DEL CARA|N
B08707703A|X15.6|HEMORRAGIA SANGRANDO NC VAGINAL.-|N
B11422767A|S16.19|CONTUSION DE RODILLA --DER.|N
B09294506A|F73.55|CONJUNTIVITIS O.I.-|N
B00038069A|R72.1|"AMIGDALITIS"  ESTREPTOCOCICA (ANGINAS)|N
B07394936A|K90.48|ICTUS BASILAR 2013|N
B11437813A|L17.5|DOLOR NC A/PIES|N
B02622705A|K90.1|ACCIDENTE CEREBROVASCULAR/ICTUS|N
B04643441A|L86.4|>>>     LUMBOCIATICA, LUMBALGIA (CON IRRADIACION/SINT IRRITATIVOS)   ----------------|N
B11398384A|A99.3|=========>ENFERMEDAD EN FASE TERMINAL|N
B07410399A|K76.12|INFARTO AGUDO DE MIOCARDIO NO Q7/95:CIRUGIA REVASC.|N
B01777536A|A13.2|MEDICAMENTOS.PREOCUPACION POR TOMAR.|N
B11417089A|R83.-1|INFECCION APARATO RESPIRATORIO NE INFECCION|N
B11400455A|R74.3|FARINGITIS//|N
B00297613A|D82.6|ENFERMEDAD ENCIAS, DE LAS|N
B01197576A|X78.2|MIOMA UTERINO**|N
B01557442A|H74.4|OTITIS MEDIA CRONICA -IZQUIERDO|N
B01314509A|S87.3|ECCEMA ATOPICA NC|N
B11400376A|L18.24|ROTURA FIBRILAR EN GEMELO NC|N
B00010461A|A80.4|ACCIDENTE, MOTO,|N
B09316108A|F13.5|SEQUEDAD OCULARA|N
B02525029A|A76.8|SINDROME PIE- MANO-BOCA|N
B04715379A|F75.4|HIPOSFAGMA OD --|N
B11398803A|F16.9|EDEMA PALPEBRAL ***|N
B01871154A|H01.2|OTALGIA/DCHA.|N
B02521719A|L76.9002|FRACTURA COSTILLAS, COSTAL + CONT. CADERA DCHA.|N
B01306476A|A91.46|GAMMA GT ELEVADA.-|N
B04254995A|Z16.9|PROBLEMAS ENTRE PADRES HIJOS|N
B00202704A|H71.996|OMA OTITIS MEDIA AGUDA - BRONCOESPASMO|N
B00813141A|N06.23|PARESTESIA, MIEMBRO SUPERIOR IZQUIERDO|N
B09319260A|F70.6|CONJUNTIVITIS  BACTERIANA.|N
B08513649A|T90.9|DIABETES MELLITUS TIPO 2 (NC) ***|N
B02698506A|U99.10|INSUFICIENCIA RENAL CRONICA MODERA|N
B09595767A|K76.12|ISQUEMIA CRONICA IAM 2005|N
B00304162A|S16.2|HEMATOMA   UÑA|N
B00106474A|D84.12|ESOFAGO BARRET NC|N
B11375283A|R96.3|BRONQUITIS ASMATICA NC ********************|N
B00518339A|A81.21|TRAUMATISMO   DEDOS, PIE NC|N
B04741718A|F02.1|OJO ROJO - DR|N
B08626124A|T93.5|HIPERCOLESTEROLEMIA ++++++++++++++|N
B11381647A|S29.1|CAMBIOS PIEL EN LA PIEL|N
B11371566A|K74.9|* ANGINA DE PECHO|N
B11411693A|N08.3|TEMBLOR..|N
B00024301A|K81.2|SOPLO CARDIACO  INOCENTE|N
B03224865A|L87.1|GANGLION  EN MUÑECA DERECHA|N
B00018234A|F82.1|DESPRENDIMIENTO  DE RETINA|N
B09065052A|T90.2|DIABETES MELLITUS, NC.|N
B00043370A|S16.22|CONTUSION COSTAL*|N
B11431455A|D97.13|QUISTES  HEPATICOS NC|N
B00066560A|S76.3|LEISHMANIASIS|N
B00046941A|T82.6|OBESIDAD(IMC:32)|N
B00009944A|A62.5|NO  ACUDE A  CONSULTA|N
B11417659A|R78.12|INFECCION,  DE VIAS BAJAS|N
B00041957A|R97.8|HENO, FIEBRE DEL,RINITIS ALERGICA|N
B08932155A|H86.15|HIPOACUSIA (OD)|N
B00023284A|K77.3|INSUF. CARDIACA CONGESTIVA|N
B11365966A|Y85.1|ADENOMA. DE PROSTATA|N
B02749895A|L87.6|ENTESOPATIA:|N
B11398651A|K92.5|ENFERMEDEAD VASCULAR PERIFERICA|N
B00420077A|P76.1|DEPRESION *|N
B02664895A|F13.1|ANORMAL SENSACION  OJOS|N
B11437806A|L75.4|FRACTUR A DE FEMUR DERECHO|N
B11417958A|K78.1|--  FLUTTER AURICULAR|N
B03120506A|N91.2|PARALISIS FACIAL- IZQUIERDO/A|N
B08892962A|R01.2|MOLESTIA AL RESPIRAR|N
B00030306A|L77.1|TURMELL ESQUINÇ DE|N
B02059982A|D97.8|"HIGADO GRASO"|N
B00040834A|R81.5|NEUMONIA BACTERIANA (LMD)|N
B01494289A|R74.6|IRA  NC (IRA)|N
B00008996A|A16.10|NIÑO LLANTO EXCESIVO|N
B11433222A|S82.2|NEVUS - LUNAR|N
B11404503A|U71.5|ITU- DE.|N
B11435040A|L99.24|SINDROME SJIGREN ******|N
B00041611A|R96.16|ASMA.PREVENCION|N
B04634637A|L01.6|CERVICALGIA-DORSALGIA ; CERVICALGIA|N
B01378158A|A03.1|FIEBRE FEBRIL: URG|N
B02903941A|L85.20|ALTERACION DISCOS INTERVERTEBRAL DORSAL/LUMBAR (ADQ.)|N
B11371590A|D78.22|ANGIOMAS HEPATICOS,.|N
B00049837A|U75.1|NEOPLASIA RENAL MALIGNA|N
B00014813A|D82.1|FLEMON DENTAL URG SAR|N
B09343434A|L17.5|DOLOR NC / PIE|N
B11436423A|P01.1|ANSIEDAD<<<<<<<<<<<<<<<<<|N
B11423293A|L12.8|DEDO -DOLOR-|N
B11364907A|A92.21|ALERGIA A POLVO (ACAROS)|N
B11420016A|H81.3|TAPONES CERUMEN NC|N
B00075241A|P06.16|SAHS|N
B11379720A|L13.2|DOLOR  CADERA  IZQUIERDA|N
B08707034A|L08.11|DOLOR  DE HOMBROS|N
B09141813A|L86.18|++ + CIATICA|N
B00026563A|L01.7|CERVICALGIA TRAUMATICA|N
B00148309A|S16.3|GOLPE/ CONTUSION|N
B00047260A|T85.3|BOCIO  MULTINODULAR  TOXICO|N
B09089905A|S10.1|ABSCESO CUTANEO . EN GLUTEO|N
B02604597A|L80.5|LUXACION  HOMBRO NC|N
B08626523A|T89.1|**DIABETES MELLITUS TIPO I**|N
B01552523A|D88.7|APENDICECTOMIA  POR APENDICITIS AGUDA ; APENDICITIS AGUDA|N
B11375292A|R96.3|BRONQUITIS EN  ASMATICA|N
B11366788A|R78.17|BRONQUIOLITIS AGUDA LEVE..|N
B00029006A|L18.4|CONTRACTURA  MUSCULAR|N
B08540381A|L86.8|HERNIA DISCAL LUMBAR.-|N
B00545280A|L75.4|IQ FRACTURA CADERA DCHA|N
B00031603A|L89.1|COXARTROSIS-IZQUIERDA|N
B00000154A|A27.1|MIEDO A OTRA ENFERMEDAD NE (NO MAPEA)|N
B02822274A|T07.3|GANANCIA PESO|N
B11403230A|S18.4|/ HERIDA QX|N
B11431379A|U71.5|INFECCION, ORINA  !!!!!!!!!!!!!!!!!!!!!!!!!!|N
B06983723A|K76.12|IAM JUNIO 1999|N
B06751424A|K76.12|IAM ANTERO-SEPTAL 1988|N
B02105381A|X30.1|REVISION GINECOLOGICO|N
B08777056A|L03.15|DOLOR COCCIGEO.-|N
B04075697A|R76.6|AMIGDALITIS AGUDA :ANGINAS|N
B01342946A|N06.10|PARESTESIA EN MANO DERECHA|N
B02000034A|L76.6|FRACTURA DE HUMERO IZQ.|N
B11424670A|U99.10|FRACASO RENAL CRONICO (-)|N
B11364986A|A92.21|ALERGIA A ACAROS .|N
B01961945A|D89.20|HERNIA INGUINAL NC DERECHA ; HERNIA INGUINAL|N
B11382171A|F92.10|CATARATA SENIL INTERV...|N
B00000587A|A88.9|GOLPE CALOR|N
B11427635A|L03.2|LUMBAR (DOLOR)|N
B00045725A|S93.1|QUISTE SEBACEO RETROAURICULAR|N
B04122211A|L87.35|TENDINITIS NC BICIPITAL.|N
B00702502A|K78.21|FIBRILACION AURICULAR   2 - 3|N
B04417837A|Z12.12|MALTRATO,MALOS TRATOS AL CONYUGE|N
B01579572A|L87.49|TENDINITIS  EN DEDO|N
B09259312A|A50.10|CLT*****************|N
B01716735A|L17.6|SINTOMA, QUEJA, SIGNO DEDOS (PIES) *|N
B00003013A|K92.8|OCLUSION (ARTERIAL)|Y
B01850052A|L12.8|DOLOR NC  DEDO|N
B11398225A|B84.4|EOSINOFILIA NC *****|N
B00003387A|L54.7|ESCAYOLA DISLOCACION|N
B03142888A|K99.16|VARICOCELE DR|N
B11425357A|D89.20|HERNIA INGUINAL NC // DCHA|N
B11404486A|K90.1|ICTUS -|N
B02598812A|L73.3|FRACTURA DE  TOBILLO|N
B00029060A|L18.6|MIALGIAS|N
B02304596A|D06.27|DOLOR / INGUINAL|N
B00853004A|L17.9|DOLOR TALON  NC|N
B01946431A|K76.12|INFARTO DE MIOCARDIO, AGUDO 4-2003|N
B02157549A|A97.1|ERRORES|N
B01375418A|D89.8|HERNIA INGUINAL BILATERAL ,.|N
B04139452A|K76.12|CARDIOPATIA ISQUEMICA INFARTO/ TRIPLE BY-PASS ENERO 2011|N
B11375489A|F91.7|HIPERMETROPIA . ASTIGMATISMO.|N
B00044923A|S82.1|NEVUS  CONGENITO|N
B00053276A|Y77.1|NEO PROSTATA|N
B11366730A|H71.999|OMA (OTITIS MEDIA AGUDA).BRONQUITIS|N
B09361815A|U71.5|ITU--E,COLI+|N
B00023198A|K75.8|MIOCARDIO, INFARTO DE (AGUDO),NO Q|N
B00014025A|D70.29|DIARREA, INFECCIOSA|N
B02161303A|F73.28|CONJUNTIVITIS  QUIMICA NC|N
B00412639A|R96.7|ASMA POR ESFUERZO|N
B01536288A|K95.11|ECCEMA VARICOSA|N
B09369385A|N17.22|MAREO    ; VERTIGO Y MAREOS|N
B08793032A|K76.12|INFARTO AGUDO DE MIOCARDIO 2003|N
B07046733A|B80.-1|ANEMIA FERROPENICA -- SEVERA---|N
B02726379A|D72.7|HEPATITIS C NC (EDO SI ES AGUDA)|N
B02655690A|L18.23|DOLOR (MUSCULOESQUELETICO)|N
B08768954A|X12.4|SANGRADO   POSTMENOPAUSICA|N
B11416424A|S13.1|MORDEDURA ANIMAL. GATO.|N
B00365178A|L11.2|DOLOR EN MUÑECA IZDA|N
B08652926A|D92.3|DIVERTICULOS  DEL INTESTINO|N
B02848525A|H71.2|OMA INESPECIFICA|N
B02098320A|S88.28|DERMATITIS IRRITATIVA++|N
B02883625A|S88.1|DERMATITIS POR CONTACTO|N
B04286382A|D93.2|DIARREA, NC: COLON IRRITABLE.|N
B00264159A|R02.2|DISNEA:DOMICILIO|N
B11396727A|L14.7|DOLOR PIERNA IZQUIERDA.-|N
B08882176A|T90.8|DIABETES MELLITUS TIPO II- ADO-|N
B11386033A|A30.8|NO CONOCIDAS, HOY|N
B00021399A|H76.1|EXTRAÐO, CUERPO OIDO|N
B03146119A|K77.3|*****CONGESTIVA, INSUFICIENCIA CARDIACA@|N
B09394247A|L14.71|DOLOR NC PIERNAS.-|N
B00038264A|R74.10000|CATARRO DESCENDENTE.|N
B04220737A|L17.5|DOLOR PIE NC - AMBOS/AS -|N
B01980088A|D82.7|INFLAMACIO GENIVES|N
B08642277A|X79.3|MAMA IZDA FIBROADENOMAS|N
B09142808A|D71.2|(PAPERAS)|N
B00004187A|N70.1|EFECTO TARDIO POLIOMIELITIS|Y
B00334409A|K90.50|INFARTO PROTUBERANCIA ANTIGUO|N
B00003113A|L01.3|SINTOMA, QUEJA, SIGNO CUELLO NC|Y
B05912449A|K90.48|ACV HACE 4 AÑOS|N
B00002315A|H51.1|ASPIRACION (TERAPE.) OIDO|Y
B11437553A|L86.18|LUMBOCIATICA ( DERECHA)|N
B02272312A|A97.10|NO FUMADORA/NO FUMADOR|N
B01663046A|Y02.2|DOLOR DEL TESTICULO|N
B00572376A|D01.5|URGENCIAS-----ABDOMEN DOLOR|N
B05562454A|K90.48|ICTUS HEMORRAGICO EN EL 2002|N
B00585566A|S16.19|CONTUSION RODILLA DCHA .|N
B00842300A|B82.10|ANEMIA CRONIC A|N
B11363366A|L86.16|HERNIA NC DISCAL LUMBAR L5-S1.|N
B11392956A|L75.4|FRACTURA  FEMUR DERECHO.|N
B11391434A|D89.18|HERNIA INGUINAL NC - DERECHO/A---IQ|N
B06707305A|L86.8|Hernia Discal Lumbar|N
B11393557A|R99.2|DESVIACION TABIQUE NASAL / IQ|N
B00032240A|L93.2|TENDINITIS CODO - AMBOS/AS|N
B09260775A|R96.8|CRISIS ASMATICA, MODERADA|N
B00049179A|U14.3|COLICO NEFRITICO  IZDO|N
B05914031A|K76.12|IAM INFERIOR AÑO 85|N
B04131873A|D19.2|DOLOR DIENTES MUELAS-URG|N
B08832333A|A03.11|FIEBRE)/ITU|N
B11404096A|U71.12|INFECCIONE URINARIAS  REPETICION|N
B00754852A|D89.2|HERNIA INGUINO-ESCROTAL.|N
B08654602A|X20.7|GALACTORREA NC|N
B00195087A|D70.43|GASTROENTERITIS (SALMONELLA)|N
B02702883A|L84.28|ESTENOSIS CANAL LUMBAR NC|N
B00369625A|R80.1|GRIPE-URGENCIAS|N
B00304457A|D93.2|IRRITACION IRRITABLE COLON|N
B00766268A|L79.7|ESGUINCE/DISTENSION DE MUÑECA DCHA|N
B11416631A|P74.1|ANSIEDAD DE  ESTADO|N
B00041658A|R96.-1|POLINOSIS (FIEBRE DEL HENO)/ASMA.|N
B05845235A|K90.48|ACVA CARDIOEMBOLICO  2011|N
B02182438A|N01.1|CEFALEA -URGENCIAS|N
B00006778A|W12.6|DIU REINSERCION|Y
B09546859A|K90.48|HEMORRA. CEREBRAL/ICTUS ZOILA 14|N
B00041061A|R83.-1|INFECCION , APARATO RESPIRATORIO|N
B11396119A|L16.2|DOLOR TOBILLO IZDO. NC|N
B01805526A|D14.4|HEMORRAGIA DIGESTIVA ALTA POR  AINES.|N
B00751778A|K01.1|DOLOR  CORAZON, NC|N
B11428836A|Y81.1|FIMOSIS  NC|N
B00044554A|S74.4|MICOSIS UÑA|N
B01897681A|A79.8|, .METASTASIS CEREBRALES|N
B11397521A|L79.7|DISTENSION / ESGUINCE  MUÑECA|N
B11435022A|L80.12|LUXACION   ROTULA  ;|N
B02972686A|D99.35|INTOLERANCIA ALIMENTARIA (LACTOSA)*|N
B00050039A|U98.4|MICROALBUMINURIA +|N
B08858247A|U70.3|PIELONEFRITIS AGUDA*|N
B02638775A|L11.4|SINTOMA  MUÑECA NC|N
B02241441A|H01.2|URGENCIA  OTALGIA|N
B02939625A|L80.4|LUXACION DEDO(ARTICULAC.)|N
B08676253A|X18.1|DOLOR NC,MAMA|N
B04358300A|X12.4|, SANGR. NC POSTMENOPAUSICA|N
B00818489A|R05.3|TOS EXPECTORACION + FIEBRE|N
B09333974A|H70.13|OTITIS EXTERNA/ BILATERAL|N
B00512208A|L77.1|DISTENSION, ESGUINCE TOBILLO(S) - DERECHO/A|N
B11416597A|P03.8|ANIMO:TRISTE|N
B00026623A|L02.4|CONTRACTURA DORSAL @|N
B02277303A|F75.4|HEMORRAGIA SUBCONJUNTIVAL  IZQUIERDO/A|N
B11423003A|L17.3|DOLOR DEDOS, PIE NC - IZQUIERDO/|N
B00034518A|P06.26|APNEA DEL SUEÑO|Y
B00212038A|D70.26|GASTROENTERITIS INFEC INESPECIFICA--URG|N
B01916875A|A62.5|CONSULTA -->NO ACUDE|N
B00001286A|D21.3|INCAPACIDAD DEGLUTIR|Y
B01067535A|L01.15|CERVICALGIA POR  CERVICOARTROSIS|N
B08955462A|Y04.6|SINTOMA, QUEJA, SIGNO PENE NC SINTOMA, QUEJA, SIGNO PENE NC|N
B11427590A|L11.2|DOLOR NC( MUÑECA )|N
B00030541A|L98.3|GENU VALGUM (CONGENIT)|N
B00009912A|A62.5|CONSULTA --- NO ACUDE|N
B08961547A|L77.1|DISTENSION, ESGUINCE NC TOBILLO/DCH|N
B01695938A|K93.6|TROMBOEMBOLISMO PULMONAR (TEP BILATERAL)|N
B00767172A|L94.12|ENFERMEDAD DE SEVER,|N
B11396950A|Z20.10|PROBLEMAS  DIVORCIO SEPARACION|N
B11385121A|A23.5|CONTACTO CON  TUBERCULOSIS +|N
B00029888A|L76.6|FRACTURA HUMERO DCHO.|N
B02103799A|X18.1|DOLOR MAMAS|N
B04203967A|L87.37|TENDINITIS NE MANO IZQ|N
B11426720A|P73.5|PSICOSIS, PSICOTICO ESQUIZOAFECTIVA, ESQUIZOF. ++|N
B01269195A|S82.1|NEVUS CONGENITA|N
B00154756A|S76.12|*CELULITIS  PIERNA NC|N
B04413828A|R21.7|SINTOMA SIGNO GARGANTA NC|N
B02622776A|L18.13|FASCITIS PLANTAR NC - DERECHO/A|N
B11393525A|L08.1|DOLOR HOMBRO NC. DCHO|N
B11381765A|R84.2|DE CARCINOMA PULMONAR|N
B01773194A|K96.30|FISURA ANAL - HEMORROIDE|N
B04395168A|K76.5|INFARTO DE MIOCARDIO, ANTIGUO  TAO 2-3+AC X FA|N
B01855605A|Z08.9|PROBLEMA BIENESTAR SOCIAL /DEPENDENCIA|N
B00026726A|L02.9|CONTRACTURA DORSO-LUMBAR|N
B08891309A|T90.9|DM                TIPO II|N
B01394385A|L01.7|CERVICALGIA TRAUMATICA.|N
B09010153A|D19.15|DENTAL  IMPLANTES|N
B11386232A|A50.7|CONSULTA * RECETAS|N
B00991681A|N89.1016|MIGRAÑA/JAQUECAS|N
B00711010A|K01.4|DOLOR TORAX ATIPICO NC|N
B01563482A|L74.16|FRACTURA DE FALANGES MANO IZDA|N
B01173914A|D95.999|FISURA ANAL- ABSCESO PERIANAL -|N
B04642301A|R97.8|FIEBRE  DEL  HENO|N
B09253237A|U99.10|RENAL . INSUFICIENCIA RENAL CRONICA|N
B02892266A|F30.1|EXAMEN DE LOS OJOS|N
B00098849A|K76.5|....ISQUEMIA CARD. CON ANGINA (INC. INFARTO IAM ANTIGUO)|N
B11386302A|S16.19|CONTUSION     EN       RODILLA  DERECHA|N
B03230881A|A61.1|INFORME A TELEASISTENCIA|N
B00034174A|P01.1|+ANSIEDAD|N
B11438290A|K95.1|VARICES EXTREMIDADES INFERIORES.....|N
B00535476A|A85.12|MEDICAMENTOS EF ADVER DOSIS CORRECTA|N
B00014764A|D79.5|CUERPO EXTRAÑO  EN FARINGE|N
B00025452A|K87.4|HTA  CON HVI|N
B11428573A|L76.13|FX. ESCAPULAR|N
B00012707A|D01.5|URG _ABDOMEN DOLOR|N
B08795923A|L03.10|LUMBALGIA  EMBARAZADA.|N
B01409069A|L90.1|OSTEOARTROSIS RODILLA  IZDA|N
B00007277A|X21.8|TELARQUIA PRECOZ|Y
B01441397A|D89.16|HERNIA INGINOESCROTAL IZQUIERDO|N
B00358819A|D03.2|PIROSIS  /ACIDEZ DE ESTOMAGO|N
B11414433A|D97.6|HEPATITIS ALCOHOLICA '|N
B00068098A|P81.1005|TRASTORNO DE HIPERACTIVIDAD|Y
B03167026A|L15.2|DOLOR RODILLA  DERECHA  NC|N
B00029525A|L73.3|FRACTURA  TOBILLO IZDO|N
B01624393A|L12.5|DOLOR MANO NC - IZDA|N
B02339912A|L28.5|INMOVILIZADO  ATENCION A DOMICILIO|N
B11403794A|R81.9|NEUMONIA NE L.I.I.|N
B08834032A|U71.14|CISTITIS..|N
B03099854A|R74.6|CATARRO URGENCIAS.|N
B11378168A|H81.3|TAPON DE CERUMEN--BILATERAL|N
B00000863A|B70.1|ABSCESO GANGLIO, EN|Y
B00088720A|R75.3|SINUSITIS AGUDA MAXILAR AGUDA|N
B00034771A|P10.2|TICS (ORIGEN PSICOGEN) NC|N
B00013249A|D11.8|DIARREA  CRONICA|N
B00022544A|K07.3|TURMELL EDEMA|N
B00008857A|L04.9|DOLOR  TORAX NC|N
B02246556A|B50.4|AREA 7 TAO|N
B11398454A|L93.1|EPICONDILITIS -IZQ-|N
B00014398A|D70.26|SUAP - GEA (GASTROENTERITIS INFEC. INESP.)|N
B03202640A|S71.2|HERPES SIMPLE NARIZ.|N
B03142739A|F16.9|EDEMA PALPEBRALES|N
B11436093A|R97.12|+RINITIS ALERG, ACAROS|N
B11432516A|N06.23|PARESTESIAS DE MSI|N
B02882106A|F92.8|CATARATAS PARA CIRUGIA|N
B00054094A|Z27.1|MIEDO A UN PROBLEMA SOCIAL|N
B11366096A|R81.14|NEUMONIA NE NEUMONIA ADQUIRIDA COMUNIDAD|N
B04204521A|L93.3|EPITROCLEITIS - IZQUIERDO|N
B04257827A|D84.8|ENFERMEDAD DE REFLUJO GASTROESOFAGICO|N
B09350231A|T91.14|VITAMINAS DEFICIENCIA - VIT  D|N
B01164874A|L75.-1|FRACTURA CADERA/DOLOR CRONICO|N
B02141722A|F82.1|DESPRENDIMIENTO DE RETINA - DERECHO/A  ------------|N
B08822902A|T93.7|***    DISLIPEMIA|N
B01230193A|K86.3|HTA (NO COMPL.) HTA  (NO COMPL.)|N
B04186710A|B50.4|ANTICOAGULACION /TAO|N
B00010617A|A84.6|EFECTO TOXICO/INTOXICACION POR MEDICAMENTO A DOSIS ERRONEA|N
B04935999A|K76.12|CARDIOPATIA ISQUEMICA IAM NO Q - ENF CORONARIA DE 3 VASOS COMPLETAMENTE REVASCULARIZADA (FEB/2016) ; INFARTO AGUDO MIOCARDIO|N
B11387781A|Y73.5|PROSTATITIS; PROSTATITIS CRONICA|N
B11363434A|L86.16|HERNIA DISCAL 5L-1S|N
B02033584A|K86.8|HIPERTENSION ; HIPERTENSION ESENCIAL|N
B11435611A|S91.6|^SORIASIS|N
B08579449A|H71.2|URG. OTITIS MEDIA AGUDA (OMA)|N
B02785374A|A81.21|TRAUMATISMO EN DEDO DE PIE|N
B11428518A|W12.1|DIU REVISION **|N
B01709571A|K78.21|FIBRILACION AURICULAR -TAO 2-3|N
B04457318A|R77.5|LARINGITIS AGUDA  TRAQUEITIS|N
B11422142A|S03.7|CONDILOMAS A|N
B02774357A|R74.22|IRA  (BRONCOESPASMO)|N
B05315736A|L80.5|LUXACION HOMBRO .|N
B00031627A|L90.1|ARTROSIS DE RODILLA|N
B08592489A|B26.2|MIEDO DE PADECER LEUCEMIA|N
B01685414A|A98.8|REVISIONES DEL NIÑO SANO 2 A 5 AÑOS|N
B00011820A|B04.2|SIGNO/SINTOMA DE SANGRE|N
B09209801A|D03.3|PIROSIS (ARDOR) ; ARDOR|N
B00053825A|Z12.12|MALTRATO, MALOS TRATOS (DE) CONYUJE|N
B00557211A|F75.2|CONTUSION OCULAR DCHO|N
B08627897A|S18.4|CORTE (HERIDA), FRENTE|N
B11413594A|D01.5|ABDOMEN DOLOR ****   ****|N
B00032351A|L95.4|OSTEOPENIA(NC)|N
B11401322A|P17.10|FUMADOR ,,,EX|N
B00039025A|R74.17|FARINGITIS,VIRAL|N
B00013500A|D18.5|FEMTES MOC|N
