AUI|CODE|STR|ISPREF
B11395291A|L84.20|TRASTORNO DISCOS INTERVERTEBRALES|N
B00007403A|X73.2|URETRITIS TRICOMONIASICA (PROBADA) FEMENINA|Y
B04622758A|N01.1|CABEZA DOLOR NC|N
B00974155A|K90.9|/HEMATOMA SUBDURAL|N
B11411641A|D16.15|RECTORRAGIA ''|N
B00020660A|H71.1000|OMA (OTITIS MEDIA AGUDA) BILATERAL|N
B02489081A|L08.1|HOMBRO DOLOROSO-|N
B00075242A|A78.11|LEPRA SIN ESPECIFICAR|N
B00986669A|L29.7|DOLORES DEL CRECIMIENTO|N
B08681962A|R97.8|RINITIS ALERGICA --|N
B00031663A|L90.1|GONARTROSIS  DCHA|N
B05649531A|R81.9|NEUMONIA, RETROCARDIACA|N
B00748018A|A06.6|LIPOTIMIES|N
B11428012A|L04.1|DOLOR TORACICO MUSCULO ESQUELETICO (NC) ***|N
B01503619A|X72.6|MICOSIS VAGINAL..|N
B04490801A|S16.9|CONTUSION DEDOS DE LA PIE|N
B11398007A|D97.4|ENFERMEDAD HEPATICA NE (-)|N
B09351933A|L08.1|DOLOR HOMBRO NC   (DERECHO)|N
B00019724A|F99.16|PTERIGION OD.|N
B04285344A|L75.4|SIGNO/SINTOMA DE LA CADERA - IZQUIERDO/A/FRACTURA CADERA|N
B08948116A|D18.1|CAMBIO (EN) (DE) HECES .|N
B02703137A|K76.12|C. ISQUEMICA IAM NO Q ANTEROAPICAL-STENT DA 2007- STENT 2008|N
B00130062A|N87.1|ENFERMEDAD PARKINSON DE NC ; ENFERMEDAD DE PARKINSON|N
B11420949A|S88.14|ECCEMA NC EN CARA.|N
B01859025A|L87.25|BURSITIS NE-CODO DCHO|N
B00189163A|U71.12|INFECCION URINARIA NE REPETICION|N
B09387653A|L75.4|IQ-FRACTURA CADERA DERECHA|N
B11405676A|K84.46|MIOCARDIOPA´TIA HIPERTROFICA NO OBSTRUCTIVA|N
B02957554A|P81.3|DISMINUCION ATENCION- DEFICIT ATENCION|N
B11407392A|L15.3|SINTOMA, QUEJA, SIGNO RODILLA NC - IZQUIERDO/A,|N
B11385992A|A50.7|CONSULTA SIN ENFERMEDAD """"" RECETAS""""|N
B11436072A|A92.21|ALERGIA ACAROS,POLVO|N
B01733274A|K90.4|EPIDURAL HEMORRAGIA|N
B11378588A|P73.8|--  TRASTORNO BIPOLAR|N
B02126299A|D75.1|NEOPLASIA MALIGNA COLON. CONTROLES BIEN|N
B02233713A|D99.35|INTOLERANCIA ALIMENTARIA A LACTOSA +|N
B11414015A|B02.1|ADENOPATI A|N
B02458308A|L10.1|DOLOR NC CODO DCHO|N
B01417451A|A76.10|RASH NE|N
B02119661A|W83.3|IVE  NC|N
B11436580A|R72.1|AMIGDALITIS ESTREPTOCOCICA / ANGINAS URG|N
B11405353A|D91.24|HERNIA UMBILICAL(IQ)|N
B11376700A|S77.1|BASOCELULAR, CARCINOMA DE PIEL ---+++|N
B02700442A|D70.43|GEA- SALMONELLA|N
B11378194A|H81.3|TAPON    CERUMEN   BILATERAL|N
B11413643A|L74.4|FRACTURA  METACARPIANO 5|N
B09001498A|L13.8|DOLOR CADERA NC/IZDA|N
B00019223A|F92.8|CATARATA: OPERADA|N
B11428407A|L04.9|DOLOR NC(TORAX)|N
B01256453A|A50.8|+++++++ POLIMEDICADO++++++|N
B02516184A|F94.21|DEFICIT   VISUAL|N
B01428925A|D70.25|GEA (GASTROENTERITIS ROTAVIRUS|N
B11434173A|T91.18|VITAMINAS DEFICIENCIA B12 -|N
B00035707A|P29.8|PROBLEMA PSICOLOGICO|N
B01693200A|L87.25|BURSITIS   DE CODO|N
B09415285A|L12.63|ARTRALGIA  DE MANO|N
B06648115A|K76.12|INFARTO DE MIOCARDIO, AGUDO 5211|N
B09213903A|D89.20|HERNIA INGUINAL NC  DRCHA|N
B08676072A|R99.35|FARINGITIS CRONICA   NC|N
B11376733A|D84.12|ESOFAGO DE BARRETT .|N
B02599241A|K85.6|TENSION ARTERIAL ELEVADA.)|N
B00138424A|A31.99|EXAMEN  DE  SALUD|N
B06198335A|K90.49|AIT 1999|N
B01865953A|L18.6|MIALGIES|N
B04568934A|D92.4|DIVERTICULOS COLONICA|N
B00032164A|L92.8|SINDROMES DE HOMBRO - DERECHO/A|N
B00839871A|T81.18|BOCIO SIMPLE  NORMOFUNCIONANTE|N
B00040617A|R80.1|GRIPE / SINDROME GRIPAL, INFLUENZA (URGEN).|N
B02330895A|L73.1|FX DE PERONE|N
B01999622A|S88.19|ECCEMA INTERTRIGO EN MAMA IZDO|N
B06093506A|L79.7|DISTENSION, ESGUINCE NC MUÑECA DCHO|N
B11389741A|P76.4|ENDOGENA, DEPRESION -DEPRESION|N
B00632536A|A75.1|MONONUCLEOSIS    INFECCIOSA|N
B01344937A|S82.8|NEVUS   AZUL|N
B11373088A|Y06.7|PROSTATICO PSA ELEVADO|N
B00008235A|A03.1|FIEBRE (FEBRIL)-URGENCIA|N
B09004411A|A03.12|FIEBRE (FEBRIL) + GEA.|N
B00050415A|W11.1|MEDICACIO (PRESCRIP.) (PETICIO DE) AVIS SOBRE ANTICONCEPTIU|N
B02357874A|B34.8|ANALITICA SANGRE.|N
B04388172A|W85.1|DIABETES  GESTACIONAL ; DIABETES MELLITUS|N
B04592362A|L76.9000|FRACTURA CADERA  IZD Y HUMERO IZD+POLIM|N
B09052783A|Y85.1|ADENOMA DE PROSTATA)|N
B01339933A|D88.7|APENDICITIS AGUDA*IQ|N
B11397343A|L77.1|DISTENSION, ESGUINCE TOBILLO IZQ .|N
B02366025A|L11.2|DOLOR MUECA  DCHA|N
B00015417A|D87.5|GASTRITIS +|N
B00390281A|F75.4|HEMORRAGIAS SUBCONJUNTIVALES IZQUIERDO|N
B00750263A|D97.11|ALCOHOLISMO-HEPATOPATIA|N
B08726038A|F29.3|SINTOMA/SIGNO QUEJA OJO|N
B09176989A|F02.1|OJO ROJO / DCHO|N
B00020675A|H71.2|OMA (OTITIS MEDIA AGUDA) IZQUIERDA|N
B00532542A|F13.1|SENSACION OJO ANORMAL DR|N
B00014255A|D72.7|HEPATITIS VIRAL "C"|N
B02348258A|A03.1|AYER FIEBRE|N
B00044077A|S21.5|SEQUEDAT DE PELL|N
B09287519A|S86.-1|DERMATITIS SEBORREICA/FACIAL|N
B00040809A|R81.5|NEUMONIA  BACTERIANA|N
B00197468A|L13.2|DOLOR CADERA NC COXALGIA IZDA|N
B00053611A|Z04.6|PROBLEMA SOCIAL /NC|N
B11426101A|A91.13|HIPERGLUCEMIA,SIN DIABETES|N
B10331076A|K90.48|ICTUS  A LOS 58|N
B11426879A|W05.3|VOMITOS/ EMBARAZADA|N
B11435249A|S99.22|QUERATOSIS SEBORRICAS|N
B11363446A|L86.9|SINDROME DISCAL LUMBAR. L5=S1|N
B00028803A|L17.7|SINTOMA, QUEJA, SIGNO PIES|N
B02323295A|K86.1|ESSENCIAL, HIPERTENSI_ BENIGNA|N
B05962553A|D15.2|MELENAS ; SANGRE EN HECES|N
B03289083A|S97.1|ULCERA, SACRA ULCERACION DECUBITO|N
B08631270A|B83.2|ALTERACIONES DE LA COAGULACION,TAO|N
B00029433A|L72.1|FRACTURA COLLES, DE|N
