"",ML10,ML13,ML2,ML7,ML3,ML9,ML4,ML5,ML1,ML8,ML12,ML11,ML6,ML14,ML15
Hepatic_steatosis_and_other_liver_diseases,0.044,0,0.151,0.091,0.064,0.043,-0.013,0.02,0.045,-0.008,-0.091,-0.105,0.163,0.756,-0.03
Adictions,-0.004,-0.006,0.964,0.031,-0.01,-0.004,0.015,0.014,-0.046,0.035,0.07,0.047,-0.048,0.054,0.019
Acute_cerebrovascular_disease,-0.036,-0.009,-0.015,-0.007,0.959,0.045,-0.069,0.077,0.013,-0.019,-0.062,0.128,0.038,0.045,0.034
Obesity,0.019,-0.011,-0.054,-0.003,0.002,0.074,0.012,-0.005,0.943,0.077,0.063,0.043,-0.056,0.021,-0.001
Miscellaneous_mental_health_disorders,0.055,-0.014,-0.013,0.009,0.043,0.97,-0.001,0.004,0.071,-0.005,0.017,-0.019,-0.026,0.019,-0.002
Asthma,-0.015,-0.016,0.031,0.001,-0.016,-0.008,-0.035,0.012,0.059,0.993,-0.039,-0.018,0.048,-0.009,-0.008
Other_male_genital_disorders,0.005,-0.026,-0.004,0.023,0.059,-0.005,0.005,0.992,-0.014,0.017,0.043,-0.043,-0.01,0.002,-0.028
Hypertension,0.971,-0.034,-0.007,-0.045,0.003,0.116,-0.008,0.018,0.056,0.011,-0.053,-0.006,0.073,0.033,-0.032
Psoriasis_and_other_inflammatory,-0.047,-0.036,0.02,-0.014,-0.054,0.004,0.997,0.011,0.012,-0.032,-0.071,0.063,0.043,-0.001,-0.007
Coagulation_and_hemorrhagic_disorders,-0.042,-0.039,0.026,1.003,-0.01,0.01,-0.015,0.023,-0.001,0.005,-0.028,0.048,0,0.038,0.005
Schizophrenia_and_other_psychotic_disorders,-0.089,-0.05,0.124,-0.05,-0.085,0.037,-0.113,0.073,0.109,-0.031,0.868,0.06,0.133,-0.057,-0.02
Congestive_heart_failure__nonhypertensive,0.481,-0.061,0.117,0.183,-0.101,-0.072,0.031,0.184,0.159,-0.067,-0.156,0.023,0.065,-0.183,0.315
