"",ML12,ML6,ML13,ML4,ML10,ML2,ML7,ML11,ML15,ML5,ML8,ML9,ML1,ML3,ML14
Thyroid_disorders,0.005,-0.025,-0.015,-0.01,-0.003,-0.03,0.017,0.007,-0.01,1.012,-0.013,0.004,0.012,-0.01,-0.014
Hepatic_steatosis_and_other_liver_diseases,-0.044,-0.026,0.016,0.12,0.121,0.006,0.07,0.088,0.002,0.003,-0.009,0.042,-0.013,0.031,0.648
Cardiac_dysrhythmias,0.135,-0.036,0.179,-0.236,0.13,0.155,0.045,0.301,0.328,-0.069,-0.169,0.116,0.048,-0.169,0.025
Alcohol-related_disorders,0.113,-0.045,-0.088,0.096,0.115,-0.049,0.094,0.003,0.167,-0.15,0.12,-0.086,0.035,0.068,0.429
Other_male_genital_disorders,-0.035,-0.055,-0.005,0.01,0.004,0.012,-0.031,0.006,0.001,0.011,-0.004,-0.016,0.998,0.024,-0.005
Sexual_disorders,-0.015,-0.059,-0.005,-0.007,0.005,0.008,-0.025,-0.011,-0.006,-0.015,0.996,-0.009,-0.006,-0.049,-0.003
Inflammatory_conditions_of_male_genital_organs,-0.036,-0.065,-0.018,0.023,0.002,0.015,-0.057,-0.021,-0.003,0.003,-0.004,1.001,-0.01,0.028,0.007
Menstrual_disorders,0.757,-0.075,-0.022,-0.017,0.034,0.031,-0.224,0.002,0.012,0.125,-0.063,-0.212,-0.241,0.078,0.051
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.055,-0.081,-0.102,0.117,0.003,0.27,0.025,0.032,0.498,0.121,0.119,0.016,0.028,0.044,0.158
Hyperplasia_of_prostate,-0.047,-0.095,-0.007,-0.011,0.028,0.031,0.959,0.04,-0.006,0.028,-0.006,-0.054,-0.015,0.015,0.029
Chronic_kidney_disease,-0.072,-0.175,0.567,0.07,0.181,0.167,0.064,0.084,0.074,0.045,0.054,-0.05,-0.05,0.037,-0.162
