"",ML3,ML12,ML14,ML9,ML11,ML13,ML2,ML8,ML7,ML6,ML5,ML4,ML10,ML1
Cataract,0.148,0.001,0.6,-0.01,-0.045,0.256,-0.097,0.062,-0.093,-0.085,0.051,-0.017,0.042,-0.056
Heart_valve_disorders,-0.029,-0.016,0.014,-0.009,-0.032,-0.06,-0.017,-0.064,0.019,0.023,0.998,0.025,0.01,-0.014
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.057,-0.023,0.762,0.008,-0.023,-0.074,-0.087,-0.172,0.014,0.075,0.042,-0.071,0.08,0.067
Irritable_bowel_and_other_GI_disorders,-0.046,-0.026,-0.072,0.106,-0.099,0.005,0.945,-0.136,-0.045,0.052,-0.011,0.062,0.026,0.022
Acute_cerebrovascular_disease,-0.017,-0.033,-0.042,0.022,0.014,-0.056,0.042,0.031,0.051,-0.031,0.034,0.969,0.062,-0.009
Psoriasis_and_other_inflammatory,0.024,-0.035,0.011,0.064,0.01,-0.013,0.045,0.017,0.063,0.975,0.021,-0.024,-0.058,-0.061
Chronic_ulcer_of_skin,0.009,-0.036,-0.083,0.931,-0.078,-0.024,0.116,-0.054,-0.059,0.046,0.036,0.006,0.118,-0.06
Asthma,0.045,-0.037,0.118,-0.014,0.19,0.044,-0.002,-0.072,0.175,0.236,0.097,-0.171,0.132,0.285
Transient_cerebral_ischemia,0.039,-0.037,-0.032,-0.01,-0.053,0.022,-0.031,0.019,0.967,0.074,0.023,0.055,0.062,-0.035
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0.939,-0.054,0.029,0.078,-0.13,0.061,-0.054,-0.064,0.046,0.091,-0.009,-0.009,-0.056,-0.144
Hypertension,-0.085,-0.078,0.096,0.116,0.11,0.141,0.052,-0.021,0.135,-0.089,0.018,0.116,0.815,-0.154
Other_nutritional__endocrine__and_metabolic_disorders,0.037,-0.246,0.391,-0.086,0.286,-0.285,0.045,0.084,0.08,-0.039,-0.04,0.015,0.189,-0.106
Congestive_heart_failure__nonhypertensive,0.087,-0.267,0.241,0.337,0.272,0.233,-0.039,-0.216,-0.101,0.023,0.178,-0.107,-0.079,-0.037
Chronic_kidney_disease,0.206,-0.272,0.045,-0.056,0.084,0.529,0.208,0.235,-0.118,-0.092,0.21,0.013,-0.016,-0.07
Atopic_dermatitis,0.375,-0.288,-0.006,0.037,0.276,-0.026,0.333,0.065,0.016,-0.105,-0.114,-0.077,0.133,0.153
