cie9_no_dot,ccs_code,ccs_label,ccs_code_lvl1,ccs_label_lvl1,ccs_code_lvl2,ccs_label_lvl2,ccs_code_lvl3,ccs_label_lvl3,ccs_code_lvl4,ccs_label_lvl4,ccs_epichron_label,ccs_vih_label,ccs_epichron_code
01163,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01164,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01165,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01166,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01170,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01171,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01172,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01173,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01174,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01175,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01176,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01180,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01181,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01182,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01183,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01184,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
