"",ML20,ML19,ML17,ML16,ML5,ML8,ML11,ML15,ML9,ML2,ML6,ML12,ML4,ML10,ML3,ML1,ML13,ML7,ML14,ML18
Other_male_genital_disorders,0.11,0.051,-0.061,0.008,0.266,-0.063,0.007,-0.033,-0.01,0.031,-0.088,0.008,0.367,0.289,-0.307,-0.334,0.017,0.111,0.257,0.059
Urinary_incontinence,0.07,0.048,0.074,0.145,0.036,0.089,-0.056,0.005,0.145,0.042,0.098,0.156,0.097,-0.052,-0.246,0.764,0.057,-0.058,0.102,0.109
Neoplasms,-0.102,0.038,0.172,0.028,0.159,0.135,-0.015,0.044,0.038,-0.166,0.042,-0.3,0.183,-0.201,-0.14,0.056,0.097,-0.059,0.006,0.021
Sexual_disorders,-0.047,0.038,-0.087,0.069,0.038,0.071,0.005,-0.017,0.117,-0.003,0.111,0.057,0.012,0.08,-0.023,-0.034,0.169,0.901,0.057,-0.13
Psoriasis_and_other_inflammatory,0.082,0.033,0.039,0.108,0.037,0.029,-0.156,-0.082,0.106,-0.019,0.102,-0.028,0.071,0.047,0.865,-0.135,0.143,-0.024,0.054,-0.044
Glaucoma,-0.122,0.031,0.106,0.202,0.067,0.189,0.32,0.174,0.003,-0.09,-0.084,-0.094,0.283,0.155,0.059,-0.112,0.044,-0.021,-0.116,0.093
Irritable_bowel_and_other_GI_disorders,-0.067,0.03,-0.142,0.004,0.073,0.019,0.043,-0.091,0.102,0.116,0.058,0.058,-0.024,0.066,-0.042,0.06,0.063,-0.156,0.028,0.865
Heart_valve_disorders,0.025,0.029,0.03,0.118,-0.056,0.048,0.057,0.079,0.011,-0.016,-0.018,0.909,0.011,0.033,-0.036,0.064,-0.056,0.045,-0.152,0.053
Inflammatory_conditions_of_male_genital_organs,0.032,0.027,0.062,-0.068,-0.035,0.011,-0.101,-0.017,0.047,0.029,0.054,0.029,-0.05,0.944,0.032,-0.012,-0.053,0.057,0.036,0.039
Chronic_ulcer_of_skin,0.008,0.016,0.102,-0.082,0.23,0.199,-0.025,0.077,0.315,-0.123,-0.022,0.165,-0.191,0.06,0.075,0.246,-0.138,-0.226,0.082,-0.046
Obesity,0.707,0.007,-0.033,0.079,-0.021,-0.119,0.108,0.093,0.128,0.222,-0.013,-0.006,-0.022,0.163,0.143,0.107,0.048,-0.048,-0.007,-0.106
Gout,0.305,-0.002,0.165,0.318,0.197,-0.068,-0.082,-0.058,0.002,0.142,-0.075,0.078,-0.003,-0.075,0.115,0.037,0.122,-0.09,0.029,-0.124
Osteoporosis,0.023,-0.021,0.037,-0.033,0.982,-0.106,0.044,0.079,0.002,-0.077,-0.032,-0.06,0.015,-0.032,0.024,0.019,0.016,0.032,0.058,0.066
Chronic_kidney_disease,-0.011,-0.024,0.016,0.945,-0.065,-0.02,-0.063,0.087,0.031,-0.063,0.021,0.115,-0.077,-0.063,0.054,0.062,-0.049,0.044,0.086,0.001
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0.099,-0.029,0.029,0.464,0.208,0.151,0.172,-0.177,0.13,-0.041,-0.068,-0.236,0.091,-0.025,0.109,0.011,-0.116,0.179,-0.23,0.017
Diabetes,0.009,-0.04,-0.024,0.001,-0.017,-0.017,0.03,0.046,0.963,0.033,-0.005,-0.011,-0.019,0.04,0.063,0.055,-0.032,0.098,-0.019,0.061
Hepatic_steatosis_and_other_liver_diseases,0.042,-0.054,0.027,-0.078,-0.103,0.001,-0.036,0.007,0.044,0.92,-0.035,-0.008,0.058,0.056,-0.009,-0.006,0.141,-0.007,0.057,0.11
Cataract,-0.007,-0.058,0.023,-0.019,-0.103,1.026,-0.048,0.032,0.002,0.005,-0.072,0.02,0.007,0.007,0.01,0.022,-0.014,0.051,0.053,0.016
Cardiac_dysrhythmias,-0.045,-0.062,0.814,0.084,0.04,0.088,0.098,0.153,0,0.031,0.062,-0.019,0.061,0.126,0.01,0.106,0.128,-0.138,0.041,-0.167
Anxiety_disorders,-0.023,-0.063,0.014,-0.006,-0.044,-0.089,-0.002,0.014,-0.001,-0.032,0.989,-0.016,0.103,0.046,0.059,0.031,-0.013,0.074,0.038,0.031
Acute_cerebrovascular_disease,0.04,-0.074,0.071,-0.044,0.052,-0.055,0.951,-0.069,0.057,-0.027,0.012,0.059,-0.013,-0.118,-0.12,-0.017,0.05,0.018,0.028,0.042
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.091,-0.093,0.126,-0.024,0.214,0.155,-0.094,0.563,-0.088,0.04,0.103,-0.12,-0.117,0.113,-0.057,-0.039,0.066,0.124,-0.224,0.171
Peripheral_and_visceral_atherosclerosis,0.057,-0.105,-0.065,0.257,0.009,0.071,0.295,0.215,-0.098,0.124,0.051,0.043,0.073,0.209,0.099,-0.039,0.179,-0.229,0.117,0.122
Thyroid_disorders,0.55,-0.127,-0.086,-0.139,0.213,0.216,-0.125,-0.028,-0.125,-0.152,0.09,0.189,-0.03,-0.118,0.105,0.056,0.018,-0.006,0.171,0.064
