"",ML13,ML15,ML12,ML10,ML8,ML5,ML6,ML3,ML14,ML1,ML7,ML4,ML2,ML9,ML16,ML11
Cataract,-0.111,-0.006,0.017,0.256,0.158,0.311,-0.077,0.203,0.399,0.097,-0.037,0.154,-0.197,-0.02,-0.097,-0.017
Sexual_disorders,0.343,-0.008,0.138,0.278,0.047,0.002,0.045,-0.152,0.089,-0.212,-0.06,0.223,0.135,0.037,0.081,0.105
Congestive_heart_failure__nonhypertensive,-0.054,-0.029,0.901,-0.018,0.026,0.027,-0.063,0.008,0.093,0.135,0.003,-0.059,-0.085,-0.097,-0.102,-0.011
Asthma,-0.019,-0.041,0.011,-0.032,-0.094,-0.001,-0.019,0.033,0.061,0.006,0.985,0.064,0.052,0.014,-0.013,-0.014
Inflammatory_conditions_of_male_genital_organs,0.016,-0.049,0.01,-0.057,-0.06,0.956,0.148,-0.11,-0.035,0.061,0.034,-0.064,0.002,0.056,0.05,-0.005
Gout,0.188,-0.057,0.156,0.072,0.172,-0.092,0.265,0.091,0.02,0.09,-0.185,-0.268,-0.084,0.081,-0.075,0.043
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.414,-0.059,0.042,0.011,0.18,0.05,0.06,0.006,0.029,-0.03,0.247,-0.138,0.012,-0.234,0.078,0.123
Other_male_genital_disorders,0.166,-0.073,-0.068,0.014,-0.046,0.177,0.069,0.038,0.072,0.135,-0.042,0.058,0.134,-0.023,0.681,-0.036
Disorders_of_lipid_metabolism,0.405,-0.074,0.106,0.067,-0.014,-0.076,0.162,0.063,0.224,-0.052,-0.091,0.049,0.181,0.049,0.16,0.097
Neuropathy_and_other_nervous_system_disorders,-0.014,-0.09,0.014,-0.019,0.964,-0.062,0.039,-0.063,-0.03,-0.019,-0.096,0.081,0.119,0.076,-0.026,0.018
Osteoarthritis,0.223,-0.093,0.232,0.218,0.099,0.061,0.008,0.104,0.056,0.002,0.078,0.047,-0.013,0.211,-0.013,0.019
Conduction_disorders,-0.018,-0.094,-0.008,0.037,-0.069,-0.11,0.06,0.948,0.069,-0.039,0.042,0.016,0.053,0.047,0.021,0.055
Obesity,0.38,-0.105,0.151,0.112,-0.092,-0.029,0.239,0.074,0.004,-0.023,-0.038,0.133,0.045,-0.004,-0.014,0.076
Other_non-traumatic_joint_disorders,0.123,-0.115,0.023,0.127,0.212,-0.091,-0.06,-0.03,0.346,0.217,0.123,-0.128,-0.125,0.078,0.112,0.102
Hepatic_steatosis_and_other_liver_diseases,0.19,-0.119,-0.165,0.001,0.024,-0.069,0.241,0.092,0.035,0.138,-0.106,0.01,0.272,0.134,-0.135,-0.093
Allergic_rhinitis,0.381,-0.124,-0.137,0.094,0.019,0.158,-0.002,0.049,-0.204,0.043,0.316,0.011,-0.107,0.022,-0.065,-0.124
Thyroid_disorders,0.195,-0.132,0.037,0.089,0.045,0.206,-0.039,-0.019,0.185,0.066,-0.093,0.101,0.078,-0.065,-0.032,0.04
