"",ML11,ML8,ML12,ML7,ML9,ML5,ML3,ML10,ML4,ML2,ML1,ML6
Glaucoma,0.086,0.014,-0.028,0.037,0.056,0.243,0.136,0.056,-0.02,0.165,0.13,0.008
Diabetes,0.119,0.008,0.089,0.434,0,0.343,0.082,0.114,-0.117,0.192,0.042,0.021
Diverticulosis_and_diverticulitis,-0.044,0.008,-0.004,-0.093,0.98,-0.061,-0.022,0.038,-0.024,-0.09,0.076,-0.04
Sexual_disorders,-0.105,0.006,0.412,0.08,0.229,0.003,0.073,0.012,-0.077,0.21,0.085,0.092
Asthma,-0.061,0.003,-0.008,0.065,-0.023,-0.002,-0.09,-0.037,0.983,0.077,0.046,-0.022
Neuropathy_and_other_nervous_system_disorders,-0.07,-0.002,0.009,-0.034,-0.016,-0.048,0.981,-0.082,-0.091,0.077,0.109,0.012
Neoplasms,-0.05,-0.013,0.033,-0.011,-0.029,-0.019,0.006,0.041,-0.019,0.025,-0.065,0.994
Disorders_of_lipid_metabolism,0.3,-0.019,0.372,0.245,0.057,-0.033,0.006,-0.079,-0.094,0.048,0.174,0.106
Transient_cerebral_ischemia,0.191,-0.023,-0.056,0.072,-0.02,0.122,0.23,0.499,0.138,-0.218,-0.06,0.005
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.056,-0.081,0.075,0.088,0.167,0.201,0.242,0.037,0.123,0.209,-0.046,0.011
Depression_and_Mood_disorders,0.055,-0.084,0.134,0.051,0.212,0.185,0.215,0.129,0.257,-0.126,0.058,0.105
Conduction_disorders,0.537,-0.158,-0.058,0.264,0.083,-0.178,-0.088,-0.214,0.177,-0.006,0.166,0.156
Headache__including_migraine,0.156,-0.161,0.147,-0.073,0.115,0.215,0.141,0.187,0.161,0.207,-0.1,-0.107
Myodesopsia_and_other_eye_disorders,0.192,-0.373,-0.029,-0.103,0.166,0.091,0.212,-0.073,-0.023,0.059,0.018,0.002
Other_male_genital_disorders,0.237,-0.462,0.263,0.099,0.059,0.314,-0.057,-0.04,-0.049,0.122,0.165,-0.024
