"",ML11,ML10,ML1,ML6,ML9,ML2,ML5,ML3,ML7,ML4,ML8
Other_non-traumatic_joint_disorders,0.201,0.131,0.04,0.245,-0.118,0.232,-0.06,0.12,-0.096,-0.156,0.105
Glaucoma,0.046,0.104,0.019,0.019,0.061,0.137,0.233,-0.022,0.141,0.153,0.007
Hepatic_steatosis_and_other_liver_diseases,0.172,0.091,0.141,0.081,-0.132,0.031,-0.024,-0.147,0.32,0.043,-0.077
Vision_defects,0.263,0.086,0.098,-0.125,0.178,0.106,0.139,0.05,-0.095,-0.057,-0.014
Depression_and_Mood_disorders,0.226,0.085,-0.072,0.017,0.142,0.225,0.172,0.258,0.093,-0.159,0.101
Obstructive_Sleep_apnea,0.399,0.053,0.033,0.026,0.183,-0.057,0.042,0.009,0.022,-0.075,0.062
Allergic_rhinitis,0.393,0.045,0.12,-0.258,-0.136,-0.008,0.155,0.329,-0.078,-0.018,-0.107
Psoriasis_and_other_inflammatory,0.516,0.04,0.032,0.17,0.101,0.156,-0.231,0.097,-0.274,0.07,-0.218
Peripheral_and_visceral_atherosclerosis,-0.014,0.019,0.042,-0.037,0.014,0.083,-0.048,0.077,-0.018,0.965,0.044
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.31,0.013,0.128,0.065,-0.045,0.13,0.083,0.259,-0.013,-0.144,0.131
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0.021,0.011,0.029,0.967,0.058,-0.042,-0.025,0.082,0.037,-0.053,0.006
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.206,-0.012,-0.07,0.047,0.045,0.254,0.183,0.129,-0.012,0.173,0.009
Other_nutritional__endocrine__and_metabolic_disorders,-0.039,-0.016,0.038,0.035,0.065,0.101,-0.001,0.051,0.972,-0.017,-0.077
Neoplasms,0.021,-0.031,-0.009,-0.007,0.04,0.009,-0.018,-0.014,-0.071,0.027,0.992
Thyroid_disorders,0.219,-0.032,0.194,0.134,-0.147,0.029,0.188,-0.083,0.087,0.054,0.053
Asthma,-0.012,-0.041,0.002,0.069,-0.037,-0.087,0.003,0.982,0.043,0.081,-0.019
Inflammatory_conditions_of_male_genital_organs,-0.033,-0.057,0.024,-0.018,-0.043,-0.039,1.001,0.019,-0.007,-0.052,-0.004
Coagulation_and_hemorrhagic_disorders,0.099,-0.063,0.979,0.028,0.044,-0.002,0.026,0,0.058,0.054,-0.028
Acute_cerebrovascular_disease,0.03,-0.073,0.036,0.046,0.965,-0.127,-0.068,-0.071,0.082,0.048,0.055
Neuropathy_and_other_nervous_system_disorders,0.003,-0.079,-0.005,-0.029,-0.084,0.977,-0.041,-0.09,0.105,0.085,0.014
Sexual_disorders,0.474,-0.091,0.017,0.045,0.02,0.082,-0.006,-0.071,0.135,0.17,0.089
Esophageal_disorders,0.516,-0.155,0.062,0.149,-0.023,0.136,0.157,0.007,-0.007,-0.177,0.058
