"",ML15,ML10,ML1,ML2,ML3,ML9,ML8,ML14,ML6,ML12,ML11,ML5,ML4,ML7,ML13
Osteoarthritis,0.433,-0.001,0.15,0.262,-0.093,-0.014,0.158,-0.059,0.02,0.027,0.153,-0.046,-0.046,-0.008,0.036
Other_non-traumatic_joint_disorders,-0.05,-0.005,0.095,-0.031,0.074,-0.064,0.936,0.016,-0.021,0.083,0.01,0.141,-0.071,0.115,-0.049
Vision_defects,0.226,-0.015,0.142,-0.161,0.154,-0.255,0.054,0.156,0.215,0.117,0.207,0.056,0.006,-0.315,0.073
Other_male_genital_disorders,0.011,-0.022,-0.004,-0.038,0.025,0.017,-0.013,0.057,0.971,-0.07,0.033,0.01,0.039,-0.002,0.095
Psoriasis_and_other_inflammatory,0.06,-0.044,0.025,0.037,-0.037,0.086,0.084,0.045,-0.074,0.947,0.057,-0.145,0.012,-0.041,0.026
Acute_cerebrovascular_disease,0.033,-0.048,0.042,0.053,0.036,0.055,0.104,0.024,0.006,-0.135,0.009,0.948,-0.005,0.025,0.054
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,-0.006,-0.074,0.015,0.058,-0.002,0.95,-0.071,0.078,0.023,0.066,0.05,0.062,-0.065,-0.049,0.053
Irritable_bowel_and_other_GI_disorders,-0.033,-0.075,-0.137,-0.016,0.97,-0.005,0.044,-0.104,0.042,-0.043,0.037,0.033,0.1,0.029,0.06
Thyroid_disorders,0.438,-0.106,-0.117,-0.153,0.046,-0.006,0.188,-0.024,-0.039,0.094,0.055,-0.114,-0.064,0.116,0.287
Neuropathy_and_other_nervous_system_disorders,-0.054,-0.115,-0.039,0.953,-0.028,0.058,-0.034,0.02,-0.016,0.025,0.033,0.067,0.151,0.078,0.109
Transient_cerebral_ischemia,0.347,-0.147,0.377,-0.027,-0.061,-0.109,-0.046,0.125,-0.153,-0.197,0.134,0.238,-0.205,0.132,-0.055
Inflammatory_conditions_of_male_genital_organs,0.07,-0.167,0.291,0.081,0.209,-0.145,-0.06,0.22,0.315,0.112,0.11,-0.249,0.035,0.034,-0.184
