"",ML17,ML13,ML6,ML9,ML16,ML2,ML11,ML5,ML4,ML3,ML7,ML8,ML1,ML15,ML10,ML14,ML12
Chronic_ulcer_of_skin,-0.137,0.156,0.276,0.058,0.22,0.185,-0.051,-0.04,0.062,-0.03,0.044,-0.131,0.167,-0.062,0.034,-0.095,0.055
Disorders_of_lipid_metabolism,0.276,0.148,-0.103,0.07,0.178,-0.043,0.24,-0.099,0.05,0.038,-0.102,0.124,-0.101,0.204,0.04,0.166,0.115
Urinary_incontinence,0.025,0.141,0.428,-0.126,0.066,0.24,-0.096,0.042,-0.094,0.294,0.086,0.052,0.114,-0.041,-0.069,0.025,0.028
Gout,0.257,0.141,-0.022,0.037,0.264,0.173,0.009,-0.092,-0.272,0.105,-0.199,-0.06,0.116,-0.075,0.067,-0.045,0.053
Cardiac_dysrhythmias,-0.05,0.136,-0.003,0.092,0.018,-0.022,-0.018,0.074,0.061,-0.041,-0.003,0.113,0.861,0.12,0.049,-0.044,0.138
Transient_cerebral_ischemia,0.03,0.133,0.542,-0.034,0.129,0.188,-0.012,0.13,-0.209,0.185,0.097,0.001,-0.08,-0.064,0.127,-0.08,-0.012
Depression_and_Mood_disorders,0.06,0.117,0.109,0.24,-0.002,0.207,0.046,0.165,-0.113,0.039,0.225,0.093,-0.08,0.075,-0.062,0.155,0.103
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.265,0.095,-0.101,0.027,0.073,0.139,0.052,0.023,-0.131,-0.029,0.234,0.266,-0.108,0.043,-0.242,0.066,0.143
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.199,0.085,0.056,0.143,-0.206,0.247,0.128,0.17,0.233,-0.092,0.086,-0.06,-0.019,-0.028,-0.065,0.246,0.014
Obstructive_Sleep_apnea,0.271,0.078,0.13,0.06,0.295,-0.125,0.006,-0.061,-0.117,-0.155,0.062,0.106,-0.017,0.062,0.16,0.057,0.091
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0.002,0.071,0.087,-0.119,0.111,-0.059,0.892,-0.041,-0.059,0.106,0.099,-0.017,-0.033,0.057,-0.019,0.012,-0.001
Headache__including_migraine,0.089,0.064,0.182,0.105,-0.017,0.145,-0.088,0.154,0.204,0.047,0.117,0.054,0.048,-0.105,-0.076,0.308,-0.117
Other_non-traumatic_joint_disorders,0.135,0.02,-0.113,0.127,-0.09,0.202,0.348,-0.097,-0.121,-0.032,0.114,0.069,0.2,-0.122,0.073,0.112,0.106
Neuropathy_and_other_nervous_system_disorders,-0.004,0.019,-0.091,-0.01,0.036,0.948,-0.03,-0.063,0.084,-0.066,-0.094,0.069,-0.026,0.126,0.077,-0.029,0.02
Inflammatory_conditions_of_male_genital_organs,0.041,0.018,-0.049,-0.047,0.121,-0.06,-0.034,0.953,-0.062,-0.111,0.035,0.051,0.052,0.002,0.057,0.052,-0.003
Asthma,-0.011,0.014,-0.038,-0.026,-0.017,-0.087,0.073,0.006,0.068,0.035,0.981,0.013,0.006,0.055,0.012,-0.014,-0.013
Cataract,-0.005,0,-0.003,0.261,-0.106,0.161,0.38,0.303,0.153,0.204,-0.027,-0.008,0.113,-0.215,-0.014,-0.088,-0.025
Thyroid_disorders,0.355,-0.002,-0.09,0.037,-0.009,0.044,0.118,0.173,0.077,-0.006,-0.093,-0.2,0.122,0.07,-0.062,0.009,0.045
Conduction_disorders,-0.007,-0.002,-0.092,0.041,0.044,-0.07,0.075,-0.111,0.019,0.941,0.042,0.057,-0.043,0.056,0.047,0.022,0.057
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.071,-0.01,0.101,0.233,0.03,0.282,-0.095,0.034,-0.117,0.171,0.17,0.04,0.121,-0.026,-0.249,0.088,-0.001
Hyperplasia_of_prostate,0.298,-0.012,0.158,0.004,-0.143,0.023,0.076,0.083,0.108,0.181,0.074,0.026,0.095,0.139,0.079,0.012,-0.008
Diverticulosis_and_diverticulitis,-0.045,-0.033,0.03,0.974,0.013,-0.017,-0.083,-0.05,-0.1,0.036,-0.023,-0.023,0.057,0.062,0.042,-0.013,-0.051
Myodesopsia_and_other_eye_disorders,0.012,-0.033,0.001,0.032,-0.044,0.051,0.005,0.057,0.02,0.028,0.016,0.012,0.037,-0.004,0.974,0.008,-0.009
Peripheral_and_visceral_atherosclerosis,-0.037,-0.038,0.02,-0.096,0.046,0.075,-0.046,-0.059,0.961,0.023,0.07,-0.031,0.037,-0.033,0.029,-0.013,0.039
Neoplasms,0.009,-0.04,0.04,-0.036,0.009,0.012,-0.01,-0.018,0.015,0.037,-0.006,-0.036,0.079,-0.073,-0.009,0.004,0.984
Other_male_genital_disorders,0.13,-0.041,-0.083,0.002,0.062,-0.07,0.065,0.146,0.053,0.021,-0.053,0.115,0.104,0.149,-0.03,0.701,-0.021
Acute_cerebrovascular_disease,-0.011,-0.047,0.939,0.056,-0.002,-0.142,0.079,-0.078,0.069,-0.132,-0.076,0.067,0.001,0.087,-0.036,-0.035,0.066
Diabetes,-0.066,-0.065,0.064,0.012,0.798,0.074,0.161,0.243,0.094,0.125,-0.047,-0.046,0.029,0.024,-0.121,0.026,0.033
Other_nutritional__endocrine__and_metabolic_disorders,-0.009,-0.068,0.069,0.078,-0.001,0.127,0.034,-0.001,-0.031,0.047,0.071,-0.068,0.086,0.942,-0.002,0.03,-0.085
Psoriasis_and_other_inflammatory,0.242,-0.073,0.05,0.244,0.372,0.108,0.146,-0.327,0.058,-0.145,0.142,-0.011,0.091,-0.303,-0.003,0.102,-0.179
Vision_defects,-0.052,-0.081,0.042,-0.023,-0.044,0.05,-0.008,0.028,-0.032,0.042,0.009,1.009,0.058,-0.065,0.013,-0.005,-0.032
Glaucoma,0.185,-0.103,0.126,0.017,-0.069,0.168,-0.006,0.242,0.192,0.201,-0.083,-0.082,0.069,0.085,-0.082,0.058,-0.021
Esophageal_disorders,0.607,-0.107,0.036,0.014,-0.07,0.106,0.163,0.133,-0.128,0.006,-0.031,0.05,-0.156,0.008,0.104,-0.028,0.055
Allergic_rhinitis,0.498,-0.133,-0.099,0.039,0.051,-0.005,-0.259,0.109,-0.005,0.042,0.3,0.015,0.052,-0.088,0.015,-0.018,-0.106
Hepatic_steatosis_and_other_liver_diseases,0.215,-0.159,-0.109,-0.018,0.234,0.017,0.033,-0.072,0.014,0.093,-0.119,0.015,0.133,0.292,0.123,-0.107,-0.083
