"",ML10,ML11,ML2,ML3,ML8,ML7,ML4,ML6,ML1,ML5,ML9
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.436,0.134,0.045,-0.079,0.065,-0.179,-0.141,0.136,0.233,0.092,-0.022
Disorders_of_lipid_metabolism,0.557,0.134,-0.041,0.107,-0.031,0.039,0.106,0.025,-0.057,0.099,0.109
Chronic_kidney_disease,0.075,0.131,0.26,0.463,0.167,-0.164,-0.133,-0.13,-0.061,0.01,0.169
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.008,0.126,0.535,-0.083,-0.021,0.066,-0.063,0.197,-0.087,0.123,-0.089
Alcohol-related_disorders,0.072,0.104,0.052,-0.062,-0.046,0.386,0.075,0.067,0.14,0.081,-0.171
Peripheral_and_visceral_atherosclerosis,0.023,0.096,0.257,0.142,-0.099,0.189,0.174,-0.014,0.069,0.242,0.014
Diabetes,0.189,0.088,0.183,0.293,0.119,0.112,0.079,-0.096,-0.096,0.208,0.036
Neoplasms,-0.065,0.079,0.148,0.045,0.172,-0.169,0.049,0.143,0.057,-0.009,-0.349
Other_circulatory_disease,0.18,0.057,0.229,0.077,-0.019,-0.072,0.203,0.105,0.171,0.095,-0.042
Myodesopsia_and_other_eye_disorders,0.016,0.053,0.037,0.167,0.001,-0.107,-0.2,0.221,0.224,0.198,0.045
Urinary_incontinence,-0.012,0.028,0.027,0.017,0.926,0.025,-0.013,0.005,0.048,0.119,0.1
Heart_valve_disorders,-0.001,0,0.095,-0.026,0.088,-0.049,0.036,-0.06,0.075,0.052,0.933
Neuropathy_and_other_nervous_system_disorders,0.027,-0.002,-0.13,0.06,0.043,0.161,0.059,0.122,0.92,-0.025,0.077
Hepatic_steatosis_and_other_liver_diseases,-0.054,-0.003,0.023,-0.079,0.027,0.963,-0.027,-0.091,0.136,0.112,-0.031
Acute_cerebrovascular_disease,0.014,-0.003,-0.038,0.035,-0.007,-0.005,0.979,0.045,0.046,0.038,0.031
Osteoporosis,-0.039,-0.01,0.074,0.053,0.016,-0.098,0.05,0.948,0.104,0.063,-0.07
Obstructive_Sleep_apnea,0.29,-0.023,0.036,0.194,0.442,0.326,-0.012,0.095,0.024,-0.154,-0.089
Anxiety_disorders,0.458,-0.032,0.072,-0.064,0.175,-0.07,0.042,-0.114,0.173,0.019,-0.158
Congestive_heart_failure__nonhypertensive,0.006,-0.041,0.94,-0.012,0.073,0.018,-0.051,0.06,-0.117,-0.101,0.13
Allergic_rhinitis,0.483,-0.041,0.135,-0.237,0.032,0.025,-0.304,0.092,0.253,0.068,0.077
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,-0.048,-0.051,-0.061,0.987,0.012,-0.06,0.046,0.066,0.068,-0.009,-0.047
Headache__including_migraine,0.493,-0.06,0.281,0.032,-0.027,-0.127,0.118,-0.101,0.144,-0.109,-0.144
Irritable_bowel_and_other_GI_disorders,-0.017,-0.069,-0.067,-0.005,0.092,0.1,0.04,0.066,-0.031,0.957,0.039
Depression_and_Mood_disorders,0.396,-0.089,0.159,0.132,0.235,-0.139,0.089,-0.108,0.209,0.126,-0.051
Sexual_disorders,0.482,-0.208,-0.06,0.187,0.028,0.083,0.028,0.018,0.01,-0.254,0.054
Other_male_genital_disorders,0.354,-0.226,-0.043,0.052,-0.183,0.166,-0.029,0.334,-0.061,0.102,-0.022
Esophageal_disorders,0.177,-0.245,0.031,0.116,0.131,0.114,-0.05,0.052,0.116,-0.174,0.003
