"",ML14,ML13,ML5,ML10,ML4,ML11,ML1,ML7,ML2,ML6,ML12,ML8,ML3,ML9
Conduction_disorders,-0.034,-0.005,-0.089,-0.067,-0.112,0.953,-0.04,0.064,0.077,0.052,0.006,0.048,0.061,0.056
Obstructive_Sleep_apnea,0.333,-0.01,0.123,-0.076,-0.008,-0.089,0.007,0.194,0.021,0.037,-0.102,0.139,0.033,0.067
Hyperplasia_of_prostate,0.198,-0.018,0.161,0.05,0.149,0.199,0.109,-0.151,0.112,0.08,0.111,0.037,0.122,-0.017
Other_non-traumatic_joint_disorders,0.18,-0.028,-0.111,0.232,-0.06,0.008,0.219,-0.075,0.332,0.12,-0.139,0.067,-0.118,0.095
Acute_cerebrovascular_disease,0.016,-0.039,0.947,-0.142,-0.082,-0.133,0.011,0.009,0.072,-0.077,0.063,0.065,0.09,0.062
Peripheral_and_visceral_atherosclerosis,-0.005,-0.04,0.023,0.084,-0.055,0.016,0.057,0.048,-0.044,0.072,0.964,-0.037,-0.027,0.035
Neoplasms,0.034,-0.045,0.043,0.019,-0.019,0.036,0.079,0.015,-0.004,-0.001,0.014,-0.034,-0.075,0.989
Diabetes,-0.032,-0.051,0.036,0.038,0.165,0.078,0.026,0.912,0.101,-0.03,0.057,-0.044,0.021,0.028
Glaucoma,0.093,-0.067,0.127,0.152,0.27,0.171,0.06,0.014,0.008,-0.052,0.171,-0.088,0.087,-0.02
Other_nutritional__endocrine__and_metabolic_disorders,0.018,-0.074,0.07,0.123,0.001,0.048,0.1,0.018,0.037,0.065,-0.029,-0.061,0.939,-0.093
Vision_defects,-0.041,-0.081,0.047,0.049,0.022,0.034,0.081,-0.048,-0.013,0.013,-0.036,0.991,-0.059,-0.033
Diverticulosis_and_diverticulitis,0.517,-0.116,0.105,0.048,-0.128,0.1,0.279,0.014,-0.247,0.008,-0.283,-0.094,0.172,-0.099
Esophageal_disorders,0.394,-0.119,0.039,0.168,0.224,0.016,-0.118,-0.085,0.21,-0.013,-0.143,0.079,-0.017,0.042
Allergic_rhinitis,0.363,-0.121,-0.095,0.014,0.19,0.041,0.066,-0.012,-0.201,0.315,-0.005,0.036,-0.122,-0.121
Psoriasis_and_other_inflammatory,0.455,-0.128,0.06,0.127,-0.291,-0.109,0.124,0.293,0.131,0.144,0.025,-0.015,-0.314,-0.205
Hepatic_steatosis_and_other_liver_diseases,0.1,-0.162,-0.118,0.046,-0.054,0.097,0.172,0.207,0.05,-0.125,0.017,0.039,0.261,-0.096
Other_male_genital_disorders,0.282,-0.203,-0.121,-0.094,0.268,0.112,-0.022,0.104,0.102,-0.056,0.093,0.142,0.146,-0.033
Myodesopsia_and_other_eye_disorders,0.094,-0.325,-0.018,0.238,0.139,0.276,0.132,-0.269,-0.017,-0.083,0.078,0.044,-0.049,-0.037
