"",ML15,ML12,ML6,ML5,ML11,ML10,ML13,ML3,ML1,ML14,ML7,ML4,ML9,ML2,ML8
Cataract,-0.166,0,0.047,0.3,0.162,0.257,0.119,0.189,-0.076,0.4,-0.037,0.15,-0.031,-0.195,-0.017
Myodesopsia_and_other_eye_disorders,-0.012,-0.003,-0.044,0.048,0.053,0.024,0.022,0.022,-0.063,0.001,0.017,0.007,0.971,-0.007,-0.006
Cardiac_dysrhythmias,-0.068,-0.01,0.119,0.067,-0.028,0.08,0.911,-0.03,0.031,-0.017,0.002,0.058,0.053,0.104,0.121
Sexual_disorders,0.432,-0.01,0.117,0.021,0.05,0.267,-0.196,-0.151,0.028,0.086,-0.059,0.212,0.033,0.13,0.102
Congestive_heart_failure__nonhypertensive,-0.019,-0.021,0.907,0.018,0.025,-0.019,0.161,0.011,-0.06,0.086,0.005,-0.054,-0.096,-0.09,-0.014
Asthma,-0.03,-0.039,0.016,-0.002,-0.094,-0.029,0.003,0.03,-0.019,0.059,0.985,0.066,0.015,0.051,-0.013
Inflammatory_conditions_of_male_genital_organs,0.002,-0.052,0.007,0.963,-0.062,-0.058,0.064,-0.112,0.143,-0.033,0.03,-0.064,0.054,0.006,-0.005
Gout,0.182,-0.053,0.159,-0.096,0.18,0.068,0.113,0.083,0.252,0.019,-0.182,-0.277,0.072,-0.088,0.041
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.435,-0.059,0.014,0.074,0.185,0.007,-0.021,0.012,0.044,0.033,0.249,-0.143,-0.234,0.007,0.121
Disorders_of_lipid_metabolism,0.5,-0.08,0.061,-0.046,-0.015,0.056,-0.051,0.074,0.148,0.225,-0.092,0.042,0.054,0.177,0.093
Neuropathy_and_other_nervous_system_disorders,-0.025,-0.086,0.018,-0.064,0.967,-0.018,-0.016,-0.064,0.038,-0.028,-0.093,0.08,0.076,0.116,0.018
Osteoarthritis,0.216,-0.089,0.227,0.069,0.107,0.217,0.019,0.101,-0.002,0.058,0.081,0.04,0.206,-0.017,0.017
Conduction_disorders,-0.024,-0.094,-0.007,-0.111,-0.067,0.039,-0.044,0.951,0.062,0.071,0.043,0.013,0.046,0.057,0.056
Obesity,0.363,-0.099,0.143,-0.013,-0.079,0.113,0.008,0.069,0.223,0.008,-0.035,0.122,-0.014,0.04,0.072
Other_male_genital_disorders,0.307,-0.101,-0.218,0.269,-0.076,0.02,0.01,0.121,0.101,0.088,-0.048,0.091,0.049,0.137,-0.039
Hepatic_steatosis_and_other_liver_diseases,0.133,-0.114,-0.143,-0.077,0.037,0,0.183,0.07,0.226,0.036,-0.104,-0.005,0.111,0.27,-0.095
Other_non-traumatic_joint_disorders,0.124,-0.119,-0.008,-0.07,0.208,0.128,0.193,-0.016,-0.056,0.352,0.123,-0.123,0.094,-0.127,0.101
Allergic_rhinitis,0.353,-0.121,-0.133,0.162,0.03,0.088,0.079,0.034,-0.027,-0.202,0.319,-0.005,0,-0.111,-0.126
Thyroid_disorders,0.19,-0.13,0.041,0.21,0.05,0.084,0.097,-0.028,-0.05,0.186,-0.093,0.092,-0.077,0.076,0.037
