"",ML14,ML13,ML11,ML9,ML3,ML1,ML2,ML6,ML5,ML7,ML12,ML10,ML4,ML8
Osteoporosis,0.027,0.016,0.082,0.122,0.052,0.013,0.057,0.099,0.017,0.047,0.114,-0.078,-0.045,0.903
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0.002,0.016,-0.065,0.061,0.96,0.005,0.003,0.061,0.068,0.043,0.028,-0.046,-0.036,0.058
Other_male_genital_disorders,-0.001,-0.002,-0.026,-0.037,0.02,-0.056,0.039,-0.035,0.046,0.02,0.947,0.003,0.116,0.106
Disorders_of_lipid_metabolism,0.546,-0.005,0.015,0.04,0.047,-0.019,0.121,0.065,0.072,0.117,0.097,0.047,0.104,-0.041
Allergic_rhinitis,0.208,-0.018,0.152,0.324,-0.277,0.043,0.125,0.041,0.169,-0.321,0.176,0.053,-0.012,0.005
Thyroid_disorders,0.506,-0.033,-0.131,-0.135,-0.037,0.082,0.067,0.107,-0.001,-0.119,-0.02,0.138,-0.085,0.256
Depression_and_Mood_disorders,0.028,-0.041,0.198,0.244,0.108,0.247,0.129,0.191,0.183,0.107,0.047,-0.074,0.171,-0.121
Neuropathy_and_other_nervous_system_disorders,-0.063,-0.049,-0.11,0.949,0.071,0.05,-0.034,-0.156,0.009,0.063,-0.014,0.074,0.047,0.121
Headache__including_migraine,0.348,-0.068,0.305,0.236,-0.024,-0.002,-0.056,0.197,0.065,0.082,0.187,-0.169,-0.198,-0.198
Obesity,0.67,-0.075,0.089,-0.119,0.195,0.106,-0.124,-0.307,-0.033,0.082,-0.003,0.024,0.186,0.037
Other_circulatory_disease,0.199,-0.087,0.273,0.215,0.06,-0.03,0.096,0.084,0.019,0.206,-0.206,-0.08,0.051,0.146
Sexual_disorders,-0.045,-0.088,-0.004,-0.013,0.076,0.018,-0.117,0.004,0.978,0.018,0.044,0.043,0.075,0.013
Diabetes,0.195,-0.091,0.249,-0.082,0.243,0.135,0.193,-0.055,0.18,0.115,-0.093,0.006,0.205,-0.056
Irritable_bowel_and_other_GI_disorders,-0.057,-0.139,-0.07,-0.035,0.006,0.109,0.932,-0.112,-0.117,0.052,0.036,0.044,0.069,0.066
