ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR,lb,ub,p_value,p_05
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,26,21,5,2673,1768,905,0.465,0.175,1.238,0.125,FALSE
Rheumatoid_arthritis_and_related_disease,9,8,1,2690,1781,909,0.245,0.031,1.961,0.185,FALSE
Schizophrenia_and_other_psychotic_disorders,11,7,4,2688,1782,906,1.124,0.328,3.849,0.852,FALSE
Sexual_disorders,63,40,23,2636,1749,887,1.134,0.675,1.906,0.635,FALSE
Spondylosis__intervertebral_disc_disorders__other_back_problems,84,62,22,2615,1727,888,0.69,0.421,1.13,0.14,FALSE
Thalassemia_and_other_anemia,5,2,3,2694,1787,907,2.955,0.493,17.717,0.236,FALSE
Thyroid_disorders,102,72,30,2597,1717,880,0.813,0.527,1.254,0.349,FALSE
Transient_cerebral_ischemia,44,30,14,2655,1759,896,0.916,0.483,1.737,0.788,FALSE
Urinary_incontinence,185,126,59,2514,1663,851,0.915,0.664,1.26,0.587,FALSE
Urinary_tract_infections,2,1,1,2697,1788,909,1.967,0.123,31.483,0.633,FALSE
Vision_defects,101,72,29,2598,1717,881,0.785,0.506,1.217,0.279,FALSE
