ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR,lb,ub,p_value,p_05
Hyperparathyroidism_and_other_endocrine_disorders,28,12,16,8868,5858,3010,2.595,1.226,5.492,0.013,TRUE
Hyperplasia_of_prostate,169,122,47,8727,5748,2979,0.743,0.529,1.044,0.087,FALSE
Hypertension,1930,1323,607,6966,4547,2419,0.862,0.774,0.961,0.007,TRUE
Infective_arthritis_and_osteomyelitis__except_that_caused_by_tuberculosis_or_sexually_transmitted_disease_,37,10,27,8859,5860,2999,5.276,2.55,10.914,0,TRUE
Inflammatory_conditions_of_male_genital_organs,283,172,111,8613,5698,2915,1.261,0.99,1.608,0.061,FALSE
Irritable_bowel_and_other_GI_disorders,97,65,32,8799,5805,2994,0.955,0.624,1.461,0.83,FALSE
Ischemic_heart_disease,269,129,140,8627,5741,2886,2.159,1.693,2.754,0,TRUE
Joint_disorders_and_dislocations__trauma-related,93,58,35,8803,5812,2991,1.173,0.769,1.788,0.459,FALSE
Malaise_and_fatigue,5,3,2,8891,5867,3024,1.293,0.216,7.745,0.778,FALSE
Menieres_disease,7,6,1,8889,5864,3025,0.323,0.039,2.684,0.296,FALSE
Miscellaneous_mental_health_disorders,231,161,70,8665,5709,2956,0.84,0.632,1.116,0.228,FALSE
Multiple_sclerosis,8,5,3,8888,5865,3023,1.164,0.278,4.874,0.835,FALSE
Myodesopsia_and_other_eye_disorders,100,70,30,8796,5800,2996,0.83,0.54,1.275,0.395,FALSE
Neoplasms,248,116,132,8648,5754,2894,2.262,1.756,2.915,0,TRUE
Nephritis__nephrosis__renal_sclerosis,8,4,4,8888,5866,3022,1.941,0.485,7.767,0.348,FALSE
Nervous_system_congenital_anomalies,5,2,3,8891,5868,3023,2.912,0.486,17.432,0.242,FALSE
Neuropathy_and_other_nervous_system_disorders,255,157,98,8641,5713,2928,1.218,0.943,1.574,0.132,FALSE
Nutritional_deficiencies,9,1,8,8887,5869,3018,15.557,1.945,124.439,0.01,TRUE
Obesity,600,475,125,8296,5395,2901,0.489,0.4,0.599,0,TRUE
Obstructive_Sleep_apnea,206,153,53,8690,5717,2973,0.666,0.486,0.913,0.012,TRUE
Osteoarthritis,325,222,103,8571,5648,2923,0.896,0.707,1.137,0.368,FALSE
Osteoporosis,60,29,31,8836,5841,2995,2.085,1.254,3.466,0.005,TRUE
Other_CNS_infection_and_poliomyelitis,8,4,4,8888,5866,3022,1.941,0.485,7.767,0.348,FALSE
Other_acquired_deformities,49,30,19,8847,5840,3007,1.23,0.691,2.189,0.481,FALSE
Other_and_ill-defined_cerebrovascular_disease,7,2,5,8889,5868,3021,4.856,0.942,25.039,0.059,FALSE
Other_and_ill-defined_heart_disease,22,11,11,8874,5859,3015,1.943,0.842,4.487,0.12,FALSE
Other_bone_disease_and_musculoskeletal_deformities,40,26,14,8856,5844,3012,1.045,0.545,2.004,0.895,FALSE
Other_circulatory_disease,55,29,26,8841,5841,3000,1.746,1.026,2.969,0.04,TRUE
Other_congenital_anomalies,36,23,13,8860,5847,3013,1.097,0.555,2.168,0.79,FALSE
Other_diseases_of_bladder_and_urethra,10,8,2,8886,5862,3024,0.485,0.103,2.284,0.36,FALSE
Other_diseases_of_veins_and_lymphatics,12,5,7,8884,5865,3019,2.72,0.863,8.575,0.088,FALSE
Other_lower_respiratory_disease,4,1,3,8892,5869,3023,5.824,0.606,56.015,0.127,FALSE
Other_male_genital_disorders,407,200,207,8489,5670,2819,2.082,1.705,2.541,0,TRUE
Other_microcrystalline_arthritis,29,19,10,8867,5851,3016,1.021,0.474,2.199,0.958,FALSE
Other_non-traumatic_joint_disorders,139,82,57,8757,5788,2969,1.355,0.964,1.906,0.081,FALSE
Other_nutritional__endocrine__and_metabolic_disorders,92,56,36,8804,5814,2990,1.25,0.82,1.904,0.299,FALSE
Pancreatic_disorders__not_diabetes_,58,30,28,8838,5840,2998,1.818,1.084,3.049,0.023,TRUE
Paralysis,40,17,23,8856,5853,3003,2.637,1.407,4.943,0.002,TRUE
Parkinson_s_disease,13,8,5,8883,5862,3021,1.213,0.396,3.71,0.735,FALSE
Peri-__endo-__and_myocarditis__cardiomyopathy__except_that_caused_by_tuberculosis_or_sexually_transmitted_disease_,59,34,25,8837,5836,3001,1.43,0.852,2.401,0.176,FALSE
Peripheral_and_visceral_atherosclerosis,75,35,40,8821,5835,2986,2.233,1.416,3.523,0.001,TRUE
Personality_disorders,64,24,40,8832,5846,2986,3.263,1.963,5.423,0,TRUE
Psoriasis_and_other_inflammatory,285,175,110,8611,5695,2916,1.228,0.963,1.565,0.098,FALSE
Pulmonary_heart_disease,4,2,2,8892,5868,3024,1.94,0.273,13.78,0.507,FALSE
Regional_enteritis_and_ulcerative_colitis,57,35,22,8839,5835,3004,1.221,0.715,2.085,0.465,FALSE
Restless_leg_syndrome_and_other_nervous_system_conditions,26,10,16,8870,5860,3010,3.115,1.412,6.872,0.005,TRUE
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,64,49,15,8832,5821,3011,0.592,0.331,1.057,0.076,FALSE
Rheumatoid_arthritis_and_related_disease,31,23,8,8865,5847,3018,0.674,0.301,1.508,0.337,FALSE
Schizophrenia_and_other_psychotic_disorders,117,56,61,8779,5814,2965,2.136,1.482,3.078,0,TRUE
Sexual_disorders,558,313,245,8338,5557,2781,1.564,1.315,1.86,0,TRUE
Sleeping_disorders,8,7,1,8888,5863,3025,0.277,0.034,2.251,0.23,FALSE
Spondylosis__intervertebral_disc_disorders__other_back_problems,377,236,141,8519,5634,2885,1.167,0.943,1.444,0.157,FALSE
Systemic_lupus_erythematosus_and_connective_tissue_disorders,12,5,7,8884,5865,3019,2.72,0.863,8.575,0.088,FALSE
Thalassemia_and_other_anemia,20,13,7,8876,5857,3019,1.045,0.416,2.621,0.926,FALSE
Thyroid_disorders,328,224,104,8568,5646,2922,0.897,0.708,1.137,0.369,FALSE
Tongue_tie_an_other_digestive_congenital_anomalies,5,4,1,8891,5866,3025,0.485,0.054,4.338,0.517,FALSE
Transient_cerebral_ischemia,44,22,22,8852,5848,3004,1.947,1.076,3.521,0.028,TRUE
Urinary_incontinence,134,74,60,8762,5796,2966,1.584,1.124,2.234,0.009,TRUE
Urinary_tract_infections,5,2,3,8891,5868,3023,2.912,0.486,17.432,0.242,FALSE
Viral_infection,44,14,30,8852,5856,2996,4.188,2.218,7.91,0,TRUE
Vision_defects,566,352,214,8330,5518,2812,1.193,1.001,1.422,0.049,TRUE
