ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR_HIV,lb_HIV,ub_HIV,p_value_HIV,OR_edad,lb_edad,ub_edad,p_value_edad,p_05_HIV,p_05_edad
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,140,99,41,15906,10517,5389,0.807,0.559,1.165,0.253,1.059,1.047,1.07,0,FALSE,TRUE
Rheumatoid_arthritis_and_related_disease,64,41,23,15982,10575,5407,1.097,0.657,1.831,0.722,1.045,1.028,1.062,0,FALSE,TRUE
Schizophrenia_and_other_psychotic_disorders,173,91,82,15873,10525,5348,1.773,1.313,2.394,0,1.002,0.993,1.012,0.628,TRUE,FALSE
Sexual_disorders,814,465,349,15232,10151,5081,1.501,1.301,1.732,0,1.019,1.014,1.024,0,TRUE,TRUE
Sleeping_disorders,38,28,10,16008,10588,5420,0.699,0.339,1.443,0.333,0.942,0.926,0.959,0,FALSE,TRUE
Somatization_and_hypochondria_disorders,8,6,2,16038,10610,5428,0.651,0.131,3.227,0.599,1.02,0.975,1.067,0.394,FALSE,FALSE
Spondylosis__intervertebral_disc_disorders__other_back_problems,678,429,249,15368,10187,5181,1.145,0.974,1.346,0.101,1.049,1.043,1.054,0,FALSE,TRUE
Systemic_lupus_erythematosus_and_connective_tissue_disorders,23,12,11,16023,10604,5419,1.794,0.791,4.067,0.162,1.002,0.976,1.028,0.891,FALSE,FALSE
Thalassemia_and_other_anemia,44,25,19,16002,10591,5411,1.487,0.818,2.703,0.193,1.007,0.988,1.026,0.489,FALSE,FALSE
Thyroid_disorders,628,421,207,15418,10195,5223,0.959,0.809,1.137,0.628,1.027,1.021,1.032,0,FALSE,TRUE
Tongue_tie_an_other_digestive_congenital_anomalies,17,13,4,16029,10603,5426,0.603,0.196,1.851,0.377,0.952,0.927,0.978,0,FALSE,TRUE
Transient_cerebral_ischemia,132,78,54,15914,10538,5376,1.374,0.965,1.956,0.078,1.087,1.075,1.1,0,FALSE,TRUE
Urinary_incontinence,447,287,160,15599,10329,5270,1.104,0.9,1.353,0.343,1.087,1.08,1.094,0,FALSE,TRUE
Urinary_tract_infections,11,4,7,16035,10612,5423,3.431,1.003,11.73,0.049,1.057,1.017,1.099,0.005,TRUE,TRUE
Viral_infection,65,20,45,15981,10596,5385,4.428,2.612,7.505,0,0.999,0.983,1.014,0.856,TRUE,FALSE
Vision_defects,961,612,349,15085,10004,5081,1.122,0.98,1.286,0.096,1.012,1.007,1.016,0,FALSE,TRUE
