ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR,lb,ub,p_value,p_05
Ischemic_heart_disease,52,32,20,1132,755,377,1.252,0.706,2.218,0.442,FALSE
Joint_disorders_and_dislocations__trauma-related,12,8,4,1172,779,393,0.991,0.297,3.311,0.988,FALSE
Malaise_and_fatigue,2,1,1,1182,786,396,1.985,0.124,31.816,0.628,FALSE
Menieres_disease,7,4,3,1177,783,394,1.49,0.332,6.692,0.602,FALSE
Menopausal_disorders,206,143,63,978,644,334,0.849,0.614,1.175,0.324,FALSE
Menstrual_disorders,66,39,27,1118,748,370,1.4,0.844,2.322,0.193,FALSE
Miscellaneous_mental_health_disorders,51,36,15,1133,751,382,0.819,0.443,1.515,0.525,FALSE
Multiple_sclerosis,3,2,1,1181,785,396,0.991,0.09,10.96,0.994,FALSE
Myodesopsia_and_other_eye_disorders,46,27,19,1138,760,378,1.415,0.777,2.577,0.257,FALSE
Neoplasms,115,69,46,1069,718,351,1.364,0.919,2.023,0.123,FALSE
Neuropathy_and_other_nervous_system_disorders,98,65,33,1086,722,364,1.007,0.65,1.56,0.975,FALSE
Nonmalignant_breast_conditions,21,16,5,1163,771,392,0.615,0.224,1.69,0.346,FALSE
Nutritional_deficiencies,7,2,5,1177,785,392,5.006,0.967,25.916,0.055,FALSE
Obesity,192,138,54,992,649,343,0.74,0.527,1.041,0.084,FALSE
Obstructive_Sleep_apnea,28,17,11,1156,770,386,1.291,0.599,2.783,0.515,FALSE
Osteoarthritis,331,227,104,853,560,293,0.876,0.667,1.149,0.338,FALSE
Osteoporosis,305,192,113,879,595,284,1.233,0.939,1.618,0.131,FALSE
Other_acquired_deformities,20,12,8,1164,775,389,1.328,0.538,3.276,0.538,FALSE
Other_and_ill-defined_cerebrovascular_disease,8,7,1,1176,780,396,0.281,0.035,2.294,0.236,FALSE
Other_and_ill-defined_heart_disease,5,3,2,1179,784,395,1.323,0.22,7.951,0.76,FALSE
Other_bone_disease_and_musculoskeletal_deformities,9,5,4,1175,782,393,1.592,0.425,5.96,0.49,FALSE
Other_circulatory_disease,20,14,6,1164,773,391,0.847,0.323,2.222,0.736,FALSE
Other_diseases_of_bladder_and_urethra,7,5,2,1177,782,395,0.792,0.153,4.1,0.781,FALSE
Other_diseases_of_veins_and_lymphatics,5,2,3,1179,785,394,2.989,0.497,17.956,0.231,FALSE
Other_male_genital_disorders,2,1,1,1182,786,396,1.985,0.124,31.816,0.628,FALSE
Other_microcrystalline_arthritis,3,2,1,1181,785,396,0.991,0.09,10.96,0.994,FALSE
Other_non-traumatic_joint_disorders,32,17,15,1152,770,382,1.779,0.879,3.6,0.109,FALSE
Other_nutritional__endocrine__and_metabolic_disorders,33,21,12,1151,766,385,1.137,0.554,2.335,0.727,FALSE
Pancreatic_disorders__not_diabetes_,12,6,6,1172,781,391,1.997,0.64,6.233,0.233,FALSE
Paralysis,7,4,3,1177,783,394,1.49,0.332,6.692,0.602,FALSE
Parkinson_s_disease,11,7,4,1173,780,393,1.134,0.33,3.897,0.842,FALSE
Peri-__endo-__and_myocarditis__cardiomyopathy__except_that_caused_by_tuberculosis_or_sexually_transmitted_disease_,9,6,3,1175,781,394,0.991,0.247,3.984,0.99,FALSE
Peripheral_and_visceral_atherosclerosis,7,5,2,1177,782,395,0.792,0.153,4.1,0.781,FALSE
Personality_disorders,3,2,1,1181,785,396,0.991,0.09,10.96,0.994,FALSE
Polymyalgia_rheumatica,11,7,4,1173,780,393,1.134,0.33,3.897,0.842,FALSE
Prolapse_of_female_genital_organs,60,40,20,1124,747,377,0.991,0.571,1.719,0.974,FALSE
Psoriasis_and_other_inflammatory,29,20,9,1155,767,388,0.89,0.401,1.972,0.773,FALSE
Pulmonary_heart_disease,5,1,4,1179,786,393,8,0.891,71.813,0.063,FALSE
Regional_enteritis_and_ulcerative_colitis,6,2,4,1178,785,393,3.995,0.729,21.902,0.111,FALSE
Restless_leg_syndrome_and_other_nervous_system_conditions,24,13,11,1160,774,386,1.697,0.753,3.822,0.202,FALSE
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,26,18,8,1158,769,389,0.879,0.379,2.039,0.763,FALSE
Rheumatoid_arthritis_and_related_disease,18,12,6,1166,775,391,0.991,0.369,2.66,0.986,FALSE
Schizophrenia_and_other_psychotic_disorders,17,12,5,1167,775,392,0.824,0.288,2.355,0.718,FALSE
Sexual_disorders,6,3,3,1178,784,394,1.99,0.4,9.904,0.401,FALSE
Spondylosis__intervertebral_disc_disorders__other_back_problems,152,108,44,1032,679,353,0.784,0.539,1.138,0.201,FALSE
Systemic_lupus_erythematosus_and_connective_tissue_disorders,16,8,8,1168,779,389,2.003,0.746,5.376,0.168,FALSE
Thyroid_disorders,279,187,92,905,600,305,0.968,0.728,1.287,0.822,FALSE
Transient_cerebral_ischemia,28,19,9,1156,768,388,0.938,0.42,2.092,0.875,FALSE
Urinary_incontinence,247,156,91,937,631,306,1.203,0.898,1.611,0.216,FALSE
Urinary_tract_infections,10,9,1,1174,778,396,0.218,0.028,1.729,0.149,FALSE
Vision_defects,152,100,52,1032,687,345,1.035,0.723,1.483,0.849,FALSE
