ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR_HIV,lb_HIV,ub_HIV,p_value_HIV,OR_edad,lb_edad,ub_edad,p_value_edad,p_05_HIV,p_05_edad
Obstructive_Sleep_apnea,199,158,41,24392,16131,8261,0.506,0.358,0.714,0,1.031,1.021,1.04,0,TRUE,TRUE
Osteoarthritis,753,517,236,23838,15772,8066,0.89,0.76,1.043,0.15,1.054,1.049,1.059,0,FALSE,TRUE
Osteoporosis,280,145,135,24311,16144,8167,1.853,1.461,2.349,0,1.052,1.044,1.06,0,TRUE,TRUE
Other_acquired_deformities,105,79,26,24486,16210,8276,0.645,0.414,1.006,0.053,0.98,0.969,0.992,0.001,FALSE,TRUE
Other_and_ill-defined_cerebrovascular_disease,15,10,5,24576,16279,8297,0.981,0.335,2.872,0.972,1.047,1.013,1.081,0.006,FALSE,TRUE
Other_and_ill-defined_heart_disease,32,20,12,24559,16269,8290,1.177,0.575,2.409,0.656,1.019,0.996,1.041,0.103,FALSE,FALSE
Other_bone_disease_and_musculoskeletal_deformities,35,21,14,24556,16268,8288,1.308,0.665,2.574,0.437,1.006,0.986,1.028,0.546,FALSE,FALSE
Other_circulatory_disease,119,75,44,24472,16214,8258,1.151,0.793,1.672,0.459,1.023,1.011,1.035,0,FALSE,TRUE
Other_congenital_anomalies,67,43,24,24524,16246,8278,1.098,0.666,1.811,0.715,0.966,0.953,0.98,0,FALSE,TRUE
Other_diseases_of_bladder_and_urethra,22,15,7,24569,16274,8295,0.915,0.373,2.246,0.846,1.033,1.006,1.061,0.018,FALSE,TRUE
Other_diseases_of_veins_and_lymphatics,23,11,12,24568,16278,8290,2.147,0.946,4.87,0.068,1.062,1.035,1.09,0,FALSE,TRUE
Other_hematologic_conditions,29,2,27,24562,16287,8275,26.686,6.345,112.233,0,1.058,1.033,1.083,0,TRUE,TRUE
Other_infections__including_parasitic,11,6,5,24580,16283,8297,1.635,0.499,5.358,0.417,1.026,0.988,1.066,0.182,FALSE,FALSE
Other_lower_respiratory_disease,11,5,6,24580,16284,8296,2.364,0.721,7.755,0.156,1.078,1.038,1.12,0,FALSE,TRUE
Other_male_genital_disorders,429,218,211,24162,16071,8091,1.923,1.588,2.328,0,0.995,0.989,1.001,0.127,TRUE,FALSE
Other_microcrystalline_arthritis,19,14,5,24572,16275,8297,0.701,0.252,1.946,0.495,1.049,1.019,1.079,0.001,FALSE,TRUE
Other_non-traumatic_joint_disorders,269,169,100,24322,16120,8202,1.163,0.906,1.491,0.236,1.016,1.009,1.024,0,FALSE,TRUE
Other_nutritional__endocrine__and_metabolic_disorders,206,138,68,24385,16151,8234,0.966,0.722,1.294,0.818,1.004,0.996,1.013,0.334,FALSE,FALSE
Pancreatic_disorders__not_diabetes_,66,36,30,24525,16253,8272,1.637,1.007,2.66,0.047,1.027,1.011,1.043,0.001,TRUE,TRUE
Paralysis,68,39,29,24523,16250,8273,1.46,0.902,2.363,0.123,1.03,1.014,1.046,0,FALSE,TRUE
Parkinson_s_disease,41,30,11,24550,16259,8291,0.72,0.36,1.439,0.352,1.075,1.054,1.097,0,FALSE,TRUE
Peri-__endo-__and_myocarditis__cardiomyopathy__except_that_caused_by_tuberculosis_or_sexually_transmitted_disease_,72,43,29,24519,16246,8273,1.325,0.826,2.124,0.243,1.039,1.024,1.054,0,FALSE,TRUE
Peripheral_and_visceral_atherosclerosis,125,63,62,24466,16226,8240,1.949,1.369,2.774,0,1.061,1.049,1.073,0,TRUE,TRUE
Personality_disorders,89,35,54,24502,16254,8248,3.042,1.987,4.659,0,0.991,0.978,1.003,0.147,TRUE,FALSE
Polymyalgia_rheumatica,15,13,2,24576,16276,8300,0.302,0.068,1.339,0.115,1.07,1.036,1.106,0,FALSE,TRUE
Prolapse_of_female_genital_organs,76,50,26,24515,16239,8276,1.02,0.634,1.64,0.935,1.039,1.024,1.054,0,FALSE,TRUE
Psoriasis_and_other_inflammatory,327,217,110,24264,16072,8192,0.994,0.789,1.252,0.96,1.011,1.004,1.018,0.002,FALSE,TRUE
Pulmonary_heart_disease,12,4,8,24579,16285,8294,3.932,1.183,13.066,0.025,1.055,1.018,1.094,0.004,TRUE,TRUE
Regional_enteritis_and_ulcerative_colitis,54,34,20,24537,16255,8282,1.154,0.664,2.006,0.611,1.01,0.993,1.027,0.247,FALSE,FALSE
Restless_leg_syndrome_and_other_nervous_system_conditions,64,32,32,24527,16257,8270,1.966,1.203,3.212,0.007,1.031,1.015,1.048,0,TRUE,TRUE
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,100,76,24,24491,16213,8278,0.618,0.39,0.979,0.04,1.048,1.035,1.061,0,TRUE,TRUE
Rheumatoid_arthritis_and_related_disease,62,45,17,24529,16244,8285,0.74,0.423,1.294,0.291,1.032,1.016,1.049,0,FALSE,TRUE
Schizophrenia_and_other_psychotic_disorders,121,53,68,24470,16236,8234,2.53,1.765,3.626,0,1.004,0.992,1.015,0.529,TRUE,FALSE
Sexual_disorders,503,281,222,24088,16008,8080,1.566,1.31,1.871,0,1.02,1.014,1.026,0,TRUE,TRUE
Sleeping_disorders,48,35,13,24543,16254,8289,0.73,0.386,1.381,0.333,0.951,0.936,0.967,0,FALSE,TRUE
Spondylosis__intervertebral_disc_disorders__other_back_problems,513,353,160,24078,15936,8142,0.886,0.733,1.071,0.21,1.034,1.029,1.04,0,FALSE,TRUE
Systemic_lupus_erythematosus_and_connective_tissue_disorders,43,25,18,24548,16264,8284,1.413,0.771,2.592,0.263,1.003,0.985,1.023,0.723,FALSE,FALSE
Thalassemia_and_other_anemia,31,17,14,24560,16272,8288,1.619,0.798,3.285,0.182,0.981,0.961,1.003,0.084,FALSE,FALSE
Thyroid_disorders,1030,716,314,23561,15573,7988,0.854,0.746,0.978,0.023,1.011,1.007,1.016,0,TRUE,TRUE
Transient_cerebral_ischemia,89,58,31,24502,16231,8271,1.053,0.678,1.635,0.817,1.089,1.074,1.104,0,FALSE,TRUE
Urinary_incontinence,632,396,236,23959,15893,8066,1.182,1.001,1.396,0.049,1.064,1.059,1.07,0,TRUE,TRUE
Urinary_tract_infections,20,13,7,24571,16276,8295,1.057,0.421,2.65,0.907,1.044,1.015,1.074,0.002,FALSE,TRUE
Viral_infection,38,11,27,24553,16278,8275,4.828,2.394,9.738,0,1,0.98,1.02,0.994,TRUE,FALSE
Vision_defects,984,601,383,23607,15688,7919,1.262,1.107,1.439,0,1.009,1.005,1.013,0,TRUE,TRUE
