ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR_HIV,lb_HIV,ub_HIV,p_value_HIV,OR_edad,lb_edad,ub_edad,p_value_edad,p_05_HIV,p_05_edad
Rheumatoid_arthritis_and_related_disease,25,20,5,16021,10596,5425,0.488,0.183,1.301,0.152,1.043,1.017,1.07,0.001,FALSE,TRUE
Schizophrenia_and_other_psychotic_disorders,81,35,46,15965,10581,5384,2.583,1.662,4.014,0,1.002,0.988,1.016,0.805,TRUE,FALSE
Sexual_disorders,479,272,207,15567,10344,5223,1.508,1.254,1.812,0,1.017,1.011,1.023,0,TRUE,TRUE
Sleeping_disorders,23,17,6,16023,10599,5424,0.691,0.272,1.757,0.437,0.93,0.909,0.951,0,FALSE,TRUE
Spondylosis__intervertebral_disc_disorders__other_back_problems,300,203,97,15746,10413,5333,0.932,0.73,1.191,0.574,1.038,1.03,1.046,0,FALSE,TRUE
Systemic_lupus_erythematosus_and_connective_tissue_disorders,9,6,3,16037,10610,5427,0.977,0.244,3.908,0.974,1.016,0.974,1.06,0.467,FALSE,FALSE
Thalassemia_and_other_anemia,19,10,9,16027,10606,5421,1.76,0.715,4.333,0.219,1.016,0.987,1.046,0.293,FALSE,FALSE
Thyroid_disorders,379,265,114,15667,10351,5316,0.837,0.67,1.045,0.116,1.026,1.019,1.032,0,FALSE,TRUE
Transient_cerebral_ischemia,66,43,23,15980,10573,5407,1.051,0.63,1.752,0.849,1.089,1.071,1.107,0,FALSE,TRUE
Urinary_incontinence,304,199,105,15742,10417,5325,1.037,0.812,1.324,0.771,1.084,1.075,1.093,0,FALSE,TRUE
Urinary_tract_infections,4,2,2,16042,10614,5428,1.956,0.275,13.89,0.502,1.047,0.983,1.116,0.156,FALSE,FALSE
Viral_infection,26,5,21,16020,10611,5409,8.238,3.105,21.86,0,1.002,0.977,1.027,0.879,TRUE,FALSE
Vision_defects,550,342,208,15496,10274,5222,1.196,1.004,1.426,0.046,1.011,1.006,1.017,0,TRUE,TRUE
