ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR_HIV,lb_HIV,ub_HIV,p_value_HIV,OR_edad,lb_edad,ub_edad,p_value_edad,p_05_HIV,p_05_edad
Esophageal_disorders,331,219,112,8214,5454,2760,1.011,0.801,1.275,0.929,1.019,1.012,1.026,0,FALSE,TRUE
Female_infertility,194,125,69,8351,5548,2803,1.093,0.812,1.472,0.558,0.98,0.972,0.989,0,FALSE,TRUE
Glaucoma,238,159,79,8307,5514,2793,0.982,0.742,1.3,0.899,1.07,1.061,1.079,0,FALSE,TRUE
Gout,30,19,11,8515,5654,2861,1.148,0.544,2.422,0.717,1.068,1.045,1.092,0,FALSE,TRUE
HIV-related_disease,65,18,47,8480,5655,2825,5.229,3.031,9.02,0,1.012,0.996,1.027,0.143,TRUE,FALSE
Headache__including_migraine,1965,1262,703,6580,4411,2169,1.133,1.019,1.259,0.021,0.997,0.993,1,0.031,TRUE,TRUE
Hearing_loss_and_other_ear_and_sense_organ_disorders,495,319,176,8050,5354,2696,1.097,0.906,1.328,0.341,1.029,1.023,1.035,0,FALSE,TRUE
Heart_valve_disorders,46,27,19,8499,5646,2853,1.402,0.775,2.534,0.264,1.07,1.051,1.09,0,FALSE,TRUE
Hepatic_steatosis_and_other_liver_diseases,159,77,82,8386,5596,2790,2.159,1.573,2.963,0,1.046,1.036,1.056,0,TRUE,TRUE
Hepatitis,338,39,299,8207,5634,2573,16.821,12.009,23.562,0,1.009,1.002,1.016,0.012,TRUE,TRUE
Hyperparathyroidism_and_other_endocrine_disorders,52,28,24,8493,5645,2848,1.703,0.984,2.945,0.057,1.039,1.021,1.057,0,FALSE,TRUE
Hyperplasia_of_prostate,1,0,1,8544,5673,2871,1.703,0.984,2.945,0.057,1.039,1.021,1.057,0,FALSE,TRUE
Hypertension,1618,1050,568,6927,4623,2304,1.106,0.976,1.255,0.115,1.08,1.075,1.085,0,FALSE,TRUE
Hypertension_complicating_pregnancy__childbirth_and_the_puerperium,19,8,11,8526,5665,2861,2.728,1.095,6.794,0.031,0.961,0.937,0.987,0.003,TRUE,TRUE
Immunity_disorders,8,3,5,8537,5670,2867,3.307,0.789,13.862,0.102,1.06,1.016,1.106,0.007,FALSE,TRUE
Infective_arthritis_and_osteomyelitis__except_that_caused_by_tuberculosis_or_sexually_transmitted_disease_,17,6,11,8528,5667,2861,3.642,1.345,9.864,0.011,1.046,1.016,1.078,0.002,TRUE,TRUE
Irritable_bowel_and_other_GI_disorders,171,119,52,8374,5554,2820,0.86,0.619,1.196,0.371,1.016,1.007,1.026,0.001,FALSE,TRUE
Ischemic_heart_disease,97,49,48,8448,5624,2824,2.007,1.334,3.02,0.001,1.082,1.068,1.096,0,TRUE,TRUE
Joint_disorders_and_dislocations__trauma-related,93,57,36,8452,5616,2836,1.251,0.822,1.903,0.296,1.006,0.993,1.019,0.348,FALSE,FALSE
Malaise_and_fatigue,11,4,7,8534,5669,2865,3.464,1.013,11.844,0.048,1.023,0.986,1.062,0.226,TRUE,FALSE
Menieres_disease,23,16,7,8522,5657,2865,0.864,0.355,2.104,0.748,1.036,1.01,1.062,0.007,FALSE,TRUE
Menopausal_disorders,854,588,266,7691,5085,2606,0.876,0.749,1.025,0.099,1.051,1.046,1.056,0,FALSE,TRUE
Menstrual_disorders,2485,1630,855,6060,4043,2017,1.053,0.953,1.164,0.308,0.975,0.972,0.978,0,FALSE,TRUE
Miscellaneous_mental_health_disorders,575,384,191,7970,5289,2681,0.981,0.82,1.174,0.836,1,0.994,1.005,0.882,FALSE,FALSE
Multiple_sclerosis,24,16,8,8521,5657,2864,0.988,0.422,2.31,0.977,1.005,0.98,1.031,0.688,FALSE,FALSE
Myodesopsia_and_other_eye_disorders,176,118,58,8369,5555,2814,0.97,0.706,1.334,0.853,1.025,1.016,1.035,0,FALSE,TRUE
Neoplasms,295,156,139,8250,5517,2733,1.842,1.452,2.337,0,1.057,1.049,1.065,0,TRUE,TRUE
Nephritis__nephrosis__renal_sclerosis,7,1,6,8538,5672,2866,11.876,1.429,98.694,0.022,1.016,0.97,1.064,0.51,TRUE,FALSE
Nervous_system_congenital_anomalies,5,3,2,8540,5670,2870,1.318,0.22,7.891,0.763,1.034,0.979,1.092,0.23,FALSE,FALSE
Neuropathy_and_other_nervous_system_disorders,549,371,178,7996,5302,2694,0.944,0.784,1.136,0.541,1.026,1.02,1.032,0,FALSE,TRUE
Nonmalignant_breast_conditions,217,153,64,8328,5520,2808,0.822,0.612,1.105,0.194,1.007,0.998,1.015,0.121,FALSE,FALSE
Nutritional_deficiencies,10,5,5,8535,5668,2867,1.986,0.573,6.879,0.279,1.071,1.031,1.113,0,FALSE,TRUE
Obesity,818,570,248,7727,5103,2624,0.844,0.721,0.988,0.035,1.024,1.02,1.029,0,TRUE,TRUE
Obstructive_Sleep_apnea,80,53,27,8465,5620,2845,1.007,0.631,1.606,0.977,1.039,1.025,1.054,0,FALSE,TRUE
Osteoarthritis,711,466,245,7834,5207,2627,1.051,0.884,1.249,0.577,1.079,1.073,1.085,0,FALSE,TRUE
Osteoporosis,517,318,199,8028,5355,2673,1.311,1.074,1.601,0.008,1.094,1.087,1.102,0,TRUE,TRUE
Other_CNS_infection_and_poliomyelitis,5,3,2,8540,5670,2870,1.317,0.22,7.887,0.763,1.016,0.961,1.073,0.581,FALSE,FALSE
Other_acquired_deformities,174,120,54,8371,5553,2818,0.887,0.641,1.227,0.468,0.986,0.977,0.995,0.002,FALSE,TRUE
Other_and_ill-defined_cerebrovascular_disease,16,11,5,8529,5662,2867,0.899,0.312,2.593,0.844,1.061,1.03,1.093,0,FALSE,TRUE
Other_and_ill-defined_heart_disease,27,19,8,8518,5654,2864,0.831,0.363,1.901,0.661,1.01,0.987,1.034,0.399,FALSE,FALSE
Other_bone_disease_and_musculoskeletal_deformities,34,23,11,8511,5650,2861,0.945,0.46,1.941,0.877,1.023,1.001,1.044,0.037,FALSE,TRUE
Other_circulatory_disease,90,52,38,8455,5621,2834,1.45,0.952,2.209,0.084,1.016,1.003,1.03,0.014,FALSE,TRUE
Other_congenital_anomalies,110,79,31,8435,5594,2841,0.772,0.508,1.174,0.226,0.973,0.962,0.984,0,FALSE,TRUE
Other_diseases_of_bladder_and_urethra,22,15,7,8523,5658,2865,0.922,0.375,2.265,0.86,1.038,1.012,1.065,0.005,FALSE,TRUE
Other_diseases_of_veins_and_lymphatics,19,11,8,8526,5662,2864,1.439,0.578,3.582,0.434,1.035,1.006,1.064,0.017,FALSE,TRUE
Other_infections__including_parasitic,7,4,3,8538,5669,2869,1.485,0.332,6.642,0.605,1.054,1.007,1.103,0.023,FALSE,TRUE
Other_lower_respiratory_disease,3,1,2,8542,5672,2870,3.976,0.36,43.943,0.26,1.086,1.012,1.165,0.022,FALSE,TRUE
Other_male_genital_disorders,3,1,2,8542,5672,2870,3.961,0.359,43.712,0.261,1.055,0.984,1.131,0.13,FALSE,FALSE
Other_microcrystalline_arthritis,9,7,2,8536,5666,2870,0.564,0.117,2.72,0.476,1.051,1.009,1.094,0.016,FALSE,TRUE
Other_non-traumatic_joint_disorders,173,112,61,8372,5561,2811,1.078,0.786,1.477,0.642,1.016,1.006,1.026,0.001,FALSE,TRUE
Other_nutritional__endocrine__and_metabolic_disorders,195,129,66,8350,5544,2806,1.011,0.749,1.365,0.944,0.997,0.988,1.006,0.503,FALSE,FALSE
Pancreatic_disorders__not_diabetes_,28,12,16,8517,5661,2856,2.652,1.252,5.619,0.011,1.047,1.023,1.071,0,TRUE,TRUE
Paralysis,50,36,14,8495,5637,2858,0.767,0.413,1.424,0.401,1.018,1,1.035,0.049,FALSE,TRUE
Parkinson_s_disease,16,9,7,8529,5664,2865,1.551,0.574,4.189,0.387,1.092,1.058,1.126,0,FALSE,TRUE
Peri-__endo-__and_myocarditis__cardiomyopathy__except_that_caused_by_tuberculosis_or_sexually_transmitted_disease_,24,12,12,8521,5661,2860,1.987,0.89,4.435,0.094,1.056,1.03,1.082,0,FALSE,TRUE
Peripheral_and_visceral_atherosclerosis,22,16,6,8523,5657,2866,0.741,0.289,1.898,0.532,1.059,1.032,1.087,0,FALSE,TRUE
Personality_disorders,55,18,37,8490,5655,2835,4.101,2.331,7.215,0,0.994,0.978,1.011,0.502,TRUE,FALSE
Polymyalgia_rheumatica,16,12,4,8529,5661,2868,0.658,0.211,2.052,0.471,1.092,1.059,1.127,0,FALSE,TRUE
Prolapse_of_female_genital_organs,143,98,45,8402,5575,2827,0.905,0.632,1.296,0.587,1.058,1.047,1.069,0,FALSE,TRUE
Psoriasis_and_other_inflammatory,283,187,96,8262,5486,2776,1.015,0.79,1.303,0.91,1.005,0.998,1.013,0.16,FALSE,FALSE
Pulmonary_heart_disease,10,2,8,8535,5671,2864,7.979,1.691,37.647,0.009,1.068,1.028,1.11,0.001,TRUE,TRUE
Regional_enteritis_and_ulcerative_colitis,45,31,14,8500,5642,2858,0.892,0.473,1.679,0.722,1.011,0.993,1.03,0.225,FALSE,FALSE
Restless_leg_syndrome_and_other_nervous_system_conditions,73,40,33,8472,5633,2839,1.642,1.032,2.613,0.036,1.043,1.028,1.058,0,TRUE,TRUE
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,51,36,15,8494,5637,2857,0.822,0.448,1.508,0.527,1.065,1.047,1.083,0,FALSE,TRUE
Rheumatoid_arthritis_and_related_disease,83,50,33,8462,5623,2839,1.308,0.841,2.037,0.234,1.029,1.016,1.043,0,FALSE,TRUE
Schizophrenia_and_other_psychotic_disorders,82,45,37,8463,5628,2835,1.633,1.054,2.529,0.028,1.016,1.002,1.029,0.026,TRUE,TRUE
Sexual_disorders,41,19,22,8504,5654,2850,2.297,1.241,4.251,0.008,1.003,0.984,1.023,0.739,TRUE,FALSE
Sleeping_disorders,41,27,14,8504,5646,2858,1.025,0.536,1.957,0.941,0.981,0.963,0.999,0.042,FALSE,TRUE
Somatization_and_hypochondria_disorders,13,7,6,8532,5666,2866,1.696,0.569,5.051,0.343,0.971,0.941,1.003,0.075,FALSE,FALSE
Spondylosis__intervertebral_disc_disorders__other_back_problems,463,326,137,8082,5347,2735,0.816,0.663,1.006,0.056,1.05,1.044,1.056,0,FALSE,TRUE
Systemic_lupus_erythematosus_and_connective_tissue_disorders,61,33,28,8484,5640,2844,1.684,1.015,2.792,0.044,1.02,1.005,1.037,0.012,TRUE,TRUE
Thalassemia_and_other_anemia,31,19,12,8514,5654,2860,1.25,0.605,2.579,0.547,0.967,0.947,0.987,0.001,FALSE,TRUE
Thyroid_disorders,1362,940,422,7183,4733,2450,0.865,0.763,0.981,0.024,1.021,1.017,1.025,0,TRUE,TRUE
Tongue_tie_an_other_digestive_congenital_anomalies,5,4,1,8540,5669,2871,0.494,0.055,4.422,0.528,0.954,0.907,1.002,0.061,FALSE,FALSE
Transient_cerebral_ischemia,44,29,15,8501,5644,2857,1.027,0.545,1.934,0.935,1.093,1.072,1.114,0,FALSE,TRUE
Urinary_incontinence,553,334,219,7992,5339,2653,1.353,1.125,1.627,0.001,1.066,1.06,1.072,0,TRUE,TRUE
Urinary_tract_infections,31,22,9,8514,5651,2863,0.808,0.371,1.757,0.59,1.037,1.014,1.059,0.001,FALSE,TRUE
Viral_infection,34,15,19,8511,5658,2853,2.513,1.275,4.952,0.008,0.989,0.969,1.01,0.292,TRUE,FALSE
Vision_defects,790,500,290,7755,5173,2582,1.162,0.998,1.354,0.053,1.011,1.007,1.016,0,FALSE,TRUE
