ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR,lb,ub,p_value,p_05
Endometriosis,49,30,19,4210,2794,1416,1.25,0.701,2.228,0.45,FALSE
Epilepsy__convulsions,63,22,41,4196,2802,1394,3.746,2.223,6.313,0,TRUE
Escleritis,9,7,2,4250,2817,1433,0.562,0.117,2.707,0.472,FALSE
Esophageal_disorders,180,112,68,4079,2712,1367,1.205,0.885,1.639,0.237,FALSE
Female_infertility,99,65,34,4160,2759,1401,1.03,0.677,1.567,0.89,FALSE
Glaucoma,112,72,40,4147,2752,1395,1.096,0.741,1.622,0.647,FALSE
Gout,15,8,7,4244,2816,1428,1.725,0.624,4.768,0.293,FALSE
HIV-related_disease,44,9,35,4215,2815,1400,7.819,3.748,16.312,0,TRUE
Headache__including_migraine,975,612,363,3284,2212,1072,1.224,1.055,1.42,0.008,TRUE
Hearing_loss_and_other_ear_and_sense_organ_disorders,251,166,85,4008,2658,1350,1.008,0.77,1.32,0.953,FALSE
Heart_valve_disorders,17,8,9,4242,2816,1426,2.222,0.855,5.77,0.101,FALSE
Hepatic_steatosis_and_other_liver_diseases,106,52,54,4153,2772,1381,2.084,1.417,3.067,0,TRUE
Hepatitis,218,21,197,4041,2803,1238,21.24,13.478,33.472,0,TRUE
Hyperparathyroidism_and_other_endocrine_disorders,26,11,15,4233,2813,1420,2.701,1.238,5.897,0.013,TRUE
Hypertension,853,556,297,3406,2268,1138,1.065,0.909,1.247,0.437,FALSE
Hypertension_complicating_pregnancy__childbirth_and_the_puerperium,3,1,2,4256,2823,1433,3.94,0.357,43.479,0.263,FALSE
Immunity_disorders,5,1,4,4254,2823,1431,7.891,0.881,70.65,0.065,FALSE
Infective_arthritis_and_osteomyelitis__except_that_caused_by_tuberculosis_or_sexually_transmitted_disease_,10,5,5,4249,2819,1430,1.971,0.57,6.82,0.284,FALSE
Irritable_bowel_and_other_GI_disorders,78,57,21,4181,2767,1414,0.721,0.435,1.194,0.204,FALSE
Ischemic_heart_disease,42,16,26,4217,2808,1409,3.238,1.732,6.057,0,TRUE
Joint_disorders_and_dislocations__trauma-related,52,31,21,4207,2793,1414,1.338,0.766,2.337,0.306,FALSE
Malaise_and_fatigue,8,3,5,4251,2821,1430,3.288,0.785,13.776,0.103,FALSE
Menieres_disease,12,10,2,4247,2814,1433,0.393,0.086,1.795,0.228,FALSE
Menopausal_disorders,631,433,198,3628,2391,1237,0.884,0.737,1.06,0.183,FALSE
Menstrual_disorders,1235,798,437,3024,2026,998,1.112,0.967,1.278,0.136,FALSE
Miscellaneous_mental_health_disorders,315,211,104,3944,2613,1331,0.968,0.758,1.235,0.792,FALSE
Multiple_sclerosis,14,9,5,4245,2815,1430,1.094,0.366,3.269,0.873,FALSE
Myodesopsia_and_other_eye_disorders,91,65,26,4168,2759,1409,0.783,0.495,1.24,0.297,FALSE
Neoplasms,158,80,78,4101,2744,1357,1.972,1.434,2.711,0,TRUE
Neuropathy_and_other_nervous_system_disorders,355,238,117,3904,2586,1318,0.965,0.766,1.215,0.759,FALSE
Nonmalignant_breast_conditions,134,95,39,4125,2729,1396,0.803,0.55,1.172,0.254,FALSE
Obesity,439,297,142,3820,2527,1293,0.934,0.757,1.154,0.528,FALSE
Obstructive_Sleep_apnea,43,30,13,4216,2794,1422,0.851,0.443,1.637,0.63,FALSE
Osteoarthritis,355,228,127,3904,2596,1308,1.106,0.881,1.387,0.386,FALSE
Osteoporosis,206,124,82,4053,2700,1353,1.32,0.991,1.757,0.058,FALSE
Other_acquired_deformities,71,52,19,4188,2772,1416,0.715,0.421,1.214,0.215,FALSE
Other_and_ill-defined_cerebrovascular_disease,7,4,3,4252,2820,1432,1.477,0.33,6.608,0.61,FALSE
Other_and_ill-defined_heart_disease,15,9,6,4244,2815,1429,1.313,0.467,3.697,0.606,FALSE
Other_bone_disease_and_musculoskeletal_deformities,15,10,5,4244,2814,1430,0.984,0.336,2.884,0.976,FALSE
Other_circulatory_disease,41,26,15,4218,2798,1420,1.137,0.6,2.153,0.694,FALSE
Other_congenital_anomalies,42,27,15,4217,2797,1420,1.094,0.58,2.064,0.781,FALSE
Other_diseases_of_bladder_and_urethra,11,6,5,4248,2818,1430,1.642,0.5,5.39,0.413,FALSE
Other_diseases_of_veins_and_lymphatics,11,7,4,4248,2817,1431,1.125,0.329,3.848,0.851,FALSE
Other_infections__including_parasitic,6,4,2,4253,2820,1433,0.984,0.18,5.378,0.985,FALSE
Other_lower_respiratory_disease,2,1,1,4257,2823,1434,1.969,0.123,31.491,0.632,FALSE
Other_microcrystalline_arthritis,5,4,1,4254,2820,1434,0.492,0.055,4.403,0.526,FALSE
Other_non-traumatic_joint_disorders,92,62,30,4167,2762,1405,0.951,0.612,1.478,0.824,FALSE
Other_nutritional__endocrine__and_metabolic_disorders,88,62,26,4171,2762,1409,0.822,0.518,1.305,0.406,FALSE
Pancreatic_disorders__not_diabetes_,9,4,5,4250,2820,1430,2.465,0.661,9.194,0.179,FALSE
Paralysis,31,21,10,4228,2803,1425,0.937,0.44,1.994,0.865,FALSE
Parkinson_s_disease,5,2,3,4254,2822,1432,2.956,0.493,17.711,0.235,FALSE
Peri-__endo-__and_myocarditis__cardiomyopathy__except_that_caused_by_tuberculosis_or_sexually_transmitted_disease_,14,6,8,4245,2818,1427,2.633,0.912,7.603,0.074,FALSE
Peripheral_and_visceral_atherosclerosis,14,10,4,4245,2814,1431,0.787,0.246,2.512,0.685,FALSE
Personality_disorders,34,10,24,4225,2814,1411,4.786,2.283,10.037,0,TRUE
Prolapse_of_female_genital_organs,70,49,21,4189,2775,1414,0.841,0.502,1.408,0.51,FALSE
Psoriasis_and_other_inflammatory,161,104,57,4098,2720,1378,1.082,0.778,1.504,0.64,FALSE
Regional_enteritis_and_ulcerative_colitis,27,20,7,4232,2804,1428,0.687,0.29,1.629,0.394,FALSE
Restless_leg_syndrome_and_other_nervous_system_conditions,38,23,15,4221,2801,1420,1.286,0.669,2.473,0.45,FALSE
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,19,14,5,4240,2810,1430,0.702,0.252,1.952,0.498,FALSE
Rheumatoid_arthritis_and_related_disease,56,31,25,4203,2793,1410,1.597,0.94,2.716,0.084,FALSE
Schizophrenia_and_other_psychotic_disorders,45,26,19,4214,2798,1416,1.444,0.796,2.618,0.226,FALSE
Sexual_disorders,22,10,12,4237,2814,1423,2.373,1.023,5.506,0.044,TRUE
Sleeping_disorders,18,13,5,4241,2811,1430,0.756,0.269,2.125,0.596,FALSE
Somatization_and_hypochondria_disorders,6,3,3,4253,2821,1432,1.97,0.397,9.772,0.407,FALSE
Spondylosis__intervertebral_disc_disorders__other_back_problems,275,194,81,3984,2630,1354,0.811,0.621,1.06,0.125,FALSE
Systemic_lupus_erythematosus_and_connective_tissue_disorders,30,16,14,4229,2808,1421,1.729,0.842,3.553,0.136,FALSE
Thalassemia_and_other_anemia,13,9,4,4246,2815,1431,0.874,0.269,2.844,0.823,FALSE
Thyroid_disorders,714,502,212,3545,2322,1223,0.802,0.673,0.955,0.013,TRUE
Transient_cerebral_ischemia,13,8,5,4246,2816,1430,1.231,0.402,3.769,0.716,FALSE
Urinary_incontinence,233,135,98,4026,2689,1337,1.46,1.116,1.909,0.006,TRUE
Urinary_tract_infections,16,9,7,4243,2815,1428,1.533,0.57,4.125,0.397,FALSE
Viral_infection,18,6,12,4241,2818,1423,3.961,1.483,10.575,0.006,TRUE
Vision_defects,408,254,154,3851,2570,1281,1.216,0.985,1.502,0.069,FALSE
