ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR_HIV,lb_HIV,ub_HIV,p_value_HIV,OR_edad,lb_edad,ub_edad,p_value_edad,p_05_HIV,p_05_edad
Nervous_system_congenital_anomalies,21,12,9,24570,16277,8293,1.472,0.62,3.495,0.381,1.003,0.976,1.031,0.824,FALSE,FALSE
Neuropathy_and_other_nervous_system_disorders,948,609,339,23643,15680,7963,1.096,0.957,1.255,0.186,1.022,1.017,1.026,0,FALSE,TRUE
Nonmalignant_breast_conditions,219,154,65,24372,16135,8237,0.827,0.618,1.106,0.2,0.999,0.991,1.008,0.854,FALSE,FALSE
Nutritional_deficiencies,27,9,18,24564,16280,8284,3.936,1.767,8.767,0.001,1.048,1.023,1.073,0,TRUE,TRUE
Obesity,1892,1379,513,22699,14910,7789,0.71,0.639,0.789,0,1.021,1.018,1.025,0,TRUE,TRUE
Obstructive_Sleep_apnea,410,288,122,24181,16001,8180,0.827,0.668,1.025,0.083,1.039,1.033,1.046,0,FALSE,TRUE
Osteoarthritis,1480,979,501,23111,15310,7801,1.006,0.895,1.13,0.923,1.074,1.07,1.078,0,FALSE,TRUE
Osteoporosis,646,381,265,23945,15908,8037,1.405,1.193,1.655,0,1.077,1.072,1.083,0,TRUE,TRUE
Other_CNS_infection_and_poliomyelitis,16,10,6,24575,16279,8296,1.177,0.428,3.239,0.753,1.029,0.997,1.062,0.074,FALSE,FALSE
Other_acquired_deformities,358,242,116,24233,16047,8186,0.941,0.753,1.177,0.594,0.971,0.965,0.977,0,FALSE,TRUE
Other_and_ill-defined_cerebrovascular_disease,30,19,11,24561,16270,8291,1.137,0.541,2.392,0.735,1.057,1.033,1.081,0,FALSE,TRUE
Other_and_ill-defined_heart_disease,76,48,28,24515,16241,8274,1.145,0.718,1.826,0.571,1.009,0.994,1.023,0.245,FALSE,FALSE
Other_bone_disease_and_musculoskeletal_deformities,122,82,40,24469,16207,8262,0.957,0.655,1.398,0.821,0.994,0.983,1.005,0.297,FALSE,FALSE
Other_circulatory_disease,216,122,94,24375,16167,8208,1.518,1.158,1.99,0.002,1.032,1.023,1.041,0,TRUE,TRUE
Other_congenital_anomalies,217,143,74,24374,16146,8228,1.018,0.767,1.35,0.903,0.963,0.956,0.971,0,FALSE,TRUE
Other_diseases_of_bladder_and_urethra,43,29,14,24548,16260,8288,0.947,0.5,1.793,0.867,1.041,1.022,1.061,0,FALSE,TRUE
Other_diseases_of_veins_and_lymphatics,38,21,17,24553,16268,8285,1.59,0.838,3.016,0.156,1.042,1.021,1.063,0,FALSE,TRUE
Other_hematologic_conditions,34,2,32,24557,16287,8270,31.693,7.594,132.263,0,1.06,1.038,1.084,0,TRUE,TRUE
Other_infections__including_parasitic,19,13,6,24572,16276,8296,0.905,0.344,2.382,0.84,1.03,1.001,1.06,0.041,FALSE,TRUE
Other_lower_respiratory_disease,17,6,11,24574,16283,8291,3.626,1.339,9.822,0.011,1.088,1.055,1.122,0,TRUE,TRUE
Other_male_genital_disorders,763,397,366,23828,15892,7936,1.847,1.598,2.134,0,0.994,0.989,0.998,0.006,TRUE,TRUE
Other_microcrystalline_arthritis,58,38,20,24533,16251,8282,1.033,0.6,1.778,0.906,1.052,1.035,1.069,0,FALSE,TRUE
Other_non-traumatic_joint_disorders,415,259,156,24176,16030,8146,1.185,0.97,1.448,0.097,1.019,1.013,1.026,0,FALSE,TRUE
Other_nutritional__endocrine__and_metabolic_disorders,403,263,140,24188,16026,8162,1.045,0.85,1.285,0.677,1.008,1.001,1.014,0.015,FALSE,TRUE
Pancreatic_disorders__not_diabetes_,122,59,63,24469,16230,8239,2.106,1.475,3.009,0,1.039,1.027,1.051,0,TRUE,TRUE
Paralysis,136,80,56,24455,16209,8246,1.376,0.977,1.938,0.068,1.025,1.014,1.036,0,FALSE,TRUE
Parkinson_s_disease,61,41,20,24530,16248,8282,0.961,0.561,1.645,0.884,1.094,1.076,1.113,0,FALSE,TRUE
Peri-__endo-__and_myocarditis__cardiomyopathy__except_that_caused_by_tuberculosis_or_sexually_transmitted_disease_,131,75,56,24460,16214,8246,1.469,1.038,2.08,0.03,1.041,1.03,1.052,0,TRUE,TRUE
Peripheral_and_visceral_atherosclerosis,219,111,108,24372,16178,8194,1.953,1.492,2.557,0,1.076,1.067,1.086,0,TRUE,TRUE
Personality_disorders,176,72,104,24415,16217,8198,2.86,2.115,3.867,0,0.988,0.979,0.997,0.007,TRUE,TRUE
Polymyalgia_rheumatica,32,22,10,24559,16267,8292,0.896,0.423,1.898,0.774,1.105,1.079,1.132,0,FALSE,TRUE
Prolapse_of_female_genital_organs,146,99,47,24445,16190,8255,0.931,0.657,1.32,0.688,1.05,1.039,1.061,0,FALSE,TRUE
Psoriasis_and_other_inflammatory,762,483,279,23829,15806,8023,1.138,0.979,1.322,0.092,1.013,1.008,1.017,0,FALSE,TRUE
Pulmonary_heart_disease,20,7,13,24571,16282,8289,3.656,1.458,9.17,0.006,1.059,1.029,1.089,0,TRUE,TRUE
Regional_enteritis_and_ulcerative_colitis,141,87,54,24450,16202,8248,1.219,0.867,1.714,0.254,1.004,0.994,1.015,0.459,FALSE,FALSE
Restless_leg_syndrome_and_other_nervous_system_conditions,130,69,61,24461,16220,8241,1.742,1.233,2.462,0.002,1.04,1.029,1.052,0,TRUE,TRUE
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,191,135,56,24400,16154,8246,0.812,0.593,1.111,0.193,1.061,1.051,1.071,0,FALSE,TRUE
Rheumatoid_arthritis_and_related_disease,147,91,56,24444,16198,8246,1.209,0.865,1.688,0.266,1.033,1.023,1.044,0,FALSE,TRUE
Schizophrenia_and_other_psychotic_disorders,255,136,119,24336,16153,8183,1.727,1.348,2.212,0,1.007,0.999,1.015,0.08,TRUE,FALSE
Sexual_disorders,855,484,371,23736,15805,7931,1.529,1.332,1.756,0,1.021,1.017,1.026,0,TRUE,TRUE
Sleeping_disorders,79,55,24,24512,16234,8278,0.858,0.53,1.387,0.531,0.96,0.948,0.972,0,FALSE,TRUE
Somatization_and_hypochondria_disorders,21,13,8,24570,16276,8294,1.209,0.501,2.917,0.673,0.985,0.959,1.011,0.255,FALSE,FALSE
Spondylosis__intervertebral_disc_disorders__other_back_problems,1141,755,386,23450,15534,7916,1.003,0.883,1.139,0.961,1.048,1.044,1.052,0,FALSE,TRUE
Systemic_lupus_erythematosus_and_connective_tissue_disorders,84,45,39,24507,16244,8263,1.703,1.108,2.617,0.015,1.011,0.997,1.025,0.12,TRUE,FALSE
Thalassemia_and_other_anemia,75,44,31,24516,16245,8271,1.385,0.874,2.194,0.166,0.988,0.974,1.002,0.095,FALSE,FALSE
Thyroid_disorders,1990,1361,629,22601,14928,7673,0.898,0.814,0.991,0.033,1.017,1.014,1.02,0,TRUE,TRUE
Tongue_tie_an_other_digestive_congenital_anomalies,22,17,5,24569,16272,8297,0.578,0.213,1.568,0.282,0.954,0.932,0.977,0,FALSE,TRUE
Transient_cerebral_ischemia,176,107,69,24415,16182,8233,1.28,0.941,1.742,0.116,1.089,1.079,1.1,0,FALSE,TRUE
Urinary_incontinence,1000,621,379,23591,15668,7923,1.224,1.069,1.4,0.003,1.071,1.067,1.076,0,TRUE,TRUE
Urinary_tract_infections,42,26,16,24549,16263,8286,1.208,0.647,2.253,0.553,1.037,1.018,1.058,0,FALSE,TRUE
Viral_infection,99,35,64,24492,16254,8238,3.609,2.388,5.454,0,0.995,0.983,1.008,0.445,TRUE,FALSE
Vision_defects,1751,1112,639,22840,15177,7663,1.138,1.028,1.259,0.012,1.01,1.007,1.013,0,TRUE,TRUE
