ccs,n_positive_vih,N_total_vih,prop_vih,n_positive_ctl,N_total_ctl,prop_ctl,p_value
Menopausal_disorders,121,8302,1.46,331,16289,2.03,0.0018
Adjustment_disorders,118,8302,1.42,171,16289,1.05,0.0126
Psoriasis_and_other_inflammatory,110,8302,1.32,217,16289,1.33,1
Chronic_ulcer_of_skin,109,8302,1.31,135,16289,0.83,0.0004
Epilepsy__convulsions,107,8302,1.29,57,16289,0.35,0
Other_non-traumatic_joint_disorders,100,8302,1.2,169,16289,1.04,0.2602
Atopic_dermatitis,99,8302,1.19,192,16289,1.18,0.9744
Glaucoma,91,8302,1.1,204,16289,1.25,0.3161
Acute_cerebrovascular_disease,88,8302,1.06,109,16289,0.67,0.0015
Hyperplasia_of_prostate,79,8302,0.95,224,16289,1.38,0.0053
Myodesopsia_and_other_eye_disorders,77,8302,0.93,153,16289,0.94,0.9834
Acquired_foot_deformities,73,8302,0.88,158,16289,0.97,0.5306
Other_nutritional__endocrine__and_metabolic_disorders,68,8302,0.82,138,16289,0.85,0.877
Schizophrenia_and_other_psychotic_disorders,68,8302,0.82,53,16289,0.33,0
Gout,66,8302,0.79,179,16289,1.1,0.0277
Peripheral_and_visceral_atherosclerosis,62,8302,0.75,63,16289,0.39,0.0003
Personality_disorders,54,8302,0.65,35,16289,0.21,0
Irritable_bowel_and_other_GI_disorders,51,8302,0.61,100,16289,0.61,1
Diverticulosis_and_diverticulitis,48,8302,0.58,112,16289,0.69,0.3548
Diseases_of_white_blood_cells,47,8302,0.57,137,16289,0.84,0.0222
Other_circulatory_disease,44,8302,0.53,75,16289,0.46,0.5182
Heart_valve_disorders,41,8302,0.49,49,16289,0.3,0.0239
Obstructive_Sleep_apnea,41,8302,0.49,158,16289,0.97,0.0001
Female_infertility,35,8302,0.42,60,16289,0.37,0.5977
HIV-related_disease,35,8302,0.42,12,16289,0.07,0
Hyperparathyroidism_and_other_endocrine_disorders,35,8302,0.42,27,16289,0.17,0.0003
Infective_arthritis_and_osteomyelitis__except_that_caused_by_tuberculosis_or_sexually_transmitted_disease_,34,8302,0.41,11,16289,0.07,0
Joint_disorders_and_dislocations__trauma-related,34,8302,0.41,70,16289,0.43,0.899
Attention-deficit__conduct__and_disruptive_behavior_disorders,33,8302,0.4,35,16289,0.21,0.0143
Restless_leg_syndrome_and_other_nervous_system_conditions,32,8302,0.39,32,16289,0.2,0.0088
Transient_cerebral_ischemia,31,8302,0.37,58,16289,0.36,0.9189
Pancreatic_disorders__not_diabetes_,30,8302,0.36,36,16289,0.22,0.0599
Paralysis,29,8302,0.35,39,16289,0.24,0.1546
Peri-__endo-__and_myocarditis__cardiomyopathy__except_that_caused_by_tuberculosis_or_sexually_transmitted_disease_,29,8302,0.35,43,16289,0.26,0.2954
Other_hematologic_conditions,27,8302,0.33,2,16289,0.01,0
Viral_infection,27,8302,0.33,11,16289,0.07,0
Other_acquired_deformities,26,8302,0.31,79,16289,0.48,0.0642
Prolapse_of_female_genital_organs,26,8302,0.31,50,16289,0.31,1
Other_congenital_anomalies,24,8302,0.29,43,16289,0.26,0.8198
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,24,8302,0.29,76,16289,0.47,0.0497
Dyspareunia,23,8302,0.28,55,16289,0.34,0.4969
Nonmalignant_breast_conditions,21,8302,0.25,61,16289,0.37,0.1481
Eating_disorders,20,8302,0.24,9,16289,0.06,0.0001
Regional_enteritis_and_ulcerative_colitis,20,8302,0.24,34,16289,0.21,0.7146
Conduction_disorders,18,8302,0.22,82,16289,0.5,0.0012
Systemic_lupus_erythematosus_and_connective_tissue_disorders,18,8302,0.22,25,16289,0.15,0.3356
Rheumatoid_arthritis_and_related_disease,17,8302,0.2,45,16289,0.28,0.3562
Disorders_usually_diagnosed_in_infancy__childhood__or_adolescence,16,8302,0.19,44,16289,0.27,0.3046
Nutritional_deficiencies,16,8302,0.19,7,16289,0.04,0.0006
Aortic__peripheral__and_visceral_artery_aneurysms,14,8302,0.17,18,16289,0.11,0.3131
Other_bone_disease_and_musculoskeletal_deformities,14,8302,0.17,21,16289,0.13,0.547
Thalassemia_and_other_anemia,14,8302,0.17,17,16289,0.1,0.2488
Endometriosis,13,8302,0.16,16,16289,0.1,0.2871
Sleeping_disorders,13,8302,0.16,35,16289,0.21,0.4086
Other_and_ill-defined_heart_disease,12,8302,0.14,20,16289,0.12,0.7944
Other_diseases_of_veins_and_lymphatics,12,8302,0.14,11,16289,0.07,0.0994
Parkinson_s_disease,11,8302,0.13,30,16289,0.18,0.4389
Cardiac_and_circulatory_congenital_anomalies,8,8302,0.1,4,16289,0.02,0.0352
Pulmonary_heart_disease,8,8302,0.1,4,16289,0.02,0.0352
Nervous_system_congenital_anomalies,7,8302,0.08,5,16289,0.03,0.1349
Other_diseases_of_bladder_and_urethra,7,8302,0.08,15,16289,0.09,1
Urinary_tract_infections,7,8302,0.08,13,16289,0.08,1
Immunity_disorders,6,8302,0.07,7,16289,0.04,0.5145
Menieres_disease,6,8302,0.07,11,16289,0.07,1
Other_lower_respiratory_disease,6,8302,0.07,5,16289,0.03,0.2546
Aortic_and_peripheral_arterial_embolism_or_thrombosis,5,8302,0.06,7,16289,0.04,0.7841
Developmental_disorders,5,8302,0.06,15,16289,0.09,0.5537
Escleritis,5,8302,0.06,11,16289,0.07,1
Other_and_ill-defined_cerebrovascular_disease,5,8302,0.06,10,16289,0.06,1
Other_infections__including_parasitic,5,8302,0.06,6,16289,0.04,0.616
Other_microcrystalline_arthritis,5,8302,0.06,14,16289,0.09,0.6572
Cryptorchidism_and_other_genitourinary_congenital_anomalies,4,8302,0.05,17,16289,0.1,0.2319
Multiple_sclerosis,4,8302,0.05,11,16289,0.07,0.758
Polymyalgia_rheumatica,2,8302,0.02,13,16289,0.08,0.1614
