ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR,lb,ub,p_value,p_05
Disorders_usually_diagnosed_in_infancy__childhood__or_adolescence,31,24,7,4420,2933,1487,0.575,0.247,1.338,0.199,FALSE
Epilepsy__convulsions,15,5,10,4436,2952,1484,3.978,1.357,11.661,0.012,TRUE
Esophageal_disorders,43,30,13,4408,2927,1481,0.856,0.445,1.647,0.642,FALSE
Glaucoma,7,2,5,4444,2955,1489,4.961,0.961,25.602,0.056,FALSE
Gout,10,6,4,4441,2951,1490,1.32,0.372,4.686,0.667,FALSE
Headache__including_migraine,245,150,95,4206,2807,1399,1.271,0.975,1.656,0.076,FALSE
Hearing_loss_and_other_ear_and_sense_organ_disorders,55,33,22,4396,2924,1472,1.324,0.769,2.279,0.311,FALSE
Hepatic_steatosis_and_other_liver_diseases,19,10,9,4432,2947,1485,1.786,0.724,4.405,0.208,FALSE
Hepatitis,22,2,20,4429,2955,1474,20.047,4.68,85.884,0,TRUE
Hyperparathyroidism_and_other_endocrine_disorders,2,1,1,4449,2956,1493,1.98,0.124,31.669,0.629,FALSE
Hypertension,100,64,36,4351,2893,1458,1.116,0.738,1.687,0.602,FALSE
Infective_arthritis_and_osteomyelitis__except_that_caused_by_tuberculosis_or_sexually_transmitted_disease_,4,2,2,4447,2955,1492,1.981,0.279,14.074,0.495,FALSE
Inflammatory_conditions_of_male_genital_organs,91,54,37,4360,2903,1457,1.365,0.894,2.084,0.149,FALSE
Irritable_bowel_and_other_GI_disorders,18,9,9,4433,2948,1485,1.985,0.786,5.011,0.147,FALSE
Ischemic_heart_disease,4,2,2,4447,2955,1492,1.981,0.279,14.074,0.495,FALSE
Joint_disorders_and_dislocations__trauma-related,16,13,3,4435,2944,1491,0.456,0.13,1.601,0.22,FALSE
Miscellaneous_mental_health_disorders,54,33,21,4397,2924,1473,1.263,0.728,2.191,0.406,FALSE
Myodesopsia_and_other_eye_disorders,10,6,4,4441,2951,1490,1.32,0.372,4.686,0.667,FALSE
Neoplasms,10,1,9,4441,2956,1485,17.915,2.268,141.497,0.006,TRUE
Nervous_system_congenital_anomalies,4,3,1,4447,2954,1493,0.66,0.069,6.346,0.719,FALSE
Neuropathy_and_other_nervous_system_disorders,29,13,16,4422,2944,1478,2.452,1.176,5.11,0.017,TRUE
Obesity,56,42,14,4395,2915,1480,0.657,0.357,1.206,0.175,FALSE
Obstructive_Sleep_apnea,6,5,1,4445,2952,1493,0.395,0.046,3.388,0.397,FALSE
Osteoarthritis,5,2,3,4446,2955,1491,2.973,0.496,17.811,0.233,FALSE
Other_acquired_deformities,19,13,6,4432,2944,1488,0.913,0.346,2.407,0.854,FALSE
Other_and_ill-defined_heart_disease,6,3,3,4445,2954,1491,1.981,0.399,9.827,0.403,FALSE
Other_circulatory_disease,8,5,3,4443,2952,1491,1.188,0.284,4.977,0.814,FALSE
Other_congenital_anomalies,12,4,8,4439,2953,1486,3.974,1.195,13.22,0.024,TRUE
Other_male_genital_disorders,120,58,62,4331,2899,1432,2.164,1.504,3.113,0,TRUE
Other_non-traumatic_joint_disorders,18,11,7,4433,2946,1487,1.261,0.488,3.259,0.633,FALSE
Other_nutritional__endocrine__and_metabolic_disorders,15,10,5,4436,2947,1489,0.99,0.338,2.9,0.985,FALSE
Pancreatic_disorders__not_diabetes_,5,1,4,4446,2956,1490,7.936,0.886,71.042,0.064,FALSE
Paralysis,5,1,4,4446,2956,1490,7.936,0.886,71.042,0.064,FALSE
Peri-__endo-__and_myocarditis__cardiomyopathy__except_that_caused_by_tuberculosis_or_sexually_transmitted_disease_,4,2,2,4447,2955,1492,1.981,0.279,14.074,0.495,FALSE
Personality_disorders,15,8,7,4436,2949,1487,1.735,0.628,4.794,0.288,FALSE
Psoriasis_and_other_inflammatory,25,16,9,4426,2941,1485,1.114,0.491,2.527,0.796,FALSE
Regional_enteritis_and_ulcerative_colitis,10,3,7,4441,2954,1487,4.635,1.197,17.949,0.026,TRUE
Restless_leg_syndrome_and_other_nervous_system_conditions,4,2,2,4447,2955,1492,1.981,0.279,14.074,0.495,FALSE
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,3,2,1,4448,2955,1493,0.99,0.09,10.922,0.993,FALSE
Schizophrenia_and_other_psychotic_disorders,13,5,8,4438,2952,1486,3.178,1.038,9.733,0.043,TRUE
Sexual_disorders,47,25,22,4404,2932,1472,1.753,0.985,3.119,0.056,FALSE
Sleeping_disorders,16,10,6,4435,2947,1488,1.188,0.431,3.276,0.739,FALSE
Spondylosis__intervertebral_disc_disorders__other_back_problems,15,9,6,4436,2948,1488,1.321,0.469,3.718,0.598,FALSE
Systemic_lupus_erythematosus_and_connective_tissue_disorders,2,1,1,4449,2956,1493,1.98,0.124,31.669,0.629,FALSE
Thalassemia_and_other_anemia,4,2,2,4447,2955,1492,1.981,0.279,14.074,0.495,FALSE
Thyroid_disorders,49,27,22,4402,2930,1472,1.622,0.921,2.858,0.094,FALSE
Urinary_incontinence,12,11,1,4439,2946,1493,0.179,0.023,1.391,0.1,FALSE
Vision_defects,74,42,32,4377,2915,1462,1.519,0.955,2.416,0.077,FALSE
