ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR_HIV,lb_HIV,ub_HIV,p_value_HIV,OR_edad,lb_edad,ub_edad,p_value_edad,p_05_HIV,p_05_edad
Neuropathy_and_other_nervous_system_disorders,308,213,95,8237,5460,2777,0.877,0.685,1.122,0.295,1.019,1.012,1.027,0,FALSE,TRUE
Nonmalignant_breast_conditions,81,60,21,8464,5613,2851,0.689,0.418,1.135,0.143,1.008,0.994,1.022,0.273,FALSE,FALSE
Nutritional_deficiencies,7,3,4,8538,5670,2868,2.646,0.591,11.841,0.203,1.065,1.018,1.115,0.006,FALSE,TRUE
Obesity,319,227,92,8226,5446,2780,0.794,0.62,1.016,0.066,1.012,1.005,1.019,0.001,FALSE,TRUE
Obstructive_Sleep_apnea,49,35,14,8496,5638,2858,0.789,0.424,1.47,0.455,1.033,1.015,1.051,0,FALSE,TRUE
Osteoarthritis,345,235,110,8200,5438,2762,0.92,0.728,1.163,0.487,1.049,1.041,1.056,0,FALSE,TRUE
Osteoporosis,205,109,96,8340,5564,2776,1.794,1.354,2.379,0,1.056,1.047,1.065,0,TRUE,TRUE
Other_acquired_deformities,53,41,12,8492,5632,2860,0.576,0.302,1.098,0.094,0.988,0.972,1.005,0.164,FALSE,FALSE
Other_and_ill-defined_cerebrovascular_disease,9,7,2,8536,5666,2870,0.565,0.117,2.721,0.476,1.057,1.015,1.1,0.007,FALSE,TRUE
Other_and_ill-defined_heart_disease,11,5,6,8534,5668,2866,2.374,0.724,7.785,0.154,1.02,0.983,1.059,0.282,FALSE,FALSE
Other_bone_disease_and_musculoskeletal_deformities,11,7,4,8534,5666,2868,1.129,0.33,3.86,0.846,1.024,0.987,1.063,0.205,FALSE,FALSE
Other_circulatory_disease,52,33,19,8493,5640,2853,1.138,0.646,2.005,0.654,1.005,0.989,1.023,0.531,FALSE,FALSE
Other_congenital_anomalies,35,26,9,8510,5647,2863,0.683,0.319,1.459,0.325,0.971,0.952,0.99,0.003,FALSE,TRUE
Other_diseases_of_bladder_and_urethra,14,9,5,8531,5664,2867,1.098,0.368,3.28,0.867,1.034,1.001,1.068,0.046,FALSE,TRUE
Other_diseases_of_veins_and_lymphatics,10,5,5,8535,5668,2867,1.984,0.573,6.867,0.28,1.064,1.024,1.105,0.001,FALSE,TRUE
Other_infections__including_parasitic,3,1,2,8542,5672,2870,3.955,0.358,43.642,0.262,1.035,0.965,1.11,0.334,FALSE,FALSE
Other_lower_respiratory_disease,2,1,1,8543,5672,2871,1.987,0.124,31.858,0.628,1.099,1.006,1.201,0.037,FALSE,TRUE
Other_male_genital_disorders,3,1,2,8542,5672,2870,3.961,0.359,43.712,0.261,1.055,0.984,1.131,0.13,FALSE,FALSE
Other_non-traumatic_joint_disorders,114,75,39,8431,5598,2833,1.028,0.696,1.517,0.891,1.014,1.002,1.026,0.021,FALSE,TRUE
Other_nutritional__endocrine__and_metabolic_disorders,100,67,33,8445,5606,2839,0.973,0.64,1.479,0.897,0.993,0.981,1.005,0.233,FALSE,FALSE
Pancreatic_disorders__not_diabetes_,13,7,6,8532,5666,2866,1.696,0.569,5.051,0.343,1.032,0.998,1.068,0.065,FALSE,FALSE
Paralysis,20,16,4,8525,5657,2868,0.493,0.165,1.476,0.206,1.017,0.989,1.045,0.229,FALSE,FALSE
Parkinson_s_disease,9,6,3,8536,5667,2869,0.991,0.247,3.976,0.99,1.083,1.04,1.128,0,FALSE,TRUE
Peri-__endo-__and_myocarditis__cardiomyopathy__except_that_caused_by_tuberculosis_or_sexually_transmitted_disease_,10,5,5,8535,5668,2867,1.978,0.572,6.84,0.281,1.031,0.992,1.071,0.124,FALSE,FALSE
Peripheral_and_visceral_atherosclerosis,11,8,3,8534,5665,2869,0.74,0.196,2.793,0.657,1.019,0.982,1.058,0.308,FALSE,FALSE
Personality_disorders,29,10,19,8516,5663,2853,3.772,1.751,8.122,0.001,0.995,0.972,1.017,0.639,TRUE,FALSE
Prolapse_of_female_genital_organs,74,49,25,8471,5624,2847,1.009,0.621,1.639,0.972,1.045,1.03,1.06,0,FALSE,TRUE
Psoriasis_and_other_inflammatory,132,93,39,8413,5580,2833,0.826,0.567,1.204,0.32,1.008,0.998,1.019,0.123,FALSE,FALSE
Pulmonary_heart_disease,6,2,4,8539,5671,2868,3.961,0.725,21.645,0.112,1.045,0.994,1.097,0.084,FALSE,FALSE
Regional_enteritis_and_ulcerative_colitis,12,9,3,8533,5664,2869,0.658,0.178,2.432,0.53,1.012,0.977,1.049,0.497,FALSE,FALSE
Restless_leg_syndrome_and_other_nervous_system_conditions,32,16,16,8513,5657,2856,1.982,0.99,3.971,0.054,1.027,1.005,1.05,0.015,FALSE,TRUE
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,24,17,7,8521,5656,2865,0.813,0.337,1.964,0.646,1.041,1.016,1.067,0.001,FALSE,TRUE
Rheumatoid_arthritis_and_related_disease,37,25,12,8508,5648,2860,0.948,0.476,1.891,0.88,1.03,1.01,1.051,0.004,FALSE,TRUE
Schizophrenia_and_other_psychotic_disorders,40,18,22,8505,5655,2850,2.425,1.299,4.529,0.005,1.007,0.987,1.026,0.499,TRUE,FALSE
Sexual_disorders,24,9,15,8521,5664,2857,3.304,1.444,7.56,0.005,1.01,0.985,1.035,0.449,TRUE,FALSE
Sleeping_disorders,25,18,7,8520,5655,2865,0.768,0.32,1.841,0.554,0.977,0.954,1,0.049,FALSE,TRUE
Spondylosis__intervertebral_disc_disorders__other_back_problems,213,150,63,8332,5523,2809,0.825,0.612,1.112,0.207,1.032,1.023,1.041,0,FALSE,TRUE
Systemic_lupus_erythematosus_and_connective_tissue_disorders,34,19,15,8511,5654,2857,1.562,0.793,3.079,0.197,1.007,0.986,1.029,0.506,FALSE,FALSE
Thalassemia_and_other_anemia,12,7,5,8533,5666,2867,1.414,0.448,4.469,0.555,0.939,0.909,0.969,0,FALSE,TRUE
Thyroid_disorders,651,451,200,7894,5222,2672,0.866,0.729,1.03,0.104,1.01,1.005,1.015,0,FALSE,TRUE
Transient_cerebral_ischemia,23,15,8,8522,5658,2864,1.058,0.446,2.511,0.898,1.088,1.06,1.116,0,FALSE,TRUE
Urinary_incontinence,328,197,131,8217,5476,2741,1.342,1.067,1.688,0.012,1.052,1.044,1.059,0,TRUE,TRUE
Urinary_tract_infections,16,11,5,8529,5662,2867,0.898,0.312,2.59,0.843,1.049,1.018,1.081,0.002,FALSE,TRUE
Viral_infection,12,6,6,8533,5667,2866,1.977,0.637,6.136,0.238,0.995,0.961,1.031,0.786,FALSE,FALSE
Vision_defects,434,259,175,8111,5414,2697,1.357,1.114,1.653,0.002,1.01,1.004,1.016,0.001,TRUE,TRUE
