ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR,lb,ub,p_value,p_05
Nonmalignant_breast_conditions,62,42,20,3040,2020,1020,0.943,0.551,1.615,0.831,FALSE
Obesity,187,135,52,2915,1927,988,0.751,0.541,1.044,0.088,FALSE
Obstructive_Sleep_apnea,9,6,3,3093,2056,1037,0.991,0.247,3.971,0.99,FALSE
Osteoarthritis,25,11,14,3077,2051,1026,2.544,1.151,5.624,0.021,TRUE
Osteoporosis,6,2,4,3096,2060,1036,3.977,0.727,21.745,0.111,FALSE
Other_acquired_deformities,83,56,27,3019,2006,1013,0.955,0.599,1.521,0.845,FALSE
Other_bone_disease_and_musculoskeletal_deformities,10,8,2,3092,2054,1038,0.495,0.105,2.334,0.374,FALSE
Other_circulatory_disease,29,12,17,3073,2050,1023,2.839,1.351,5.967,0.006,TRUE
Other_congenital_anomalies,63,47,16,3039,2015,1024,0.67,0.378,1.187,0.17,FALSE
Other_diseases_of_veins_and_lymphatics,3,2,1,3099,2060,1039,0.991,0.09,10.942,0.994,FALSE
Other_non-traumatic_joint_disorders,49,33,16,3053,2029,1024,0.961,0.526,1.754,0.896,FALSE
Other_nutritional__endocrine__and_metabolic_disorders,74,46,28,3028,2016,1012,1.213,0.753,1.951,0.427,FALSE
Pancreatic_disorders__not_diabetes_,7,2,5,3095,2060,1035,4.976,0.964,25.687,0.055,FALSE
Paralysis,12,11,1,3090,2051,1039,0.179,0.023,1.392,0.1,FALSE
Personality_disorders,18,6,12,3084,2056,1028,4,1.497,10.688,0.006,TRUE
Prolapse_of_female_genital_organs,13,9,4,3089,2053,1036,0.881,0.271,2.867,0.833,FALSE
Psoriasis_and_other_inflammatory,93,63,30,3009,1999,1010,0.942,0.606,1.465,0.792,FALSE
Regional_enteritis_and_ulcerative_colitis,12,9,3,3090,2053,1037,0.66,0.178,2.443,0.534,FALSE
Restless_leg_syndrome_and_other_nervous_system_conditions,11,4,7,3091,2058,1033,3.486,1.018,11.937,0.047,TRUE
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,6,4,2,3096,2058,1038,0.991,0.181,5.421,0.992,FALSE
Rheumatoid_arthritis_and_related_disease,9,7,2,3093,2055,1038,0.566,0.117,2.728,0.478,FALSE
Schizophrenia_and_other_psychotic_disorders,20,7,13,3082,2055,1027,3.716,1.478,9.342,0.005,TRUE
Sexual_disorders,13,6,7,3089,2056,1033,2.322,0.778,6.927,0.131,FALSE
Sleeping_disorders,20,11,9,3082,2051,1031,1.628,0.672,3.94,0.28,FALSE
Somatization_and_hypochondria_disorders,7,4,3,3095,2058,1037,1.488,0.333,6.663,0.603,FALSE
Spondylosis__intervertebral_disc_disorders__other_back_problems,36,24,12,3066,2038,1028,0.991,0.494,1.99,0.98,FALSE
Systemic_lupus_erythematosus_and_connective_tissue_disorders,15,9,6,3087,2053,1034,1.324,0.47,3.729,0.596,FALSE
Thalassemia_and_other_anemia,17,10,7,3085,2052,1033,1.391,0.528,3.664,0.505,FALSE
Thyroid_disorders,369,251,118,2733,1811,922,0.923,0.732,1.165,0.502,FALSE
Tongue_tie_an_other_digestive_congenital_anomalies,3,2,1,3099,2060,1039,0.991,0.09,10.942,0.994,FALSE
Transient_cerebral_ischemia,3,2,1,3099,2060,1039,0.991,0.09,10.942,0.994,FALSE
Urinary_incontinence,73,43,30,3029,2019,1010,1.395,0.87,2.237,0.167,FALSE
Urinary_tract_infections,5,4,1,3097,2058,1039,0.495,0.055,4.435,0.53,FALSE
Viral_infection,16,9,7,3086,2053,1033,1.546,0.574,4.162,0.389,FALSE
Vision_defects,230,146,84,2872,1916,956,1.153,0.872,1.525,0.318,FALSE
